"Location","Source","Target"
"242841733-0-75067","Maul of the Night Mother","Maul of the Night Mother"
"242841733-0-79425","Maul of the Pariah","Maul of the Pariah"
"242841733-0-105491","Treasure Hunter's Maul","Treasure Hunter's Maul"
"242841733-0-51094","Maul of Hist Bark","Maul of Hist Bark"
"242841733-0-151396","Perfected Nahviintaas's Maul","Perfected Nahviintaas's Maul"
"242841733-0-46503","Maul of Death's Wind","Maul of Death's Wind"
"242841733-0-117477","Maul of the Shield Breaker","Maul of the Shield Breaker"
"242841733-0-90697","Maul of the Onslaught","Maul of the Onslaught"
"242841733-0-150067","False God's Maul","False God's Maul"
"242841733-0-109859","Maul of the Noble Duelist","Maul of the Noble Duelist"
"242841733-0-128132","Blooddrinker Maul","Blooddrinker: 마울"
"242841733-0-93727","Maul of Cyrodiil's Ward","Cyrodiil's Ward: 전투망치"
"242841733-0-142444","Dead-Water's Guile Maul","Dead-Water's Guile Maul"
"242841733-0-141113","Jailer's Maul","Jailer's Maul"
"242841733-0-122819","War Maiden's Maul","War Maiden's Maul"
"242841733-0-80401","Maul Of The Knightmare","The Knightmare: 전투망치"
"228378404-0-1665","This strange hammer has a peculiar, earthy scent. When wielded below ground, its bearer constantly salivates.","이 이상한 망치는 특이한 흙냄새가 납니다. 망치를 땅 쪽으로 향하면 무기를 든 사람이 계속 침을 흘리게 됩니다."
"242841733-0-162055","Roaring Opportunist's Maul","Roaring Opportunist's Maul"
"242841733-0-56772","Maul of Kagrenac's Hope","Maul of Kagrenac's Hope"
"242841733-0-146806","Frozen Watcher's Maul","Frozen Watcher's Maul"
"242841733-0-137075","Relequen's Maul","Relequen's Maul"
"242841733-0-99028","Swamp Raider's Maul","Swamp Raider's Maul"
"242841733-0-149084","Undertaker's Maul","Undertaker's Maul"
"242841733-0-110850","Maul of the Worm Cult","Maul of the Worm Cult"
"242841733-0-130444","Innate Axiom Maul","Innate Axiom Maul"
"242841733-0-88375","Maul of Cyrodiil's Crest","Maul of Cyrodiil's Crest"
"242841733-0-131768","Maul of Glory","Maul of Glory"
"242841733-0-104178","Maul of the Netch's Touch","Maul of the Netch's Touch"
"242841733-0-107201","Hulking Draugr's Maul","Hulking Draugr's Maul"
"242841733-0-54107","Maul of Shalidor's Curse","Maul of Shalidor's Curse"
"242841733-0-87040","Maul of the Footman","Maul of the Footman"
"242841733-0-75044","Maul of the Shadow Dancer","Maul of the Shadow Dancer"
"242841733-0-128152","Blooddrinker Maul","Blooddrinker Maul"
"242841733-0-54142","Maul of Shalidor's Curse","Maul of Shalidor's Curse"
"242841733-0-79401","Maul of the Pariah","Maul of the Pariah"
"242841733-0-117497","Maul of the Shield Breaker","Maul of the Shield Breaker"
"242841733-0-151375","Perfected Nahviintaas's Maul","Perfected Nahviintaas's Maul"
"242841733-0-101907","Prisoner's Maul","죄수의 전투망치 (Prisoner's Maul)"
"242841733-0-76370","Pelinal's Maul","Pelinal's Maul"
"242841733-0-150046","False God's Maul","False God's Maul"
"242841733-0-90676","Maul of the Onslaught","Maul of the Onslaught"
"242841733-0-99008","Swamp Raider's Maul","Swamp Raider's Maul"
"242841733-0-142424","Dead-Water's Guile Maul","Dead-Water's Guile Maul"
"242841733-0-79413","Maul of the Pariah","Maul of the Pariah"
"242841733-0-162034","Roaring Opportunist's Maul","Roaring Opportunist's Maul"
"242841733-0-109880","Maul of the Noble Duelist","Maul of the Noble Duelist"
"242841733-0-163361","Spell Parasite's Maul","Spell Parasite's Maul"
"242841733-0-110871","Maul of the Worm Cult","Maul of the Worm Cult"
"242841733-0-155743","Daring Corsair's Maul","Daring Corsair's Maul"
"242841733-0-131794","Maul of Succession","Succession: 전투망치"
"242841733-0-88355","Maul of Cyrodiil's Crest","Cyrodiil's Crest: 전투망치"
"242841733-0-89689","Maul of the Sergeant","Maul of the Sergeant"
"242841733-0-149064","Undertaker's Maul","Undertaker's Maul"
"242841733-0-91992","Maul of the Swift","Maul of the Swift"
"242841733-0-108555","Barkskin Maul","Barkskin Maul"
"242841733-0-107221","Hulking Draugr's Maul","Hulking Draugr's Maul"
"242841733-0-87020","Maul of the Footman","Maul of the Footman"
"242841733-0-143765","Might of the Lost Legion Maul","Might of the Lost Legion Maul"
"242841733-0-122840","War Maiden's Maul","War Maiden's Maul"
"242841733-0-104199","Maul of the Netch's Touch","Maul of the Netch's Touch"
"242841733-0-75023","Maul of the Shadow Dancer","Maul of the Shadow Dancer"
"242841733-0-128172","Blooddrinker Maul","Blooddrinker Maul"
"242841733-0-89669","Maul of the Sergeant","Maul of the Sergeant"
"242841733-0-162080","Roaring Opportunist's Maul","Roaring Opportunist's Maul"
"242841733-0-101928","Prisoner's Maul","죄수의 전투망치 (Prisoner's Maul)"
"242841733-0-90655","Maul of the Onslaught","Maul of the Onslaught"
"242841733-0-158819","Unchained Aggressor's Maul","Unchained Aggressor's Maul"
"242841733-0-142484","Dead-Water's Guile Maul","Dead-Water's Guile Maul"
"242841733-0-141153","Jailer's Maul","Jailer's Maul"
"242841733-0-56737","Maul of the Eyes of Mara","Maul of the Eyes of Mara"
"242841733-0-97286","Maul of a Mother's Sorrow","Maul of a Mother's Sorrow"
"242841733-0-51047","Maul of Hist Bark","Maul of Hist Bark"
"242841733-0-153141","Z'en's Maul","Z'en's Maul"
"242841733-0-110892","Maul of the Worm Cult","Maul of the Worm Cult"
"242841733-0-130479","Innate Axiom Maul","Innate Axiom Maul"
"242841733-0-87000","Maul of the Footman","Maul of the Footman"
"242841733-0-91971","Maul of the Swift","Maul of the Swift"
"242841733-0-100613","Spriggan's Maul","Spriggan's Maul"
"242841733-0-133507","The Asylum's Maul","The Asylum's Maul"
"242841733-0-122861","War Maiden's Maul","War Maiden's Maul"
"242841733-0-108575","Barkskin Maul","Barkskin Maul"
"242841733-0-128192","Blooddrinker Maul","Blooddrinker Maul"
"242841733-0-162067","Roaring Opportunist's Maul","Roaring Opportunist's Maul"
"242841733-0-113932","Maul of the Immortal Yokeda","Immortal Yokeda: 전투망치"
"242841733-0-76335","Pelinal's Maul","Pelinal's Maul"
"242841733-0-163396","Spell Parasite's Maul","Spell Parasite's Maul"
"242841733-0-75002","Maul of the Shadow Dancer","Maul of the Shadow Dancer"
"242841733-0-89649","Maul of the Sergeant","Maul of the Sergeant"
"242841733-0-47813","Maul of the Seducer","Maul of the Seducer"
"242841733-0-101949","Prisoner's Maul","죄수의 전투망치 (Prisoner's Maul)"
"242841733-0-85295","Maul of Nikulas","Maul of Nikulas"
"242841733-0-150088","False God's Maul","False God's Maul"
"242841733-0-142464","Dead-Water's Guile Maul","Dead-Water's Guile Maul"
"242841733-0-141133","Jailer's Maul","Jailer's Maul"
"242841733-0-90634","Maul of the Onslaught","Maul of the Onslaught"
"242841733-0-98595","Maul of the Vampire's Cloak","Maul of the Vampire's Cloak"
"242841733-0-97265","Maul of a Mother's Sorrow","Maul of a Mother's Sorrow"
"242841733-0-107263","Maul of the Undaunted Unweaver","Undaunted Unweaver: 전투망치"
"242841733-0-146826","Frozen Watcher's Maul","Frozen Watcher's Maul"
"242841733-0-52396","Maul of Alessia's Bulwark","Maul of Alessia's Bulwark"
"242841733-0-153120","Z'en's Maul","즈'엔의 전투망치 (Z'en's Maul)"
"242841733-0-155782","Ancient Dragonguard's Maul","Ancient Dragonguard's Maul"
"242841733-0-125909","Impregnable Armor Maul^n","Impregnable Armor Maul"
"242841733-0-91950","Maul of the Swift","The Swift: 전투망치"
"242841733-0-100633","Spriggan's Maul","Spriggan's Maul"
"242841733-0-88313","Maul of Durok's Bane","Maul of Durok's Bane"
"242841733-0-121555","Assassin's Maul","Assassin: 암살자의 전투망치"
"242841733-0-108595","Barkskin Maul","Barkskin Maul"
"242841733-0-51059","Maul of Hist Bark","Maul of Hist Bark"
"242841733-0-122882","War Maiden's Maul","War Maiden's Maul"
"242841733-0-113952","Maul of the Immortal Yokeda","Maul of the Immortal Yokeda"
"242841733-0-49612","Maul of Oblivion's Foe","Maul of Oblivion's Foe"
"242841733-0-84858","Maul of the Sun","Maul of the Sun"
"242841733-0-101970","Prisoner's Maul","죄수의 전투망치 (Prisoner's Maul)"
"242841733-0-69227","Maul of Willpower","Maul of Willpower"
"242841733-0-125944","Impregnable Armor Maul^n","Impregnable Armor Maul"
"242841733-0-95500","Maul of Martial Knowledge","Maul of Martial Knowledge"
