"Location","Source","Target"
"242841733-0-79426","Greatsword of the Pariah","Greatsword of the Pariah"
"242841733-0-105492","Treasure Hunter's Greatsword","Treasure Hunter's Greatsword"
"242841733-0-51095","Greatsword of Hist Bark","Greatsword of Hist Bark"
"242841733-0-75068","Greatsword of the Night Mother","Greatsword of the Night Mother"
"242841733-0-117478","Greatsword of the Shield Breaker","Greatsword of the Shield Breaker"
"242841733-0-151397","Perfected Nahviintaas's Greatsword","Perfected Nahviintaas's Greatsword"
"242841733-0-46504","Greatsword of Death's Wind","Greatsword of Death's Wind"
"242841733-0-150068","False God's Greatsword","False God's Greatsword"
"242841733-0-90698","Greatsword of the Onslaught","Greatsword of the Onslaught"
"242841733-0-128133","Blooddrinker Greatsword","Blooddrinker: 대검"
"242841733-0-142445","Dead-Water's Guile Greatsword","Dead-Water's Guile Greatsword"
"242841733-0-141114","Jailer's Greatsword","Jailer's Greatsword"
"242841733-0-93728","Greatsword of Cyrodiil's Ward","Cyrodiil's Ward: 대검"
"242841733-0-146807","Frozen Watcher's Greatsword","Frozen Watcher's Greatsword"
"242841733-0-80402","Greatsword Of The Knightmare","The Knightmare: 대검"
"242841733-0-162056","Roaring Opportunist's Greatsword","Roaring Opportunist's Greatsword"
"242841733-0-137076","Relequen's Greatsword","Relequen's Greatsword"
"242841733-0-56773","Greatsword of Kagrenac's Hope","Greatsword of Kagrenac's Hope"
"242841733-0-99029","Swamp Raider's Greatsword","Swamp Raider's Greatsword"
"242841733-0-149085","Undertaker's Greatsword","Undertaker's Greatsword"
"242841733-0-110851","Greatsword of the Worm Cult","Greatsword of the Worm Cult"
"242841733-0-153100","Z'en's Greatsword","Z'en's Greatsword"
"242841733-0-130445","Innate Axiom Greatsword","Innate Axiom Greatsword"
"242841733-0-88376","Greatsword of Cyrodiil's Crest","Greatsword of Cyrodiil's Crest"
"242841733-0-47814","Greatsword of the Seducer","Greatsword of the Seducer"
"242841733-0-131769","Greatsword of Glory","Greatsword of Glory"
"242841733-0-107202","Hulking Draugr's Greatsword","Hulking Draugr's Greatsword"
"242841733-0-122820","War Maiden's Greatsword","War Maiden's Greatsword"
"242841733-0-54108","Greatsword of Shalidor's Curse","Greatsword of Shalidor's Curse"
"242841733-0-87041","Greatsword of the Footman","Greatsword of the Footman"
"242841733-0-104179","Greatsword of the Netch's Touch","Greatsword of the Netch's Touch"
"242841733-0-109860","Greatsword of the Noble Duelist","Greatsword of the Noble Duelist"
"242841733-0-75045","Greatsword of the Shadow Dancer","Greatsword of the Shadow Dancer"
"242841733-0-79402","Greatsword of the Pariah","Greatsword of the Pariah"
"242841733-0-54143","Greatsword of Shalidor's Curse","Greatsword of Shalidor's Curse"
"228378404-0-1674","This sword emanates dark energy. When released, the hilt blackens the bearer's palms with greasy soot.","이 검은 어두운 힘을 발산하고 있습니다. 자루를 손에서 놓으면 손바닥에 기름진 검댕이 묻어있습니다."
"242841733-0-76371","Pelinal's Greatsword","Pelinal's Greatsword"
"242841733-0-151376","Perfected Nahviintaas's Greatsword","Perfected Nahviintaas's Greatsword"
"242841733-0-101908","Prisoner's Greatsword","죄수의 대검 (Prisoner's Greatsword)"
"242841733-0-117498","Greatsword of the Shield Breaker","Greatsword of the Shield Breaker"
"242841733-0-150047","False God's Greatsword","False God's Greatsword"
"242841733-0-90677","Greatsword of the Onslaught","Greatsword of the Onslaught"
"242841733-0-99009","Swamp Raider's Greatsword","Swamp Raider's Greatsword"
"242841733-0-128153","Blooddrinker Greatsword","Blooddrinker Greatsword"
"242841733-0-89690","Greatsword of the Sergeant","Greatsword of the Sergeant"
"242841733-0-79414","Greatsword of the Pariah","Greatsword of the Pariah"
"242841733-0-142425","Dead-Water's Guile Greatsword","Dead-Water's Guile Greatsword"
"242841733-0-109881","Greatsword of the Noble Duelist","Greatsword of the Noble Duelist"
"242841733-0-162035","Roaring Opportunist's Greatsword","Roaring Opportunist's Greatsword"
"242841733-0-55465","Skoria's Charred Claymore","Sunderflame: 스코리아의 그을린 클레이모어"
