"Location","Source","Target"
"242841733-0-46140","sanded ash^ns","매끄러운 물푸레나무 (sanded ash)"
"242841733-0-23121","sanded beech^ns","매끄러운 너도밤나무 (sanded beech)"
"242841733-0-46142","sanded nightwood^ns","매끄러운 깊은밤나무 (sanded nightwood)"
"228378404-0-46142","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
"242841733-0-46141","sanded mahogany^ns","매끄러운 마호가니 (sanded mahogany)"
"228378404-0-46141","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
"228378404-0-46140","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
"242841733-0-23123","sanded yew^ns","매끄러운 주목 (sanded yew)"
"242841733-0-23122","sanded hickory^ns","매끄러운 히코리 (sanded hickory)"
"242841733-0-46139","sanded birch^ns","매끄러운 자작나무 (sanded birch)"
"242841733-0-803","sanded maple^ns","매끄러운 단풍나무 (sanded maple)"
"242841733-0-64502","Sanded Ruby Ash^ns","매끄러운 루비 물푸레나무 (Sanded Ruby Ash)"
"242841733-0-533","sanded oak^ns","매끄러운 참나무 (sanded oak)"
"228378404-0-533","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
"228378404-0-46139","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
"228378404-0-23122","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
"228378404-0-64502","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
"228378404-0-23123","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
"228378404-0-803","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
"228378404-0-23121","An ingredient for crafting wooden weapons and shields.","목재 무기와 방패를 만들기 위한 재료입니다."
