"Location","Source","Target"
"198758357-0-64077","Sprinter","Sprinter"
"198758357-0-92423","Ironclad","Ironclad"
"198758357-0-92424","Physical Weapon Expert","Physical Weapon Expert"
"198758357-0-92425","Siphoner","Siphoner"
"198758357-0-63663","Plentiful Harvest","Plentiful Harvest"
"132143172-0-59948","Increases the effectiveness of your damage shields by <<1>>.","보호막의 효율이 <<1>> 증가합니다."
"198758357-0-64079","Bulwark","Bulwark"
"198758357-0-60398","Ensnare","Ensnare"
"132143172-0-92134","Increases your damage done with direct damage attacks by <<1>>.","즉시 공격의 피해량이 <<1>>만큼 증가합니다."
"198758357-0-59286","Unchained","Unchained"
"132143172-0-59300","While you are resurrecting another player, your damage taken is reduced by <<1>>.","다른 플레이어를 부활시키는 중에 받는 피해가 <<1>> 감소합니다."
"198758357-0-60555","Master Gatherer","Master Gatherer"
"132143172-0-60384","Increases your Critical Resistance by <<1>>.","치명타 저항이 <<1>> 증가합니다."
"198758357-0-60427","Revival","Revival"
"132143172-0-64067","When you begin Bracing, you gain a damage shield that absorbs <<1>> damage for <<2>>. This effect can occur once every <<3>>.","방어를 하면 <<2>>동안 <<1>> 피해를 흡수하는 방어막을 얻습니다. 이 효과는 <<3>>에 한 번씩 발동됩니다."
"132143172-0-63099","When you interrupt an enemy, your next Physical Damage ability used within <<1>> deals <<2>> additional damage.","적을 방해할 경우 <<1>>안에 사용하는 다음 물리 피해 어빌리티가 <<2>>만큼의 추가적인 피해를 입힙니다."
"132143172-0-60662","Increases your damage done to enemies with a damage shield by <<1>>.","보호막이 있는 적에게 입히는 피해량이 <<1>> 증가합니다."
"132143172-0-60407","When you use Bash, you have a |cffffff20|r% chance to heal for <<1>> Health.","밀어치기를 사용하면 |cffffff20|r% 확률로 체력을 <<1>> 회복합니다."
"132143172-0-60649","Reduces the cost of Block by <<1>>.","막기의 소모량이 <<1>> 감소합니다."
"198758357-0-92431","Warlord","Warlord"
"198758357-0-63099","Opportunist","Opportunist"
"198758357-0-60384","Resistant","Resistant"
"198758357-0-64067","Reinforced","Reinforced"
"132143172-0-59953","Reduces your damage taken from player Light and Heavy Attacks by <<1>>.","플레이어에게 약공격과 강공격으로 받는 피해를 <<1>> 감소시킵니다."
"198758357-0-60662","Shattering Blows","Shattering Blows"
"132143172-0-92423","Reduces your damage taken against direct damage attacks by <<1>>.","즉발 공격으로 받는 피해가 <<1>> 감소합니다."
"132143172-0-92424","Increases your damage done with Light and Heavy Attacks for Two Handed, One Hand and Shield, Dual Wield, and Bow weapons, as well as in Werewolf form by <<1>>.","양손무기와 한손무기 및 방패, 쌍수무기, 활로 입히는 약공격과 강공격의 피해량이 <<1>>만큼 증가합니다.\n늑대인간 변신중에도 적용됩니다.\n"
"132143172-0-60494","Increases your crafting inspiration gained by <<1>>.","제작 숙련도의 획득량이 <<1>> 증가합니다."
"198758357-0-59953","Expert Defender","Expert Defender"
"132143172-0-60370","When you deal Critical Damage, you heal for <<1>> Health. This effect can occur once every <<2>>.","즉발 치명타 피해를 입히면 체력을 <<1>> 회복합니다. 이 효과는 <<2>>마다 한 번씩 발동됩니다."
"132143172-0-60413","When you fall below |cffffff20|r% Health you gain Major Heroism, granting <<1>> Ultimate every |cffffff1.5|r seconds for <<2>>. This effect can occur once every <<3>>.","체력이 |cffffff20|r% 아래로 감소하면 Major Heroism 효과를 얻습니다. <<2>> 에 걸쳐 |cffffff1.5|r마다 궁극기 게이지 <<1>> 을 얻습니다. 이 효과는 <<3>>에 한 번씩 발동됩니다."
"132143172-0-62274","Improves your mastery with mounts, removing all mount Stamina costs outside of combat.","탈것의 숙련도를 높여 전투 외의 상황에서 탈것의 스태미나 소모를 모두 없앱니다."
"132143172-0-63880","Increases your damage done against Off Balance enemies by <<1>>.","균형을 잃은 적에 대한 피해량이 <<1>> 증가합니다."
"132143172-0-60374","Increases your Health Recovery by <<1>>.","체력 재생량이 <<1>> 만큼 증가합니다."
"198758357-0-61660","Resilient","Resilient"
"132143172-0-92431","Reduces the cost of Break Free by <<1>>.","군중 제어 벗어나기의 리소스 소모량이 <<1>> 감소합니다."
"198758357-0-63843","Elemental Defender","Elemental Defender"
"132143172-0-59526","When you drink a potion, the cost of your next Magicka ability used within <<1>> is reduced by <<2>>.","포션을 마시면 <<1>> 안에 사용하는 다음 매지카 어빌리티의 비용이 <<2>> 감소합니다."
"198758357-0-59582","Infusion","Infusion"
"198758357-0-61546","Piercing","Piercing"
"198758357-0-62516","Mara's Gift","Mara's Gift"
"198758357-0-63847","Thaumaturge","Thaumaturge"
"198758357-0-63844","Hardy","Hardy"
"198758357-0-61548","Shade","Shade"
"198758357-0-61426","Shadowstrike","Shadowstrike"
"132143172-0-59120","Increases your Physical Resistance by <<1>> while wearing |cffffff5|r or more pieces of Medium Armor.","경갑을 |cffffff5|r 부위 이상 장착하면 물리 저항력이 <<1>> 증가합니다."
"198758357-0-59626","Spell Precision","Spell Precision"
"198758357-0-58899","Bashing Focus","Bashing Focus"
"132143172-0-92425","When you deal damage with a Light or Heavy Attack, you decrease the enemy's Health, Magicka, and Stamina resource restore and Recovery by <<1>> for <<2>>.","약공격이나 강공격으로 피해를 입히면 적의 체력, 매지카, 그리고 스태미나의 회복량과 재생량을 <<2>> 동안 <<1>> 감소시킵니다."
"132143172-0-63875","When you activate a synergy ability, you generate |cffffff2|r Ultimate.","시너지 어빌리티를 활성화하면 궁극기 게이지를 |cffffff2|r 만들어냅니다."
"198758357-0-59105","Precise Strikes","Precise Strikes"
"198758357-0-56630","Fortune Seeker","Fortune Seeker"
"198758357-0-59346","Mooncalf","Mooncalf"
"132143172-0-63879","Increases your damage done with Light and Heavy Attacks by <<1>> to enemies below |cffffff25|r% Health.","체력이 |cffffff25|r% 이하인 적에게 입히는 약공격과 강공격의 피해량이 <<1>>만큼 증가합니다."
"132143172-0-60486","When you use Roll Dodge to dodge an attack, you set the enemy Off Balance.","구르기를 사용하여 공격을 피하면, 적이 균형을 잃은 상태가 됩니다."
"132143172-0-63111","When you kill an enemy, you have a |cffffff20|r% chance to restore <<1>> Magicka for up to |cffffff3|r friendly targets within |cffffff2.5|r meters of the enemy.","적을 죽이면 |cffffff20|r% 확률로 죽인 적의 |cffffff2.5|r미터 안에 있는 우호적인 목표 |cffffff3|r명의 매지카를 <<1>> 회복시킵니다."
"198758357-0-63150","Vengeance","Vengeance"
"132143172-0-59418","Increases your Weapon Critical by <<1>>.","무기 치명타가 <<1>> 증가합니다."
"198758357-0-92134","Master-at-Arms","Master-at-Arms"
"132143172-0-60229","When you block a melee attack, you have a |cffffff15|r% chance to deal <<1>> to the enemy. This effect can occur once every <<2>>.","공격을 방어하면 |cffffff20|r% 확률로 적에게 <<1>>의 피해를 입힙니다. 이 효과는 <<2>>에 한 번씩 발동됩니다."
"132143172-0-60624","Increases your Physical Resistance by <<1>> while wearing |cffffff5|r or more pieces of Heavy Armor.","중갑을 |cffffff5|r 부위 이상 장착하면 물리 저항력이 <<1>> 증가합니다."
"132143172-0-60503","Increases your damage done with Light and Heavy Attacks for Destruction and Restoration Staves, as well as Overload by <<1>>.","파괴 지팡이와 치유 지팡이로 하는 약공격과 강공격의 피해량이 <<1>> 증가합니다."
"198758357-0-60560","Windrunning","Windrunning"
"198758357-0-59298","Befoul","Befoul"
"132143172-0-59893","When you drink a potion, you gain a damage shield that absorbs <<1>> damage for <<2>>.","포션을 마시면 <<2>>동안 <<1>>의 피해를 흡수하는 보호막을 얻습니다."
"198758357-0-60566","Treasure Hunter","Treasure Hunter"
"132143172-0-63104","When you block a Heavy Attack, your next Light Attack used within <<1>> deals <<2>> additional damage.","강공격을 막으면 <<1>>안에 하는 다음 약공격이 <<2>>의 추가 피해를 입힙니다."
"132143172-0-61680","Increases your Critical Damage and Critical Healing with Magicka abilities by <<1>>.","매지카 어빌리티의 치명타 피해량과 치명타 치유량이 <<1>>만큼 증가합니다."
"132143172-0-63863","Reduces the cost of Roll Dodge by <<1>>.","구르기 회피의 소모량이 <<1>> 감소합니다."
"198758357-0-59577","Arcanist","Arcanist"
"132143172-0-63109","When you take Flame, Frost, Shock, Magic, or Oblivion Damage equal to |cffffff30|r% of your Max Health, you restore <<1>> Magicka. This effect can occur once every <<2>>.","전체 체력의 |cffffff30|r%에 달하는 화염, 냉기, 전격 또는 오블리비언 피해를 입으면 매지카를 <<1>> 회복합니다. 이 효과는 <<2>>에 한 번씩 발동됩니다."
"132143172-0-63868","Increases your Physical, Poison, and Disease Damage done by <<1>>.","물리와 독, 질병 피해의 피해량이 <<1>>만큼 증가합니다."
"198758357-0-61680","Elfborn","Elfborn"
"132143172-0-59626","Increases your Spell Critical by <<1>>.","마법 치명타가 <<1>> 증가합니다."
"132143172-0-61548","Reduces the cost of Sneak by <<1>>.","은신 상태에서 이동시 스태미나 소모량이 <<1>> 감소합니다."
"132143172-0-62516","When you die, you heal all allies within |cffffff8|r meters of you for <<1>> Health.","당신이 죽으면 |cffffff8|r미터 안에 있는 모든 아군들의 체력을 <<1>>만큼 회복시킵니다."
"132143172-0-63847","Increases your damage done with damage over time effects by <<1>>.","지속 피해 효과의 피해량이 <<1>> 증가합니다."
"132143172-0-59105","Increases your Critical Damage and Critical Healing with Stamina abilities by <<1>>.","스태미나 어빌리티의 치명타 피해량과 치명타 치유량이 <<1>>만큼 증가합니다."
"132143172-0-63848","Increases your Flame, Frost, Shock, and Magic Damage done by <<1>>.","화염, 냉기, 전격, 그리고 마법 피해가 <<1>> 증가합니다."
"132143172-0-58899","Reduces the cost of Bash by <<1>>.","밀어치기의 소모량이 <<1>> 감소합니다."
"198758357-0-59120","Medium Armor Focus","Medium Armor Focus"
"198758357-0-63104","Retaliation","Retaliation"
"198758357-0-63863","Tumbling","Tumbling"
"198758357-0-63109","Spell Absorption","Spell Absorption"
"198758357-0-63868","Mighty","Mighty"
"132143172-0-59346","Increases your Stamina Recovery by <<1>>.","스태미나 재생량이 <<1>> 만큼 증가합니다."
"132143172-0-56630","Increases the amount of gold you find in treasure chests and safeboxes by <<1>>.","보물 상자와 금고에서 발견하는 골드가 <<1>> 증가합니다."
"132143172-0-59582","When you resurrect another player, you increase their Magicka Recovery by <<1>> for <<2>>.","다른 플레이어를 부활시키면, 부활시킨 플레이어의 매지카 재생을 <<2>>동안 <<1>>만큼 증가시킵니다."
"132143172-0-63850","Reduces your damage taken from damage over time effects by <<1>>.","지속 효과로부터 받는 피해가 <<1>> 감소합니다."
"132143172-0-63851","Increases your healing received by <<1>>.","받는 치유량이 <<1>> 증가합니다."
"198758357-0-60229","Riposte","Riposte"
"198758357-0-59526","Foresight","Foresight"
"132143172-0-63852","When you use Roll Dodge, your Physical and Spell Resistance is increased by <<1>> for <<2>>.","구르기를 사용하면 무기와 마법 저항력이 <<2>> 동안 <<1>> 만큼 증가합니다."
"132143172-0-63854","Increases the Magicka and Stamina your fully-charged Heavy Attacks restore by <<1>>.","강공격으로 회복되는 매지카와 스태미나가 <<1>>만큼 증가합니다."
"132143172-0-60502","Increases your Physical Resistance by <<1>> while wearing |cffffff5|r or more pieces of Light Armor.","천옷을 |cffffff5|r 부위 이상 장착하면 물리 저항력이 <<1>> 증가합니다."
"132143172-0-60501","Reduces the cost of repairing your armor by <<1>>.","방어구 수리 비용이 <<1>> 감소합니다."
"132143172-0-61555","Increases your Spell Penetration by <<1>>.","마법 관통력이 <<1>>만큼 증가합니다."
"132143172-0-62760","Increases your Spell Resistance by <<1>>.","주문 저항력이 <<1>> 증가합니다."
"198758357-0-62760","Spell Shield","Spell Shield"
"198758357-0-63850","Thick Skinned","Thick Skinned"
"198758357-0-63854","Tenacity","Tenacity"
"198758357-0-63851","Quick Recovery","Quick Recovery"
"198758357-0-61555","Spell Erosion","Spell Erosion"
"198758357-0-63852","Phase","Phase"
"132143172-0-59630","Increases your healing done by <<1>>.","치유량이 <<1>> 증가합니다."
"198758357-0-60501","Merchant Favored","Merchant Favored"
"198758357-0-60624","Heavy Armor Focus","Heavy Armor Focus"
"198758357-0-60503","Staff Expert","Staff Expert"
"198758357-0-60502","Light Armor Focus","Light Armor Focus"
"132143172-0-61660","When you take Critical Damage, you heal for <<1>> Health.","치명타 피해를 받으면 체력을 <<1>> 회복합니다."
"198758357-0-63848","Elemental Expert","Elemental Expert"
"132143172-0-63843","Reduces your damage taken from Flame, Frost, Shock, and Magic Damage by <<1>>.","화염, 냉기, 전격, 그리고 마법 공격으로 받는 피해가 <<1>> 감소합니다."
"132143172-0-63844","Reduces your damage taken from Physical, Poison, and Disease Damage by <<1>>.","물리, 독, 그리고 질병 공격으로 받는 피해가 <<1>> 감소합니다."
"198758357-0-59630","Blessed","Blessed"
"132143172-0-61426","When you kill an enemy with a Heavy Attack, you become invisible for <<1>>. This effect can occur once every <<2>>.","적을 강공격으로 죽이면 <<1>>동안 투명해집니다. 이 효과는 <<2>>마다 한 번씩 발동됩니다."
"132143172-0-61546","Increases your Physical Penetration by <<1>>.","물리 관통력이 <<1>>만큼 증가합니다."
"198758357-0-60370","Critical Leech","Critical Leech"
"198758357-0-62274","War Mount","War Mount"
"198758357-0-63880","Exploiter","Exploiter"
"198758357-0-60374","Healthy","Healthy"
"198758357-0-60494","Inspiration Boost","Inspiration Boost"
"198758357-0-60413","Last Stand","Last Stand"
"132143172-0-60560","Increases your Movement Speed and Mounted Speed by <<1>>.\n\nIncreases your Health and Magicka Recovery by <<2>> while Sprinting.","이동 속도와 탈것의 이동 속도가 <<1>> 증가합니다.\n\n질주하는 도중 체력 및 매지카 재생이 <<2>> 증가합니다."
"132143172-0-59286","When you use Break Free, the cost of your next Stamina ability used within <<1>> is reduced by <<2>>.","벗어나기를 사용하면 <<1>> 안에 사용하는 다음 스태미나 어빌리티의 비용이 <<2>> 감소합니다."
"198758357-0-60407","Invigorating Bash","Invigorating Bash"
"198758357-0-60649","Shadow Ward","Shadow Ward"
"198758357-0-59300","Field Physician","Field Physician"
"132143172-0-63150","When you block three spells within <<1>> of each other, your next damaging Magicka ability used within <<2>> will always be a Critical Strike.","<<1>> 안에 주문을 세 번 방어하면 <<2>> 안에 사용하는 다음 매지카 어빌리티는 항상 치명타가 됩니다."
"132143172-0-60566","Increases the quality of items you find in treasure chests.","보물 상자에서 발견하는 아이템의 품질이 좋아집니다."
"198758357-0-59948","Bastion","Bastion"
