"Location","Source","Target"
"198758357-0-46768","Runestone Extraction","Runestone Extraction"
"198758357-0-46769","Runestone Extraction","Runestone Extraction"
"198758357-0-46771","Hireling","Hireling"
"198758357-0-46772","Hireling","Hireling"
"198758357-0-47852","Keen Eye: Rune Stones","Keen Eye: Rune Stones"
"198758357-0-47853","Keen Eye: Rune Stones","Keen Eye: Rune Stones"
"198758357-0-46767","Runestone Extraction","Runestone Extraction"
"132143172-0-46768","Increases the chance of extracting each type of Runestone by 6%.","각 유형의 룬스톤을 추출할 확률이 6% 증가합니다."
"132143172-0-46767","Increases the chance of extracting each type of Runestone by 3%.","각 유형의 룬스톤을 추출할 확률이 3% 증가합니다."
"198758357-0-46770","Hireling","Hireling"
"132143172-0-46769","Increases the chance of extracting each type of Runestone by 10%.","각 유형의 룬스톤을 추출할 확률이 10% 증가합니다."
"132143172-0-47852","Runes in the world will be easier to see when you are <<1>> or closer.","<<1>> 이상 가까워지면 세계의 룬을 더 쉽게 볼 수 있습니다."
"132143172-0-47853","Runes in the world will be easier to see when you are <<1>> or closer.","<<1>> 이상 가까워지면 세계의 룬을 더 쉽게 볼 수 있습니다."
"132143172-0-46771","When you go offline, a hireling will find Runestones for you. Your hireling refreshes every 24 hours. Your hireling has a good chance of finding rarer Runestones.","오프라인 상태일 때, 고용인이 룬스톤을 찾아 줄 것입니다. 24시간마다 다시 채워집니다. 희귀 룬스톤을 발견할 확률이 증가합니다."
"132143172-0-46770","When you go offline, a hireling will find Runestones for you. Your hireling refreshes every 24 hours.","오프라인 상태일 때, 고용인이 룬스톤을 찾아 줄 것입니다. 24시간마다 다시 채워집니다."
"132143172-0-46772","An Enchanter hireling will search for resources for you. \nA new delivery from your hireling can be claimed the next time you log in or change zones, provided it has been no less than twelve hours since the last bundle.","마법부여가 고용인이 자원을 찾아 줄 것입니다.\n고용인으로부터 오는 새 배달품은 다음 번에 로그인했을 때나 지역을 이동할 때 받을 수 있습니다. 마지막 꾸러미를 받은 이후 12시간이 경과해야 합니다."
