"Location","Source","Target"
"198758357-0-44621","Brewer","Brewer"
"198758357-0-44620","Brewer","Brewer"
"198758357-0-44625","Recipe Quality","Recipe Quality"
"132143172-0-44609","Adds 10 minutes to the duration of any eaten food.","먹은 음식의 지속 시간을 10분 늘립니다."
"198758357-0-44624","Brewer","Brewer"
"132143172-0-44615","Adds 20 minutes to the duration of any consumed drink.","마신 음료의 지속 시간을 20분 늘립니다."
"132143172-0-44616","Creates 1 extra serving for each food recipe made.","음식을 한 번 제작할 때마다 1개를 추가로 제작합니다."
"132143172-0-44617","Creates 2 extra servings for each food recipe made.","음식을 한 번 제작할 때마다 2개를 추가로 제작합니다."
"132143172-0-44612","Adds 5 minutes to the duration of any consumed drink.","마신 음료의 지속 시간을 5분 늘립니다."
"132143172-0-44614","Adds 10 minutes to the duration of any consumed drink.","마신 음료의 지속 시간을 10분 늘립니다."
"132143172-0-44610","Adds 20 minutes to the duration of any eaten food.","먹은 음식의 지속 시간을 20분 늘립니다."
"132143172-0-69953","Allows the use of Legendary (gold) Recipes.","전설(황금색) 레시피를 사용할 수 있게 됩니다."
"132143172-0-44650","Allows the making of up to Champion 150 Recipes.","챔피언 레벨 150 이상의 레시피를 사용할 수 있게 됩니다."
"198758357-0-69953","Recipe Quality","Recipe Quality"
"198758357-0-44599","Recipe Improvement","Recipe Improvement"
"198758357-0-44631","Recipe Quality","Recipe Quality"
"198758357-0-44598","Recipe Improvement","Recipe Improvement"
"198758357-0-44630","Recipe Quality","Recipe Quality"
"198758357-0-44597","Recipe Improvement","Recipe Improvement"
"198758357-0-44595","Recipe Improvement","Recipe Improvement"
"132143172-0-44619","Creates 3 extra servings for each food recipe made.","요리를 한 번 제작할 때마다 3개를 추가로 제작합니다."
"198758357-0-44634","Hireling","Hireling"
"132143172-0-44624","Creates 3 extra servings for each drink recipe made.","음료를 한 번 제작할 때마다 3개를 추가로 제작합니다."
"132143172-0-44625","Allows the use of Standard (green) Recipes.","보통(초록색) 레시피를 사용할 수 있게 됩니다."
"198758357-0-44590","Recipe Improvement","Recipe Improvement"
"132143172-0-44620","Creates 1 extra serving for each drink recipe made.","음료를 한 번 제작할 때마다 1개를 추가로 제작합니다."
"132143172-0-44621","Creates 2 extra servings for each drink recipe made.","음료를 한 번 제작할 때마다 2개를 추가로 제작합니다."
"132143172-0-44590","Allows the making of up to level 19 Recipes.","19레벨 이상의 레시피를 사용할 수 있게 됩니다."
"198758357-0-44641","Hireling","Hireling"
"198758357-0-44640","Hireling","Hireling"
"198758357-0-44602","Gourmand","Gourmand"
"132143172-0-44634","When you go offline, a hireling will find Food or Drink ingredients for you. Your hireling can be used every 24 hours.","오프라인 상태일 때, 고용인이 음식이나 음료의 재료를 보내 줄 것입니다. 24시간마다 사용할 수 있습니다."
"132143172-0-44630","Allows the use of Difficult (blue) Recipes.","어려운(파란색) 레시피를 사용할 수 있게 됩니다."
"132143172-0-44597","Allows the making of up to level 39 Recipes.","39레벨 이상의 레시피를 사용할 수 있게 됩니다."
"132143172-0-44631","Allows the use of Complex (purple) Recipes.","복잡한(보라색) 레시피를 사용할 수 있게 됩니다."
"132143172-0-44598","Allows the making of up to level 49 Recipes.","49레벨 이상의 레시피를 사용할 수 있게 됩니다."
"132143172-0-44599","Allows the making of up to Champion 50 Recipes.","챔피언 레벨 50 이상의 레시피를 사용할 수 있게 됩니다."
"132143172-0-44595","Allows the making of up to level 29 Recipes.","29레벨 이상의 레시피를 사용할 수 있게 됩니다."
"198758357-0-44610","Gourmand","Gourmand"
"198758357-0-44650","Recipe Improvement","Recipe Improvement"
"198758357-0-44619","Chef","Chef"
"198758357-0-44617","Chef","Chef"
"198758357-0-44616","Chef","Chef"
"198758357-0-44615","Connoisseur","Connoisseur"
"198758357-0-44614","Connoisseur","Connoisseur"
"198758357-0-44612","Connoisseur","Connoisseur"
"132143172-0-44602","Adds 5 minutes to the duration of any eaten food.","먹은 음식의 지속 시간을 5분 늘립니다."
"198758357-0-44609","Gourmand","Gourmand"
"132143172-0-44640","When you go offline, a hireling will find Food or Drink ingredients for you. Your hireling has a higher chance of returning Spices or Flavorings. Your hireling can be used every 24 hours.","오프라인 상태일 때, 고용인이 음식이나 음료의 재료를 보내 줄 것입니다. 향신료나 조미료를 보내줄 확률이 증가합니다. 24시간마다 사용할 수 있습니다."
"132143172-0-44641","A Provisioner hireling will search for resources for you. \nA new delivery from your hireling can be claimed the next time you log in or change zones, provided it has been no less than twelve hours since the last bundle.","요리사 고용인이 자원을 찾아 줄 것입니다.\n고용인으로부터 오는 새 배달품은 다음 번에 로그인했을 때나 지역을 이동할 때 받을 수 있습니다. 마지막 꾸러미를 받은 이후 12시간이 경과해야 합니다."
