"Location","Source","Target"
"132143172-0-47285","Allows the use of Sanded Hickory wood.","매끄러운 히코리를 다룰 수 있게 됩니다."
"198758357-0-47857","Keen Eye: Wood","Keen Eye: Wood"
"132143172-0-48176","Greatly increases the chances of improving items with resins.","수지를 사용해 아이템을 개량할 확률이 크게 증가합니다."
"132143172-0-47286","Allows the use of Sanded Yew wood.","매끄러운 주목을 다룰 수 있게 됩니다."
"198758357-0-47858","Keen Eye: Wood","Keen Eye: Wood"
"132143172-0-48177","More than doubles the chances to improve items with resins.","수지를 사용해 아이템을 개량할 확률이 두 배 이상 증가합니다."
"132143172-0-47283","Allows the use of Sanded Oak wood.","매끄러운 참나무를 다룰 수 있게 됩니다."
"132143172-0-48174","Allows the use of Sanded Nightwood.","매끄러운 나이트우드를 사용할 수 있게 합니다."
"198758357-0-47859","Keen Eye: Wood","Keen Eye: Wood"
"132143172-0-47284","Allows the use of Sanded Beech wood.","매끄러운 너도밤나무를 다룰 수 있게 됩니다."
"132143172-0-48175","Increases the chances of improving items with resins.","수지를 사용해 아이템을 개량할 확률이 증가합니다."
"132143172-0-48172","Allows the use of Sanded Ash wood.","매끄러운 물푸레나무를 다룰 수 있게 됩니다."
"132143172-0-47282","Allows the use of Sanded Maple wood.","매끄러운 단풍나무를 다룰 수 있게 됩니다."
"132143172-0-48173","Allows the use of Sanded Mahogany wood.","매끄러운 마호가니를 다룰 수 있게 됩니다."
"198758357-0-48182","Carpentry","Carpentry"
"198758357-0-48183","Carpentry","Carpentry"
"198758357-0-48184","Lumberjack Hireling","Lumberjack Hireling"
"198758357-0-48185","Lumberjack Hireling","Lumberjack Hireling"
"198758357-0-48186","Lumberjack Hireling","Lumberjack Hireling"
"132143172-0-47287","Allows the use of Sanded Birch wood.","매끄러운 자작나무를 다룰 수 있게 됩니다."
"132143172-0-48178","Improves the chances of extracting Woodworking ingredients and allows the refining of more powerful resins from raw materials.","목공 재료를 추출할 수 있는 기회를 개선하고 더 강력한 성질의 재료를 정제할 수 있게 됩니다."
"198758357-0-48180","Wood Extraction","Wood Extraction"
"132143172-0-48179","Greatly improves the chances of extracting Woodworking ingredients and allows the refining of more powerful resins from raw materials.","목공 재료를 추출할 수 있는 기회를 크게 개선하고 더 강력한 성질의 재료를 정제할 수 있게 됩니다."
"198758357-0-48181","Carpentry","Carpentry"
"132143172-0-48185","A lumberjack hireling will send you more wood and possibly better items every day.","벌목꾼 고용인이 매일 더 많은 목재와 더 좋은 아이템들을 보내줄 것입니다."
"132143172-0-48186","A Lumberjack hireling will search for resources for you. \nA new delivery from your hireling can be claimed the next time you log in or change zones, provided it has been no less than twelve hours since the last bundle.","벌목꾼 고용인이 자원을 찾아 줄 것입니다.\n고용인으로부터 오는 새 배달품은 다음 번에 로그인했을 때나 지역을 이동할 때 받을 수 있습니다. 마지막 꾸러미를 받은 이후 12시간이 경과해야 합니다."
"132143172-0-48183","Reduces research times by 20% and allows the research of three items at once.","연구 시간을 20% 줄이고 3개의 아이템을 동시에 연구할 수 있게 됩니다."
"132143172-0-48184","A lumberjack hireling will send you wood and possibly other items every day.","벌목꾼 고용인이 매일 목재와 다른 아이템들을 보내줄 것입니다."
"132143172-0-48181","Reduces research times by 5% and allows the research of two items at once.","연구 시간을 5% 줄이고 2개의 아이템을 동시에 연구할 수 있게 됩니다."
"132143172-0-48182","Reduces research times by 10% and allows the research of two items at once.","연구 시간을 10% 줄이고 2개의 아이템을 동시에 연구할 수 있게 됩니다."
"132143172-0-48180","Maximizes the chances of extracting Woodworking ingredients and allows the refining of the most powerful resins from raw materials.","목공 재료를 추출할 수 있는 기회를 최대한 높이고 가장 강력한 수지를 정제할 수 있게 됩니다."
"132143172-0-58783","Reduces research times by 25%, limits research time to 30 days, and allows the research of three items at once.","연구 시간을 25% 줄이고, 연구 시간을 최대 30일로 제한하며, 3개의 아이템을 동시에 연구할 수 있게 됩니다."
"132143172-0-47858","Wood in the world will be easier to see when you are <<1>> or closer.","<<1>> 이상 가까워지면 세계의 목재를 더 쉽게 볼 수 있습니다."
"132143172-0-47859","Wood in the world will be easier to see when you are <<1>> or closer.","<<1>> 이상 가까워지면 세계의 목재를 더 쉽게 볼 수 있습니다."
"132143172-0-47857","Wood in the world will be easier to see when you are <<1>> or closer.","<<1>> 이상 가까워지면 세계의 목재를 더 쉽게 볼 수 있습니다."
"198758357-0-58783","Carpentry","Carpentry"
"132143172-0-70046","Allows the use of Sanded Ruby Ash.","매끄러운 루비 물푸레나무를 다룰 수 있게 됩니다."
"198758357-0-70046","Woodworking","Woodworking"
"198758357-0-48179","Wood Extraction","Wood Extraction"
"198758357-0-48172","Woodworking","Woodworking"
"198758357-0-47282","Woodworking","Woodworking"
"198758357-0-48173","Woodworking","Woodworking"
"198758357-0-47283","Woodworking","Woodworking"
"198758357-0-48174","Woodworking","Woodworking"
"198758357-0-47284","Woodworking","Woodworking"
"198758357-0-48175","Resin Expertise","Resin Expertise"
"198758357-0-47285","Woodworking","Woodworking"
"198758357-0-48176","Resin Expertise","Resin Expertise"
"198758357-0-47286","Woodworking","Woodworking"
"198758357-0-48177","Resin Expertise","Resin Expertise"
"198758357-0-47287","Woodworking","Woodworking"
"198758357-0-48178","Wood Extraction","Wood Extraction"
