"Location","Source","Target"
"198758357-0-20930","Engulfing Flames","Engulfing Flames"
"132143172-0-32947","Call down a battle standard, dealing <<1>> every <<2>> for <<3>> to enemies and applying Major Defile to them, reducing their healing received and Health Recovery by <<4>>. \n\nStanding in the area increases your damage done and reduces damage taken by <<5>>.\n\nAn ally near the standard can activate the |cffffffShackle|r synergy, dealing <<6>> to enemies in the area and immobilizing them for <<7>>.","전투 깃발을 소환합니다. 깃발은 <<3>> 동안, 근처의 적들에게 <<2>>마다 <<1>>를 입히고, Major Defile 효과를 가해, 받는 치유량과 체력 재생을 <<4>> 감소시킵니다.\n\n깃발의 범위 안에 있으면, 자신이 입히는 피해량이 <<5>> 증가하고, 받는 피해량이 <<5>> 감소합니다.\n\n활성화되어 있는 동안 아군이 |cffffffShackle|r 연계 효과를 발동시킬 수 있습니다. 발동시키면 깃발 범위 내의 적들에게 <<6>>를 입히고, <<7>> 동안 이동 불가로 만듭니다."
"198758357-0-20657","Searing Strike","Searing Strike"
"198758357-0-23806","Lava Whip","Lava Whip"
"132143172-0-28967","Activate an aura of flames which launches a fireball at the nearest enemy every <<1>>, dealing <<2>>.\n\nWhile slotted, you gain Major Prophecy, increasing your Spell Critical rating by <<3>>.\n\nThis ability scales with your highest offensive stats.","화염의 아우라를 발동해서 <<1>>마다 가장 가까운 적에게 파이어볼을 발사해 <<2>>를 줍니다.\n\n슬롯에 장착하면 Major Prophecy 효과를 얻어 마법 치명타 확률이 <<3>> 증가합니다.\n\n이 어빌리티는 주 스텟에 따라 조정됩니다."
"198758357-0-20492","Fiery Grip","Fiery Grip"
"132143172-0-20917","Exhale a flaming blast to enemies in front of you, dealing <<1>> and an additional <<2>> over <<3>>.","전방의 적들에게 화염의 숨결을 내뿜어 <<1>>를 주고 추가로 <<2>>를 <<3>>에 걸쳐 줍니다."
"198758357-0-20496","Unrelenting Grip","Unrelenting Grip"
"198758357-0-29424","Combustion","Combustion"
"198758357-0-20499","Empowering Chains","Empowering Chains"
"132143172-0-45029","Increases the damage of your Flame area of effect abilities by <<1>>.\n\nDecreases the cost of your Stamina Poison abilities by <<2>>.","화염 광역 어빌리티의 피해가 <<1>> 증가합니다.\n\n독 어빌리티의 스태미나 소모가 <<2>> 감소합니다."
"198758357-0-20805","Molten Whip","Molten Whip"
"132143172-0-29451","Increases the damage of your Flame area of effect abilities by <<1>>.\n\nDecreases the Stamina cost of your Poison abilities by <<2>>.","범위 공격 어빌리티의 화염 피해량이 <<1>> 만큼 증가합니다.\n\n독공격의 스태미나 소모량이 <<2>> 만큼 감소합니다."
"198758357-0-32881","Cauterize","Cauterize"
"132143172-0-45023","Increases the damage over time of your Fiery Breath, Searing Strike, and Dragonknight Standard abilities by <<1>> and the duration by <<2>>.","Fiery Breath, Searing Strike, Dragonknight Standard 어빌리티의 피해량이 <<1>> 만큼 증가하고 지속 시간이 <<2>> 증가합니다."
"132143172-0-32853","Activate an aura of flames which launches a fireball at |cffffff2|r enemies every <<1>>, dealing <<2>>.\n\nWhile slotted, you gain Major Prophecy and Major Savagery, increasing your Spell and Weapon Critical ratings by <<3>>.\n\nThis ability scales with your highest offensive stats.","화염의 아우라를 발동해서 <<1>>마다 |cffffff2|r명의 적에게 파이어볼을 발사해 <<2>>를 줍니다.\n\n슬롯에 장착하면 Major Prophecy, Major Savagery 효과를 얻어 마법 및 무기 치명타 확률이 <<3>> 증가합니다.\n\n이 어빌리티는 주 스텟에 따라 조정됩니다."
"198758357-0-28967","Inferno","Inferno"
"198758357-0-32853","Flames of Oblivion","Flames of Oblivion"
"198758357-0-29451","World in Ruin","World in Ruin"
"198758357-0-20917","Fiery Breath","Fiery Breath"
"198758357-0-45012","Warmth","Warmth"
"132143172-0-28988","Call down a battle standard, dealing <<1>> every <<2>> for <<3>> to enemies and applying Major Defile to them, reducing their healing received and Health Recovery by <<4>>. \n\nAn ally near the standard can activate the |cffffffShackle|r synergy, dealing <<5>> to enemies in the area and immobilizing them for <<6>>.","전투 깃발을 소환합니다. 깃발은 <<3>> 동안, 근처의 적들에게 <<2>>마다 <<1>>를 입히고, Major Defile 효과를 가해, 받는 치유량과 체력 재생을 <<4>> 감소시킵니다.\n\n활성화되어 있는 동안 아군이  |cffffffShackle|r 연계 효과를 발동시킬 수 있습니다. 발동시키면 깃발 범위 내의 적들에게 <<5>>를 입히고, <<6>> 동안 이동 불가로 만듭니다."
"198758357-0-45011","Combustion","Combustion"
"132143172-0-29439","Increases the duration of your Fiery Breath, Searing Strike, and Dragonknight Standard abilities by <<1>>.","Fiery Breath, Searing Strike, Dragonknight Standard 어빌리티의 지속 시간이 <<1>> 증가합니다."
"132143172-0-32881","Activate an aura of flames which launches a fireball at yourself or an ally to cauterize their wounds every <<1>>, healing them for <<2>> Health.\n\nWhile slotted, you gain Major Prophecy, increasing your Spell Critical rating by <<3>>.\n\nThis ability scales with your highest offensive stats.","화염의 아우라를 발동해서 <<1>>마다 한 명의 아군 혹은 당신에게 파이어볼을 발사해 상처를 지지고, 체력을 <<2>>만큼 회복시킵니다.\n\n슬롯에 장착하면 Major Prophecy 효과를 얻어, 마법 치명타 확률이 <<3>> 증가합니다.\n\n이 어빌리티는 주 스텟에 따라 조정됩니다."
"132143172-0-20816","Lash an enemy with flame, dealing <<1>>.\n\nIf you strike an enemy that is immobilized or stunned, you set them Off Balance.\n\nTargeting an Off Balance or immobilized enemy changes this ability into <<2>>, allowing you to lash an enemy at half cost to deal <<3>> and heal you for <<4>> Health over <<5>>.  This effect can occur once every <<6>>.","화염 채찍을 휘둘러 적에게 <<1>>를 줍니다.\n\n이동 불가나 기절 상태인 적을 공격 시 균형을 잃게 만듭니다. \n\n표적이 균헝을 잃은 상태일 경우 리소스 소모량이 절반으로 줄어든 <<2>> 어빌리티로 변경되며,  <<3>>를 주고  <<4>>만큼의 체력을 <<5>>에 걸쳐 회복합니다. 해당 효과는 <<6>>에 한 번만 발동됩니다."
"132143172-0-20668","Rake an enemy with your claw, dealing <<1>> and an additional <<2>> over <<3>>.\n\nThe poison seeps into the target and deals increased damage the longer it lasts, dealing <<4>> more damage every <<5>>.\n\nEnemies hit by the initial hit are afflicted with the Poisoned status effect.","적을 발톱으로 할퀴어 <<1>>를 주고 추가로 <<3>>에 걸쳐 <<2>>를 줍니다.\n\n독은 적에게 스며들어 오래 지속 될 수록 더 많은 피해를 입힙니다. <<5>>마다 독의 피해량이 <<4>> 만큼 증가합니다.\n\n처음 피해를 받은 적들은 중독 상태이상에 걸립니다. "
