"Location","Source","Target"
"132143172-0-29457","While a Draconic Power ability is active, your healing received is increased by <<1>>.","Draconic Power 어빌리티의 지속 시간 동안 받는 치유량이 <<1>> 증가합니다."
"132143172-0-32744","Draw on your draconic blood to heal for <<1>>% of your missing Health.\n\nYou also gain Major Fortitude, Major Endurance, and Minor Vitality, increasing your Health Recovery and Stamina Recovery by <<2>> and healing received by <<3>> for <<4>>.","체내에 흐르는 드래곤의 피를 이용해 잃은 체력의 <<1>>% 를 회복합니다.\n\n또한 Major Fortitude, Major Endurance, Minor Vitality 효과를 얻어 <<4>> 동안 체력 재생량과 스태미나 재생량이 <<2>> 증가하고 받는 치유량이 <<3>> 증가합니다."
"198758357-0-20251","Choking Talons","Choking Talons"
"198758357-0-32719","Take Flight","Take Flight"
"132143172-0-32785","Channel draconic energy to suck in the air around you, dealing <<1>> to nearby enemies and healing you for <<2>>% of the damage caused.\n\nAfter <<3>>, you exhale fire, dealing <<4>> to nearby enemies and restoring <<5>>% of the ability's cost for each enemy hit as Magicka.","드래곤의 힘을 시전해 주변의 공기를 빨아들입니다. 근처의 적들에게 <<1>>를 주고 준 피해의 <<2>>% 만큼 체력을 회복합니다.\n\n<<3>> 후 화염을 뿜어내어 근처의 적들에게 <<4>>를 주고 피해를 입힌 적 한 명당 소모한 매지카의 <<5>>%를 돌려받습니다."
"198758357-0-20252","Burning Talons","Burning Talons"
"198758357-0-32722","Coagulating Blood","Coagulating Blood"
"132143172-0-20328","Release your inner Dragon to gain Major Resolve, increasing your Physical and Spell Resistance by <<1>> for <<2>>. \n\nYou gain a damage shield that absorbs up to <<3>> damage for <<4>>.  This portion of the ability scales off your Max Health.  \n\nWhile active, the armor returns <<5>> to any enemy that uses a direct damage attack against you in melee range.","드래곤의 힘을 방출해 Major Resolve 효과를 얻습니다. 물리 및 마법 저항력이 <<2>> 동안 <<1>> 증가합니다. \n\n최대 체력의 <<3>> 만큼 피해를 흡수하는 보호막을 <<4>> 동안 얻습니다. 이 능력은 최대 체력에 비례하여 조정됩니다.\n\n활성화된 갑옷은 당신을 근거리에서 직접공격으로 공격하는 적에게 피해를  <<5>>를 줍니다."
"198758357-0-29460","Elder Dragon","Elder Dragon"
"132143172-0-20323","Release your inner Dragon to gain Major Resolve, increasing your Physical and Spell Resistance by <<1>> for <<2>>. \n\nYou release a spray of spikes around you, causing enemies hit to take <<3>> over <<4>>.\n\nWhile active, the armor returns <<5>> to any enemy that uses a direct damage attack against you in melee range.","드래곤의 힘을 방출해 Major Resolve효과를 얻습니다. 물리 및 마법 저항력이 <<2>> 동안 <<1>> 증가합니다. 또한 주변에 가시를 흩뿌려 맞은 적들에게 <<3>>를 <<4>>에 걸쳐 줍니다.\n\n활성화되어 있는 동안 당신을 근거리에서 직접공격으로 공격하는 적에게 피해를 <<5>>를 줍니다."
