"Location","Source","Target"
"198758357-0-44984","Battle Roar","Battle Roar"
"198758357-0-20779","Cinder Storm","Cinder Storm"
"198758357-0-29468","Eternal Mountain","Eternal Mountain"
"132143172-0-17874","Ignite the molten lava in your veins, limiting incoming damage to <<1>>%  of your Max Health and dealing <<2>> to nearby enemies each second for <<3>>. \n\nWhen activated, nearby allies gain a damage shield for <<4>>% of their Max Health for <<5>>.","체내에 흐르는 용암에 불을 지펴 <<3>> 동안 받는 피해를 최대 체력의 <<1>>%로 제한하고 주변의 적들에게 초당 <<2>>를 줍니다.\n\n시전 시 근처의 아군들에게 <<5>> 동안 최대 체력의 <<4>>% 만큼 피해를 흡수하는 보호막을 줍니다."
"198758357-0-29224","Igneous Shield","Igneous Shield"
"132143172-0-17878","Oxidize the green Dragon blood in your veins, limiting incoming damage to <<1>>%  of your Max Health and dealing <<2>> to nearby enemies each second for <<3>>. \n\nWhile active, this ability and your Direct Damage dealt ignores enemy Physical Resistance.","체내에 흐르는 그린 드래곤의 피를 산화시켜 <<3>> 동안 받는 피해를 최대 체력의 <<1>>%로 제한하고 주변의 적들에게 초당 <<2>>를 줍니다.\n\n활성화되어 있는 당신의 직접 공격이 모든 물리 저항력을 무시합니다."
"198758357-0-29463","Battle Roar","Battle Roar"
"198758357-0-32685","Fossilize","Fossilize"
"132143172-0-29059","Summon a scorching cloud of ash at the target location, reducing enemy Movement Speed by <<1>> and healing you and your allies for <<2>> every <<3>>.","대상 지역에 화산재를 뿜어내어 적의 이동속도를 <<1>>만큼 감소시키고, 당신과 아군을 매 <<3>> 마다 <<2>> 회복시킵니다."
"198758357-0-31874","Igneous Weapons","Igneous Weapons"
"198758357-0-44996","Eternal Mountain","Eternal Mountain"
"132143172-0-31888","Charge you and your grouped allies' weapons with volcanic power to gain Major Brutality and Sorcery, increasing your Weapon and Spell Damage by <<1>> for <<2>>.\n\nYour own damage with Heavy Attacks is increased by <<3>> while active.","화산의 힘으로 당신과 아군들의 무기를 강화해 Major Brutality와 Major Sorcery 효과를 얻습니다. <<2>> 동안 무기피해량과 마법 피해량이 <<1>> 증가합니다.\n\n당신은 활성화되어 있는 동안 최대로 완충된 강공격의 피해량이 <<3>> 증가합니다."
"198758357-0-45001","Mountain's Blessing","Mountain's Blessing"
"198758357-0-45009","Helping Hands","Helping Hands"
"198758357-0-29059","Ash Cloud","Ash Cloud"
"132143172-0-29043","Charge you and your grouped allies' weapons with volcanic power to gain Major Brutality and Sorcery, increasing your Weapon and Spell Damage by <<1>> for <<2>>.","화산의 힘으로 당신과 아군들의 무기를 강화해 Major Brutaility와 Major Sorcery 효과를 얻습니다. <<2>> 동안 무기 피해량과 마법 피해량이 <<1>> 증가합니다."
"198758357-0-17878","Corrosive Armor","Corrosive Armor"
"132143172-0-44984","When you cast an Ultimate ability, you restore <<1>> Health, <<2>> Magicka, and <<3>> Stamina for each point of the Ultimate's cost.","궁극기를 시전하면 소모한 궁극기 게이지당 <<1>>의 체력, <<2>>매지카, <<3>>스태미나를 회복합니다."
"198758357-0-31888","Molten Armaments","Molten Armaments"
"198758357-0-17874","Magma Shell","Magma Shell"
"132143172-0-31874","Charge you and your grouped allies' weapons with volcanic power to gain Major Brutality and Sorcery, increasing your Weapon and Spell Damage by <<1>> for <<2>>.","화산의 힘으로 당신과 아군들의 무기를 강화해 Major Sorcery, Major Brutality 효과를 얻습니다. <<2>> 동안 마법 피해량과 무기 피해량이 <<1>> 증가합니다."
"132143172-0-32685","Encase an enemy in stone, stunning them for <<1>>. When the stun ends, they take <<2>> and are immobilized for <<3>>.\n\nThis stun cannot be blocked or dodged.","적을 돌에 가둬 <<1>> 동안 기절시킵니다. 기절이 끝나면 <<2>>를 입히고, <<3>> 동안 이동 불가로 만듭니다.\n\n이 기절은 막거나 피할 수 없습니다."
"198758357-0-29043","Molten Weapons","Molten Weapons"
"132143172-0-44996","Increases duration of your Earthen Heart abilities by <<1>>.","Earthen Heart 어빌리티의 지속시간이 <<1>> 만큼 증가합니다."
