"Location","Source","Target"
"132143172-0-78219","Call the weapon of the Dark Brotherhood to your hand and deliver a killing blow to an unsuspecting target. Experience from this target is reduced by 75%.\n\nThis ability does not work on players or difficult targets.","다크 브라더후드의 무기를 사용해, 무방비 상태인 대상을 암살합니다. 대상에게서 얻는 경험치가 75%만큼 감소합니다.\n\n이 어빌리티는 플레이어나 강력한 대상에겐 사용할 수 없습니다."
"132143172-0-79868","Grants Major Expedition, increasing your Movement Speed by <<1>>  for <<2>> after killing a Citizen.","시민을 살해하면 Major Expedition 효과를 얻어, <<2>> 동안 이동 속도가 <<1>>만큼 증가합니다."
"132143172-0-77394","Bounty and Heat resulting from a witnessed Murder or Assault is reduced by <<1>>.","목격 된 살인과 습격으로 인한 현상금이 <<1>>만큼 감소합니다."
"132143172-0-77395","Bounty and Heat resulting from a witnessed Murder or Assault is reduced by <<1>>.","목격 된 살인과 습격으로 인한 현상금이 <<1>>만큼 감소합니다."
"132143172-0-77396","A contact from the Brotherhood provides beneficial items once per day. This contact is located in Outlaw Refuges, the Gold Coast Dark Brotherhood Sanctuary, and the Hew's Bane Thieves Den.","브라더후드의 접선책이 하루에 한 번 유용한 아이템을 제공합니다. 접선책은 무법자의 은신처에 있는 Gold Coast Dark Brotherhood Sanctuary와 Hew's Bane Thieves Den에 있습니다."
"132143172-0-77397","Grants Major Expedition, increasing your Movement Speed by <<1>>  for <<2>> after killing a Citizen.","시민을 살해하면 Major Expedition 효과를 얻어, <<2>> 동안 이동 속도가 <<1>>만큼 증가합니다."
"132143172-0-77398","Grants Major Expedition, increasing your Movement Speed by <<1>>  for <<2>> after killing a Citizen.","시민을 살해하면 Major Expedition 효과를 얻어, <<2>> 동안 이동 속도가 <<1>>만큼 증가합니다."
"198758357-0-77394","Scales of Pitiless Justice","Scales of Pitiless Justice"
"132143172-0-77399","Grants Major Expedition, increasing your Movement Speed by <<1>>  for <<2>> after killing a Citizen.","시민을 살해하면 Major Expedition 효과를 얻어, <<2>> 동안 이동 속도가 <<1>>만큼 증가합니다."
"132143172-0-79865","Bounty and Heat resulting from a witnessed Murder or Assault is reduced by <<1>>.","목격 된 살인과 습격으로 인한 현상금이 <<1>>만큼 감소합니다."
"132143172-0-77400","Aggression radius from hostile monsters is decreased by 50% while mounted.","탑승 중 적대적 몬스터에게 공격 당하는 범위가 50%만큼 감소합니다."
"198758357-0-77392","Scales of Pitiless Justice","Scales of Pitiless Justice"
"132143172-0-77401","15% chance to shroud you when using the Blade of Woe, shielding you from being witnessed and receiving a Bounty.","비통의 칼날을 사용하면 15% 확률로 목격되지 않고, 현상금이 걸리지 않습니다."
"198758357-0-77397","Padomaic Sprint","Padomaic Sprint"
"198758357-0-77398","Padomaic Sprint","Padomaic Sprint"
"198758357-0-77395","Scales of Pitiless Justice","Scales of Pitiless Justice"
"198758357-0-77396","Shadowy Supplier","Shadowy Supplier"
"198758357-0-77401","Spectral Assassin","Spectral Assassin"
"198758357-0-79865","Scales of Pitiless Justice","Scales of Pitiless Justice"
"132143172-0-77392","Bounty and Heat resulting from a witnessed Murder or Assault is reduced by <<1>>.","살인과 습격 현상금이 <<1>>만큼 감소합니다."
"198758357-0-77399","Padomaic Sprint","Padomaic Sprint"
"198758357-0-77400","Shadow Rider","Shadow Rider"
"198758357-0-78219","Blade of Woe","Blade of Woe"
"198758357-0-79868","Padomaic Sprint","Padomaic Sprint"
