"Location","Source","Target"
"198758357-0-45599","Banish the Wicked","Banish the Wicked"
"198758357-0-40161","Flawless Dawnbreaker","Flawless Dawnbreaker"
"132143172-0-35737","Brand the earth at your location with a rune of protection for <<1>>. You and your allies in the area gain <<2>> and <<3>>, reducing your damage taken by <<4>> and increasing your Stamina Recovery by <<5>>.","자신의 위치에 <<1>> 동안 보호의 룬을 새깁니다. 범위 안의 자신과 모든 아군은 <<2>>, <<3>> 효과를 얻어, 받는 피해량이 <<4>>만큼 감소하고, 스태미나 재생이 <<5>>만큼 증가합니다."
"198758357-0-45597","Banish the Wicked","Banish the Wicked"
"198758357-0-45596","Slayer","Slayer"
"132143172-0-35713","Arm yourself with Meridia's sacred sword and dispense her retribution, dealing <<1>> to enemies in front of you and an additional <<2>> over <<3>>.","메리디아의 신성한 칼로 무장하여 그녀의 복수를 돕습니다. 전방의 적들에게 <<1>>를 입히고, 추가로 <<3>>에 걸쳐 총 <<2>>를 입힙니다."
"198758357-0-45595","Slayer","Slayer"
"198758357-0-40382","Barbed Trap","Barbed Trap"
"198758357-0-40169","Ring of Preservation","Ring of Preservation"
"198758357-0-40300","Silver Shards","Silver Shards"
"132143172-0-35750","Set a sharpened blade trap at your location, which takes |cffffff1.5|r seconds to arm and lasts for <<1>>. \n\nWhen triggered, the trap deals <<2>>, an additional <<3>> over <<4>>, and grants you Minor Force, increasing your Critical Damage by <<5>> for the duration.\n\nEnemies who activate the trap are immobilized for <<6>>.","자신의 위치에 날카로운 칼날 덫을 설치합니다. 칼날 덫은 |cffffff1.5|r초 후 활성화되며, <<1>> 동안 지속됩니다.\n\n덫이 발동되면, <<2>>를 입히고, 추가로 <<4>>에 걸쳐 총 <<3>>를 입히며, <<6>> 동안 적을 이동 불가 상태로 만듭니다. 자신은 Minor Force 효과를 얻어, 치명타 피해량이 <<5>>만큼 증가합니다."
"132143172-0-40158","Arm yourself with Meridia's sacred sword and dispense her retribution, dealing <<1>> to enemies in front of you, an additional <<2>> over <<3>>, and stunning them for <<4>>.","메리디아의 신성한 칼로 무장하여 그녀의 복수를 돕습니다. 전방의 적들에게 <<1>>를 입히고, 추가로 <<3>>에 걸쳐 총 <<2>>를 입히며, <<4>> 동안 기절시킵니다."
"198758357-0-35713","Dawnbreaker","Dawnbreaker"
"198758357-0-35737","Circle of Protection","Circle of Protection"
"132143172-0-40336","Fire a Dawnguard's crossbow hook to pull an enemy to you, dealing <<1>>, and reducing their Movement Speed by <<2>> for <<3>>.","대상에게 던가드 뱀파이어 사냥꾼의 갈고리 석궁을 발사해 당신의 위치로 끌어당깁니다. <<1>>를 입히고, <<3>>동안 <<2>>만큼 감속시킵니다.\n"
"132143172-0-40194","Invoke your expertise in anatomy and enemy behavior to detect stealthed and invisible enemies around you for <<1>>. Exposed enemies cannot return to stealth or invisibility for <<2>>. \n\nWhile active, increases the damage of your Stamina costing Fighters Guild abilities by <<3>>.\n\nWhile slotted you gain <<4>>, increasing your Weapon Critical rating by <<5>>.","해부학과 적 행동학에 관한 전문성을 발휘해, <<1>> 동안 자신 주위의 은신한 모든 적을 감지합니다. 발각된 적은 <<2>> 동안은 다시 은신 상태로 돌아갈 수 없습니다.\n 활성화되어 있는 동안 스태미나를 사용하는 파이터 길드 어빌리티의 공격력이 <<3>>만큼 증가합니다.\n\n슬롯에 있으면 <<4>> 효과를 얻어, 무기 치명타 확률이 <<5>>만큼 증가합니다."
"198758357-0-35750","Trap Beast","Trap Beast"
"132143172-0-40195","Invoke your expertise in anatomy and enemy behavior to detect stealthed and invisible enemies around you for <<1>>. Exposed enemies cannot return to stealth or invisibility for <<2>>.\n\nWhile slotted you gain <<3>>, increasing your Weapon Critical rating by <<4>>. You also gain <<5>> for <<6>> after you deal Critical Damage from an enemy's flank, increasing your damage done by <<7>> .","해부학과 적 행동학에 관한 전문성을 발휘해, <<1>> 동안 자신 주위의 은신한 모든 적을 감지합니다. 발각된 적은 <<2>> 동안은 다시 은신 상태로 돌아갈 수 없습니다.\n\n슬롯에 있으면 <<3>> 효과를 얻어, 무기 치명타 확률이 <<4>>만큼 증가합니다. 또한, 대상의 측면에 치명타 피해를 입히면 <<5>> 효과를 얻어, <<6>> 동안 피해량이 <<7>>만큼 증가합니다."
"132143172-0-40393","Your Fighters Guild abilities deal an additional <<1>> damage to Undead, Daedra and Werewolves.","파이터 길드 어빌리티가 언데드, 데이드라, 늑대인간에게 <<1>>만큼의 추가 피해를 입힙니다."
"198758357-0-40181","Turn Evil","Turn Evil"
"198758357-0-29062","Intimidating Presence","Intimidating Presence"
"132143172-0-40372","Launch a sharpened blade trap at a target location, which takes |cffffff1.5|r seconds to arm and lasts for <<1>>.\n\nWhen triggered, the trap deals <<2>>, an additional <<3>> over <<4>>, and grants you Minor Force, increasing your Critical Damage by <<5>> for the duration.\n\nEnemies who activate the trap are immobilized for <<6>>.","대상 지역에 날카로운 칼날 덫을 발사합니다. 칼날 덫은 |cffffff1.5|r초 후 활성화되며, <<1>> 동안 지속됩니다.\n\n덫이 발동되면, <<2>>를 입히고, 추가로 <<4>>에 걸쳐 총 <<3>>를 입히고, Minor Force 효과를 얻어 <<5>> 동안 치명타 피해량이 증가합니다.\n\n덫을 활성화한 적들을 <<6>> 동안 이동 불가 상태로 만듭니다."
"132143172-0-35804","Allows you to accept bounty quests from the Fighters Guild in Cyrodiil.","시로딜의 파이터 길드에서 현상금 퀘스트를 받을 수 있게 됩니다."
"198758357-0-40194","Evil Hunter","Evil Hunter"
"132143172-0-35803","Increases your Weapon Damage by <<1>> for each Fighters Guild ability slotted.\n\nCurrent bonus: <<2>>.","슬롯에 있는 파이터 길드 어빌리티 한 개당 무기 피해량이 <<1>>만큼 증가합니다.\n\n현재 증가량: <<2>>"
