"Location","Source","Target"
"132143172-0-30920","Summon a mote of magelight, revealing stealthed and invisible enemies around you for <<1>>. Exposed enemies cannot return to stealth or invisibility for <<2>>.\n\nWhile slotted you gain <<3>>, increasing your Spell Critical rating by <<4>>.","마법사의 빛을 만들어내, <<1>> 동안 주위에 있는 은신한 적을 드러냅니다. 발각된 적은 <<2>> 동안은 다시 은신 상태로 돌아갈 수 없습니다.\n\n슬롯에 있으면 <<3>> 효과를 얻어, 마법 치명타 확률이 <<4>>만큼 증가합니다."
"132143172-0-28567","Bind an enemy with chaotic magic, dealing <<1>> over <<2>>.","혼돈 마법으로 적을 구속해, <<2>>에 걸쳐 총 <<1>>를 입힙니다. "
"198758357-0-40483","Radiant Magelight","Radiant Magelight"
"198758357-0-40441","Balance","Balance"
"132143172-0-31632","Inscribe a rune of cosmic fire on the earth, which takes |cffffff2|r seconds to arm and lasts for <<1>>.\n\nWhen triggered, the rune blasts all enemies in the target area for <<2>>.","지면에 우주의 화염 룬을 새깁니다. 룬은 |cffffff2|r초 후 활성화되며, <<1>> 동안 지속됩니다.\n\n룬이 발동되면, 폭발하여 범위 안의 모든 적에게 <<2>>를 입힙니다."
"198758357-0-40465","Scalding Rune","Scalding Rune"
"198758357-0-40489","Ice Comet","Ice Comet"
"198758357-0-40445","Spell Symmetry","Spell Symmetry"
"132143172-0-40478","Summon a mote of magelight, revealing stealthed and invisible enemies around you for <<1>>. Exposed enemies cannot return to stealth or invisibility for <<2>>.\n\nWhile slotted your Max Magicka is increased by <<3>> and you gain <<4>>, increasing your Spell Critical rating by <<5>>.","마법사의 빛을 만들어내, <<1>> 동안 주위에 있는 은신한 적을 드러냅니다. 발각된 적은 <<2>> 동안은 다시 은신 상태로 돌아갈 수 없습니다.\n\n슬롯에 있으면 최대 매지카가 <<3>>만큼 증가하고, <<4>> 효과를 얻어, 마법 치명타 확률이 <<5>>만큼 증가합니다."
"132143172-0-45607","Casting a Mages Guild ability grants you <<1>>, increasing the damage of your next Light Attack by <<2>> for <<3>>.","메이지 길드 어빌리티를 시전하면 <<1>> 효과를 얻어, <<3>> 동안 다음 약공격의 피해량이 <<2>>만큼 증가합니다."
"132143172-0-40437","Increases the duration of your Mages Guild abilities by <<1>>.","메이지 길드 어빌리티의 지속 시간이 <<1>>만큼 증가합니다."
"132143172-0-45602","Increases the duration of your Mages Guild abilities by <<1>>.","메이지 길드 어빌리티의 지속 시간이 <<1>>만큼 증가합니다."
"132143172-0-45601","Reduces the Magicka and Health cost of your Mages Guild abilities by <<1>>.","메이지 길드 어빌리티의 매지카 및 체력 소모량이 <<1>>만큼 감소합니다."
"132143172-0-40438","Increases your Max Magicka and Magicka Recovery by <<1>> for each Mages Guild ability slotted.\n\nCurrent bonus: <<2>>.","슬롯에 있는 메이지 길드 어빌리티 한 개당 최대 매지카와 매지카 재생이 <<1>>만큼 증가합니다.\n\n현재 증가량: <<2>>"
"132143172-0-40457","Bind an enemy with chaotic magic, dealing <<1>> over <<2>>.\n\nExcess magic spills out from them, granting you <<3>>, increasing your Spell Damage by <<4>> for <<5>>.","혼돈 마법으로 적을 구속해, <<2>>에 걸쳐 총 <<1>>를 입힙니다. \n\n적에게 흘러나온 마력에 간섭하여,  <<3>> 효과를 얻고 <<5>> 동안 마법 피해량이 <<4>>만큼 증가합니다."
"132143172-0-40436","Reduces the Magicka and Health cost of your Mages Guild abilities by <<1>>.","메이지 길드 어빌리티의 매지카 및 체력 소모량이 <<1>>만큼 감소합니다."
"132143172-0-45603","Increases your Max Magicka and Magicka Recovery by <<1>> for each Mages Guild ability slotted.\n\nCurrent bonus: <<2>>.","슬롯에 있는 메이지 길드 어빌리티 한 개당 최대 매지카와 매지카 재생이 <<1>>만큼 증가합니다.\n\n현재 증가량: <<2>>"
"198758357-0-29061","Persuasive Will","Persuasive Will"
"198758357-0-16536","Meteor","Meteor"
"132143172-0-40470","Inscribe a rune of cosmic fire on the earth, which takes |cffffff2|r seconds to arm and lasts for <<1>>.\n\nWhen triggered, the rune blasts all enemies in the target area for <<2>>, knocks them into the air, and stuns them for <<3>>.","지면에 우주의 화염 룬을 새깁니다. 룬은 |cffffff2|r초 후 활성화되며, <<1>> 동안 지속됩니다.\n\n룬이 발동되면, 폭발하여 범위 안의 모든 적에게 <<2>>를 입히고, 공중에 띄우며, <<3>> 동안 기절시킵니다."
"198758357-0-30920","Magelight","Magelight"
"132143172-0-40452","Bind an enemy with chaotic magic, dealing <<1>> over <<2>>, and healing you for <<3>> every <<4>>.","혼돈 마법으로 적을 구속해, <<2>>에 걸쳐 총 <<1>>를 입히고  <<4>>마다 <<3>> 체력을 회복합니다."
"132143172-0-40493","Call a comet down from the constellations to blast an enemy, dealing <<1>> to all enemies in the area, knocking them down, and stunning them for <<2>>.\n\nAfter impact, enemies in the target area take <<3>> every <<4>> for <<5>>.\n\nYou generate <<6>> Ultimate for each enemy hit by the initial blast.","대상 적의 위치에 유성을 떨어뜨려, 범위 내의 모든 적에게 <<1>>를 입히고, 뒤로 밀어내며, <<2>> 동안 기절시킵니다.\n\n폭발 후 땅을 불태워 그 안에 있는 적에게 <<5>>에 걸쳐 <<4>>마다 <<3>>를 입힙니다.\n\n폭발 시 피해를 입힌 적 한 명당 궁극기 게이지를 <<6>>만큼 획득합니다."
"198758357-0-31632","Fire Rune","Fire Rune"
"132143172-0-43561","Casting a Mages Guild ability has a |cffffff50|r% chance of granting you <<1>>, increasing the damage of your next Light Attack by <<2>> for <<3>>.","메이지 길드 어빌리티를 시전하면 |cffffff50|r% 확률로 <<1>> 효과를 얻어, <<3>> 동안 다음 약공격의 피해량이 <<2>>만큼 증가합니다.\n"
"198758357-0-45601","Mage Adept","Mage Adept"
"198758357-0-40452","Structured Entropy","Structured Entropy"
"198758357-0-43561","Might of the Guild","Might of the Guild"
"132143172-0-31642","Barter with Oblivion to trade vitality for power, sacrificing your Health in exchange for <<1>> Magicka.\n\nThe exchange reduces your healing done and damage shield strength by <<2>> for <<3>>.","오블리비언과 거래해, 생명력을 힘으로 교환합니다. 체력을  희생하여 매지카를 <<1>>만큼 회복합니다.\n\n교환 후 <<3>> 동안 치유량과 보호막의 강도가 <<2>>만큼 감소합니다."
"198758357-0-40493","Shooting Star","Shooting Star"
"198758357-0-40470","Volcanic Rune","Volcanic Rune"
"198758357-0-40437","Everlasting Magic","Everlasting Magic"
"198758357-0-40436","Mage Adept","Mage Adept"
"198758357-0-45607","Might of the Guild","Might of the Guild"
"198758357-0-40438","Magicka Controller","Magicka Controller"
"198758357-0-28567","Entropy","Entropy"
