"Location","Source","Target"
"132143172-0-76455","Bounty is decreased by <<1>> after  |cFFFFFF3|r minutes.\nHeat is decreased by <<2>> after  |cFFFFFF3|r seconds.","현상금이 3분 후 <<1>>만큼 감소합니다.\n히트가 3초 후 <<2>>만큼 감소합니다."
"132143172-0-76454","Bounty is decreased by <<1>> after  |cFFFFFF3|r minutes.\nHeat is decreased by <<2>> after |cFFFFFF3|r seconds.","현상금이 3분 후 <<1>>만큼 감소합니다.\n히트가 3초 후 <<2>>만큼 감소합니다."
"132143172-0-76453","Decreases detection range of Witnesses and Guards by <<1>>. Witnesses and Guards are thus less likely to notice criminal actions, though this has no impact on the range from which Guards will accost you.","목격자와 경비병에게 발각되는 범위가 <<1>>만큼 감소합니다. 목격자와 경비병이 범죄를 알아챌 확률이 감소합니다.  경비병이 당신을 호위 중일때는 이 기술의 효과를 얻지 못합니다."
"132143172-0-76452","When you have Bounty and are in combat, you have a chance to spot a ""Footpad"" in a town with a Refuge. Interacting with the Footpad will transport the player safely into the nearest Refuge.","현상금을 가지고 전투 중일 때, 은신처가 있는 마을에 \"\"발판\"\"을 발견할 수 있는 기회가 주어집니다. 발판과 상호 작용하면 플레이어는 가장 가까운 은신처로 안전하게 피신합니다."
"132143172-0-76451","When a guard accosts you, you may use Clemency once per day. If used, the Guard will not arrest you or take your money and stolen goods. Additionally, Guards will not attempt to accost you for  |cFFFFFF1|r minute after you use Clemency unless you commit other crimes.","하루에 한 번 경비병에게 심문을 당할 때, 관용을 사용할 수 있습니다. 사용하면 경비병이 연행하지 않고, 현상금이나 훔친 물건을 가져가지도 않습니다. 게다가, 관용을 사용하고 1분 동안은 추가로 다른 범죄를 저지르지 않는 이상, 경비병에게 심문을 당하지 않습니다."
"132143172-0-74580","Thieves Troves are caches that are located all over Tamriel. They can only be opened by members of the Thieves Guild.","Thieves Troves는 탐리엘 전역의 은닉처에 숨겨져 있습니다. 도둑 길드의 일원만이 그것을 열 수 있습니다."
"132143172-0-76461","Stolen items sold at a fence are worth <<1>> more. Does not apply to Laundering.","훔친 물건을 장물아비에게 판매하는 가격이 <<1>>만큼 증가합니다. 아이템 세탁에는 적용되지 않습니다."
"132143172-0-76460","Stolen items sold at a fence are worth <<1>> more. Does not apply to Laundering.","훔친 물건을 장물아비에게 판매하는 가격이 <<1>>만큼 증가합니다. 아이템 세탁에는 적용되지 않습니다."
"132143172-0-76459","Stolen items sold at a fence are worth <<1>> more. Does not apply to Laundering.","훔친 물건을 장물아비에게 판매하는 가격이 <<1>>만큼 증가합니다. 아이템 세탁에는 적용되지 않습니다."
"132143172-0-76458","Stolen items sold at a fence are worth <<1>> more. Does not apply to Laundering.","훔친 물건을 장물아비에게 판매하는 가격이 <<1>>만큼 증가합니다. 아이템 세탁에는 적용되지 않습니다."
"132143172-0-76457","Bounty is decreased by <<1>> after  |cFFFFFF3|r minutes.\nHeat is decreased by <<2>> after  |cFFFFFF3|r seconds.","현상금이 3분 후 <<1>>만큼 감소합니다.\n히트가 3초 후 <<2>>만큼 감소합니다."
"132143172-0-76456","Bounty is decreased by <<1>> after  |cFFFFFF3|r minutes.\nHeat is decreased by <<2>> after  |cFFFFFF3|r seconds.","현상금이 3분 후 <<1>>만큼 감소합니다.\n히트가 3초 후 <<2>>만큼 감소합니다."
"198758357-0-74580","Finders Keepers","Finders Keepers"
"198758357-0-76451","Clemency","Clemency"
"198758357-0-76452","Timely Escape","Timely Escape"
"198758357-0-76460","Haggling","Haggling"
"198758357-0-76461","Haggling","Haggling"
"198758357-0-76455","Swiftly Forgotten","Swiftly Forgotten"
"198758357-0-76456","Swiftly Forgotten","Swiftly Forgotten"
"198758357-0-76453","Veil of Shadows","Veil of Shadows"
"198758357-0-76454","Swiftly Forgotten","Swiftly Forgotten"
"198758357-0-76459","Haggling","Haggling"
"198758357-0-76457","Swiftly Forgotten","Swiftly Forgotten"
"198758357-0-76458","Haggling","Haggling"
