"Location","Source","Target"
"132143172-0-116239","Reduce the damage you take from damage over time abilities by <<1>> while you have a Bone Tyrant ability active.","기술칸에 뼈 폭군 어빌리티를 장비하고 있으면, 지속대미지 어빌리티의 피해를 <<1>> 감소시킵니다."
"198758357-0-118639","Necrotic Potency","Necrotic Potency"
"198758357-0-115206","Bone Armor","Bone Armor"
"198758357-0-115093","Bone Totem","Bone Totem"
"132143172-0-116240","Reduce the damage you take from damage over time abilities by <<1>> while you have a Bone Tyrant ability active.","기술칸에 뼈 폭군 어빌리티를 장비하고 있으면, 지속대미지 어빌리티의 피해를 <<1>> 감소시킵니다."
"132143172-0-118380","Call forth an effigy of bone that gives Minor Protection to you and your allies for <<1>>, reducing your damage taken by <<2>>. \n\nAfter <<3>>, the totem begins fearing nearby enemies every <<4>>, causing them to cower in place for  <<5>>.","뼈 석상을 발밑에 소환합니다. 석상은 자신과 아군에게 Minor Protection을 <<1>>동안 부여하여 피해를 <<2>> 감소시킵니다.\n\n<<3>> 경과 후, 토템은 매 <<4>>마다 근처의 적을 공포에 질리게 하고, <<5>> 동안 제자리에 묶어둡니다."
"132143172-0-118623","Sap the lingering life from fresh corpses, granting you <<1>> Ultimate and healing <<2>> Health every <<3>> for <<4>> per corpse consumed. While you have the heal effect, you gain Major Protection, reducing the damage you take by <<5>>.  This ability scales off your Max Health.\n\nWhile slotted, your damage taken is reduced by <<6>>.","시체에 남아있는 생명력을 흡수하여 <<1>> 궁극게이지를 얻고 <<4>>동안 흡수한 시체 갯수 당 <<3>> 마다 체력을  <<2>> 회복합니다. 회복중에는 Major Protection을 얻어, 받는 피해가 <<5>> 감소합니다. 이 기술의 효과는 최대체력에 비례하여 변동합니다.\n\n기술칸에 장비하고 있을 때, 입는 피해가 <<6>> 감소합니다."
"132143172-0-118226","Slice into your enemy's life force, dealing <<1>>. \n\nEvery third cast of this ability will set all enemies hit Off Balance.\n\nYou heal for <<2>> Health for the first enemy hit, and an additional <<3>> for each additional enemy, up to five times.  The healing of this ability scales off your Max Health.","적의 생명력을 수확해 <<1>>만큼 대미지를 줍니다.\n\n이 어빌리티는 3번 사용하면, 모든 적을 휘청이게 만듭니다.\n\n첫번째 적에게 명중시킨 시점에서 <<2>>를 회복하고, 그 후 다른 적을 공격할때마다 최대 5번까지 회복이 <<3>> 증가합니다. 이 어빌리티의 효과는 최대체력에 비례해 변동합니다."
"198758357-0-118404","Agony Totem","Agony Totem"
"198758357-0-116269","Health Avarice","Health Avarice"
"132143172-0-118223","Slice into your enemy's life force, dealing <<1>>.  \n\nYou heal for <<2>> Health for the first enemy hit, and an additional <<3>> for each additional enemy, up to five times.  After dealing damage, you heal for <<4>> Health every <<5>> over <<6>>.  The healing of this ability scales off your Max Health.","적의 생명력을 수확해 <<1>>만큼 대미지를 줍니다.\n\n첫번째 적에게 명중시킨 시점에서 <<2>>를 회복합니다. 그 후 다른 적을 공격할때마다 최대 5번까지 회복이 <<3>> 증가합니다.\n대미지를 주었을때 체력<<4>>를 <<5>>만큼 <<6>>동안 회복합니다. 이 어빌리티의 호과는 최대체력에 비례해 변동합니다."
"132143172-0-115115","Slice into your enemy's life force, dealing <<1>>.\n\nYou heal for <<2>> Health for the first enemy hit, and an additional <<3>> for each additional enemy hit, up to five times.  The healing of this ability scales off your Max Health.","적의 생명력을 수확해 <<1>>만큼 대미지를 줍니다.\n\n첫번째 적에게 명중시킨 시점에서 <<2>>를 회복합니다. 그 후 다른 적을 공격할때마다 최대 5번까지 회복이 <<3>> 증가합니다. 이 어빌리티의 호과는 최대체력에 비례해 변동합니다."
"132143172-0-118664","Become a destructive Pummeling Goliath, increasing your Max Health by <<1>> for <<2>> and immediately restoring <<1>> Health. \n\nWhile transformed, your damaging Light Attacks restore <<3>> Health and your fully charged Heavy Attacks restore <<4>> Health. This ability scales off your Max Health. \n\nYour bash attacks can hit multiple targets in front of you and deal <<5>>.","파멸적인 분노의 거인과 영혼을 융합해, 최대체력을 <<1>> 을 <<2>>동안 증가시키고, 즉시 체력을 <<1>> 회복합니다.\n\n변신하면 약공격이 체력을 <<3>> 회복하고, 완충된 강공격이 체력을 <<4>>회복합니다. 이 어빌리티의 효과는 최대체력에 비례하여 변동합니다.\n\n배쉬 공격은 앞에 있는 여러 대상을 공격하고, <<5>>만큼 대미지를 줍니다."
"198758357-0-118244","Summoner's Armor","Summoner's Armor"
"198758357-0-115177","Grave Grasp","Grave Grasp"
"132143172-0-115238","Sap the lingering life from fresh corpses, granting you <<1>> Ultimate and healing <<2>> Health every <<3>> for <<4>> per corpse consumed.  This ability scales off of your Max Health.\n\nWhile slotted, your damage taken is reduced by <<5>>.","시체에 남아있는 생명력을 흡수하여 <<1>> 궁극게이지를 얻고 <<4>>동안 흡수한 시체 갯수 당 <<3>> 마다 체력을  <<2>> 회복합니다. 이 기술의 효과는 최대체력에 비례하여 변동합니다.\n\n기술칸에 장비하고 있을 때, 입는 피해가 <<5>> 감소합니다."
"132143172-0-118308","Summon three patches of skeletal claws from the ground in front of you, snaring your enemies by <<1>> for <<2>> and inflicting Minor Maim for <<3>>, reducing their damage done by <<4>>. \n\nEach patch can immobilize one enemy for <<5>>.","지면에서 스켈레톤의 발톱을 자신 앞에 3개 소환해 적을 <<1>>에서 <<2>>동안 느려지게 하고, Minor Maim을 <<3>>동안 부여합니다. 적이 입히는 대미지는 <<4>> 감소합니다.\n\n각각의 발톱은 적 1명을 <<5>>동안 이동불가하게 만듭니다."
"198758357-0-116271","Last Gasp","Last Gasp"
"198758357-0-116270","Health Avarice","Health Avarice"
"132143172-0-118352","Summon skeletal claws from the ground, snaring your enemies by <<1>> for <<2>> and inflicting Minor Maim for <<3>>, reducing their damage done by <<4>>.\n\nHitting you or your allies grants them Empower for <<5>>, increasing the damage of their next Light Attack by <<6>>.\n\nHitting your Skeletal Mage or Spirit Mender enhances them for <<7>>, increasing their effectiveness by <<6>>.","지면에서 스켈레톤의 발톱을 소환해 적을 <<1>>에서 <<2>> 동안 느리게 하고, Minor Maim을 <<3>>동안 부여합니다. 적이 입히는 대미지는 <<4>> 감소합니다.\n\n자신이나 아군이 공격받으면 <<5>> 동안 강화되어, 다음 약공격의 대미지가 <<6>> 증가합니다.\n\n스켈레톤 마법사나 영혼의 복원사가 공격받으면 <<7>>동안 강화되어 효과가 <<6>> 증가합니다."
"198758357-0-116272","Last Gasp","Last Gasp"
"198758357-0-116235","Death Gleaning","Death Gleaning"
"132143172-0-115001","Become a horrific Bone Goliath, increasing your Max Health by <<1>> for <<2>> and immediately restoring <<1>> Health. \n\nWhile transformed, your damaging Light Attacks restore <<3>> Health and your fully charged Heavy Attacks restore <<4>> Health. This ability scales off your Max Health.","공포스러운 뼈 거인이 되어 최대체력을 <<1>>에서 <<2>> 동안 증가시키고, 즉시 체력을 <<1>>회복합니다.\n\n변신하면 약공격이 체력을 <<3>>회복시키고, 완충된 강공격이 체력을 <<4>>회복시킵니다. 이 어빌리티의 효과는 최대체력에 비례해 변동합니다."
