"Location","Source","Target"
"132143172-0-117805","Desecrate the ground at the target location, dealing <<1>> over <<2>> and applying Major Breach and Fracture to enemies within, reducing their Spell and Physical Resistance by <<3>>.\n\nConsumes a corpse on cast to deal <<4>> more damage.\n\nAn ally standing in the graveyard can activate the |cffffffGrave Robber|r synergy, dealing <<5>> to enemies in the area and healing you for the damage done.","대상으로 한 땅을 더럽혀, <<1>>피해를 <<2>>동안 줍니다. 그리고 Major Breach와 Major Fracture를 부여해, 적의 물리 저항력과 마법저항력을 <<3>> 감소시킵니다.\n\n시전할때 시체를 흡수하면, <<4>> 피해를 더 줍니다.\n\n무덤 위에 서 있는 아군은 |cffffff무덤을 파헤치는 자|r 시너지를 발동해, 범위내의 적에게 <<5>>피해를 주고 피해를 준 만큼 시전자를 회복시킵니다."
"198758357-0-114317","Skeletal Mage","Skeletal Mage"
"198758357-0-117749","Stalking Blastbones","Stalking Blastbones"
"198758357-0-115924","Shocking Siphon","Shocking Siphon"
"198758357-0-117624","Venom Skull","Venom Skull"
"132143172-0-117690","Summon a decaying skeleton from the ground after <<1>>. The skeleton runs after the target and explodes when it gets close to them, dealing <<2>> to all enemies nearby and applying Major Defile to them for <<3>>, reducing their healing received and Health Recovery by <<4>>\n\nCreates a corpse on death.","<<1>>후 부패한 해골을 지면에 소환합니다. 해골은 표적을 쫓아 가까이가면 폭발해 근처의 적 모두에게 <<2>> 피해를 줍니다. 그리고 Major Deifile을 부여해, 적의 회복량과 체력재생을 <<4>> 감소시킵니다.\n\n죽으면 시체로 변합니다."
"198758357-0-118680","Skeletal Archer","Skeletal Archer"
"198758357-0-118008","Mystic Siphon","Mystic Siphon"
"198758357-0-115252","Boneyard","Boneyard"
"198758357-0-118763","Detonating Siphon","Detonating Siphon"
"198758357-0-116186","Reusable Parts","Reusable Parts"
"132143172-0-117850","Desecrate the ground at the target location, dealing <<1>> over <<2>>.\n\nConsumes a corpse on cast to deal <<3>> more damage.\n\nYou or an ally standing in the graveyard can activate the |cffffffGrave Robber|r synergy, dealing <<4>> to enemies in the area and healing you for the damage done.","대상으로 한 땅을 더럽혀, <<1>>피해를 <<2>>동안 줍니다.\n\n시전할때 시체를 흡수하면, <<3>> 피해를 더 줍니다.\n\n무덤 위에 서 있는 아군은 |cffffff무덤을 파헤치는 자|r 시너지를 발동해, 범위내의 적에게 <<4>>피해를 주고 피해를 준 만큼 시전자를 회복시킵니다."
"132143172-0-114860","Summon a flaming skeleton from the ground after <<1>>. The skeleton runs after the target and explodes when it gets close to them, dealing <<2>> to all enemies nearby.\n\nCreates a corpse on death.","<<1>> 후 타오르는 해골을 지면에 소환합니다. 해골은 표적을 쫓아 가까이가면 폭발해 근처의 적 모두에게 <<2>> 피해를 줍니다.\n\n죽으면 시체로 변합니다.\n"
"198758357-0-116188","Reusable Parts","Reusable Parts"
"132143172-0-116201","Increases your damage done with damage over time effects by <<1>>.","지속대미지 효과에 의한 피해량을 <<1>> 증가시킵니다."
"132143172-0-114108","Lob an explosive skull at an enemy, dealing <<1>>.\n\nEvery third cast of this ability deals <<2>> increased damage.","폭발하는 두개골을 적에게 던져 피해를 <<1>> 줍니다.\n\n이 어빌리티를 3번 사용할때마다 피해량이 <<2>> 증가합니다."
"198758357-0-118726","Skeletal Arcanist","Skeletal Arcanist"
"198758357-0-117637","Ricochet Skull","Ricochet Skull"
"132143172-0-122174","Unleash a frostbitten Flesh Colossus to pulverize enemies in the area. The Colossus smashes the ground three times over <<1>>, dealing <<2>> with each smash.\n\nDealing damage applies Major Vulnerability to any enemy hit for <<3>>, increasing their damage taken by <<4>>. Enemies hit cannot be affected again for <<5>>.","얼어붙은 살덩이 거인을 해방시켜 주위의 적을 분쇄합니다. 거인은 지면을 <<1>> 동안 3번 내리쳐 각각 <<2>>의 피해를 줍니다.\n\n각각의 공격은 Major Vulnerability를 <<3>> 부여해, 적에게 입히는 피해량을 <<4>> 증가시킵니다. 영향을 받은 적들은 Majot Vulnerability 효과를 <<5>>동안 다시 걸리지 않습니다"
"198758357-0-122395","Pestilent Colossus","Pestilent Colossus"
"198758357-0-122388","Glacial Colossus","Glacial Colossus"
"198758357-0-116194","Dismember","Dismember"
"198758357-0-116192","Dismember","Dismember"
"132143172-0-117624","Lob an explosive skull at an enemy, dealing <<1>>.\n\nEvery third cast of this ability deals <<2>> increased damage.\n\nWhile slotted, casting any Necromancer ability while you are in combat will count towards the third cast.","폭발하는 두개골을 적에게 던져 <<1>>피해를 줍니다.\n\n이 어빌리티를 3번 사용할때마다 피해량이 <<2>> 증가합니다.\n\n기술칸에 장비하고 있을 때, 전투중 아무 네크로맨서 어빌리티를 시전하면 이 어빌리티를 시전한것으로 칩니다."
"198758357-0-116198","Death Knell","Death Knell"
"198758357-0-116197","Death Knell","Death Knell"
