"Location","Source","Target"
"132143172-0-115307","Embrace the power of death, removing up to <<1>> negative effects from yourself.\n\nWhile slotted, the cost of all your abilities are reduced by <<2>>.","죽음의 힘을 받아들여 자신의 마이너스 효과를 최대 <<1>>까지 해제합니다.\n\n기술칸에 장비하고 있는동안 모든 어빌리티의 소비량을 <<2>>감소시킵니다."
"198758357-0-115926","Restoring Tether","Restoring Tether"
"198758357-0-118912","Spirit Guardian","Spirit Guardian"
"132143172-0-116282","While you have a Blastbones, Skeletal Mage, or Spirit Mender active, your Magicka and Stamina Recovery is increased by <<1>>.","뼈탄환, 스켈레톤 마법사, 영혼이 복원자가 발동되어 있을때, 매지카 재생과 스태미너 재생이 <<1>> 증가합니다."
"132143172-0-116283","While you have a Blastbones, Skeletal Mage, or Spirit Mender active, your Magicka and Stamina Recovery is increased by <<1>>.","뼈탄환, 스켈레톤 마법사, 영혼이 복원자가 발동되어 있을때, 매지카 재생과 스태미너 재생이 <<1>> 증가합니다."
"132143172-0-116284","When you use an ability on a corpse, you generate <<1>> Ultimate. This effect can occur once every <<2>>.","시체에 어빌리티를 사용할 때마다 <<1>> 궁극게이지를 얻습니다. 이 효과는 <<2>>마다 발동합니다."
"132143172-0-116285","When you use an ability on a corpse, you generate <<1>> Ultimate. This effect can occur once every <<2>>.","시체에 어빌리티를 사용할 때마다 <<1>> 궁극게이지를 얻습니다. 이 효과는 <<2>>마다 발동합니다."
"198758357-0-115410","Reanimate","Reanimate"
"132143172-0-115710","Conjure a ghostly spirit to do your bidding and stay by your side for <<1>>. The spirit heals you or the lowest Health ally around you every |cffffff2|r seconds, restoring <<2>> Health.\n\nCreates a corpse on death.","기분나쁜 영혼을 소환해, <<1>>동안 당신편에 서게 해 함께 싸웁니다. 영혼은 자신이나 주위의 가장 낮은 체력을 가진 아군을 |cffffff2|r초마다 회복시키며, 체력을 <<2>> 회복합니다.\n\n죽으면 시체로 변합니다."
"132143172-0-116286","While you have a negative effect on you, your healing done is increased by <<1>>.","자신에게 마이너스 효과가 있을 때, 회복량이 <<1>> 증가합니다."
"198758357-0-118367","Renewing Animation","Renewing Animation"
"198758357-0-118840","Intensive Mender","Intensive Mender"
"198758357-0-118122","Mortal Coil","Mortal Coil"
"132143172-0-116287","While you have a negative effect on you, your healing done is increased by <<1>>.","자신에게 부정적인 효과가 있을 때, 회복량이 <<1>>증가합니다."
"132143172-0-115315","Release residual fragments of fallen souls at the target location, healing you and your allies for <<1>> Health.\n\nConsumes a corpse on cast to continue to heal you and your allies in the area for <<2>> Health over <<3>>.","대상으로 한 영역에서 쓰러진 영혼과 남은 파편을 해방합니다. 자신과 아군의 체력을 <<1>> 회복합니다.\n\n시전시 시체를 흡수하면 자신과 영역에 있는 아군의 체력을 <<2>>만큼 <<3>>동안 회복합니다."
"132143172-0-118070","Siphon the last remnants of life from a corpse, healing for <<1>> Health over <<2>> to yourself, all allies around you, and all allies between you and the corpse.  This ability scales off your highest offensive stats.\n\nWhile slotted, your healing done is increased by <<3>>.","시체에 남아있는 마지막 생명력을 흡수하여, 자신과 시체 사이에 있는 모든 아군의 체력을 <<1>>만큼 <<2>>동안 회복합니다. 이 기술은 매지카나 스테미나 중 높은 수치를 기반으로 적용됩니다.\n\n기술칸에 장비하고 있는 동안, 회복되는 양이 <<3>> 증가합니다."
"198758357-0-117919","Hexproof","Hexproof"
"198758357-0-118809","Enduring Undeath","Enduring Undeath"
"198758357-0-116273","Near-Death Experience","Near-Death Experience"
"132143172-0-117940","Embrace the power of death, removing up to <<1>> negative effects from yourself and restoring <<2>> Magicka and Stamina for each negative effect removed.\n\nWhile slotted, the cost of all your abilities are reduced by <<3>>.","죽음의 힘을 받아들여 자신의 마이너스 효과를 최대 <<1>>까지 해제하고, 마이너스 효과를 해제할 때마다 매지카와 스태미너를 <<2>>회복합니다.\n\n기술칸에 장비하고 있는동안 모든 어빌리티의 소비량을 <<3>>감소시킵니다."
"198758357-0-118017","Renewing Undeath","Renewing Undeath"
"198758357-0-118379","Animate Blastbones","Animate Blastbones"
"132143172-0-114196","Sacrifice your own power to repair damaged flesh, healing you or an ally in front of you for <<1>> Health but applying Minor Defile to yourself for <<2>>, reducing your healing received and Health Recovery by <<3>>.","자신의 힘을 바쳐 상처입은 육신을 회복시킵니다. 자신이나 앞에 있는 아군의 체력을 <<1>>회복하지만, 자신은 <<2>>동안 Minor Defile이 적용되어 회복되는 양과 체력재생이 <<3>> 감소합니다."
"198758357-0-116275","Near-Death Experience","Near-Death Experience"
"198758357-0-117883","Resistant Flesh","Resistant Flesh"
"198758357-0-115307","Expunge","Expunge"
"198758357-0-117888","Blood Sacrifice","Blood Sacrifice"
"132143172-0-118912","Conjure a ghostly spirit to do your bidding and stay by your side for <<1>>. The spirit heals you or the lowest Health ally around you every |cffffff2|r seconds, restoring <<2>> Health.\n\nWhile active, |cffffff10|r% of the damage you take is transferred to the spirit instead.\n\nCreates a corpse on death.","기분나쁜 영혼을 소환해, <<1>>동안 당신편에 서게 해 함께 싸웁니다. 영혼은 자신이나 주위의 가장 낮은 체력을 가진 아군을 |cffffff2|r초마다 회복시키며, 체력을 <<2>> 회복합니다.\n\n발동중에는 시전자가 입은 피해의 |cffffff10|r%를 영혼이 대신 받습니다.\n\n죽으면 시체로 변합니다."
"132143172-0-115926","Siphon the last remnants of life from a corpse, healing for <<1>> Health over <<2>> to yourself and all allies between you and the corpse.  This ability scales off your highest offensive stats.\n\nWhile slotted, your healing done is increased by <<3>>.","시체에 남아있는 마지막 생명력을 흡수하여, 자신과 시체 사이에 있는 모든 아군의 체력을 <<1>>만큼 <<2>>동안 회복합니다. 이 기술은 매지카나 스테미나 중 높은 수치를 기반으로 적용됩니다.\n\n기술칸에 장비하고 있는 동안, 회복되는 양이 <<3>> 증가합니다."
"198758357-0-116282","Undead Confederate","Undead Confederate"
"132143172-0-118122","Siphon the last remnants of life from a corpse, healing for <<1>> Health over <<2>> to yourself and all allies between you and the corpse.  This portion of the ability scales off your highest offensive stats.\n\nYou also restore <<3>> Stamina over <<2>> while siphoning the corpse.  \n\nWhile slotted, your healing done is increased by <<4>>.","시체에 남아있는 마지막 생명력을 흡수하여, 자신과 시체 사이에 있는 모든 아군의 체력을 <<1>>만큼 <<2>>동안 회복합니다. 이 기술은 매지카나 스테미나 중 높은 수치를 기반으로 적용됩니다.\n\n시체에서 흡수하고 있는 동안, <<3>> 스태미너를 <<2>>동안 회복합니다.\n\n기술칸에 장비하고 있는 동안, 회복되는 양이 <<4>> 증가합니다."
"198758357-0-116284","Corpse Consumption","Corpse Consumption"
"198758357-0-116283","Undead Confederate","Undead Confederate"
"198758357-0-116286","Curative Curse","Curative Curse"
"198758357-0-116285","Corpse Consumption","Corpse Consumption"
"132143172-0-115410","Bring your allies back from the brink of death, resurrecting up to |cffffff3|r allies at the target location.","아군을 죽음의 심연에서 소생시켜, 대상으로 한 영역의 아군을 최대 |cffffff3|r명까지 부활시킵니다."
"132143172-0-118367","Bring your allies back from the brink of death, resurrecting up to |cffffff3|r allies at the target location.\n\nYou restore <<1>> Magicka and Stamina for each ally you attempt to resurrect.","아군을 죽음의 심연에서 소생시켜, 대상으로 한 영역의 아군을 최대 |cffffff3|r명까지 부활시킵니다.\n\n아군을 부활시킬때마다 매지카와 스태미너를 <<1>>회복합니다."
