"Location","Source","Target"
"132143172-0-45260","Increases your Max Magicka by <<1>>.","최대 매지카가 <<1>> 증가합니다."
"198758357-0-45259","Gift of Magnus","Gift of Magnus"
"132143172-0-45262","Increases your Spell Resistance by <<1>>.  This effect is doubled if you are afflicted with Burning, Chilled, or Concussed.  \n\nIncreases your Magicka Recovery by <<2>>.","마법 저항이 <<1>> 증가합니다. Burning, Chilled 혹은 Concussed 상태 이상에 걸리면, 이 효과가 두배가 됩니다.\n\n매지카 재생량이 <<2>> 증가합니다."
"132143172-0-45261","Increases your Spell Resistance by <<1>>.  This effect is doubled if you are afflicted with Burning, Chilled, or Concussed.  \n\nIncreases your Magicka Recovery by <<2>>.","마법 저항이 <<1>> 증가합니다. Burning, Chilled 혹은 Concussed 상태 이상에 걸리면, 이 효과가 두배가 됩니다.\n\n매지카 재생량이 <<2>> 증가합니다."
"198758357-0-45264","Magicka Mastery","Magicka Mastery"
"132143172-0-35995","Increases your Max Magicka by <<1>>.","최대 매지카가 <<1>> 증가합니다."
"132143172-0-36303","Reduces the Magicka cost of your abilities by <<1>>.","어빌리티의 매지카 소모량이 <<1>> 감소합니다."
"132143172-0-36247","Increases your experience gain with the Light Armor skill line by |cffffff15|r%.\n\nIncreases your Alliance Points gained by <<1>>.","천옷 스킬 라인의 경험치 획득량이 |cffffff15|r% 증가합니다.\n\n연합 점수 획득량이 <<1>> 증가합니다."
"132143172-0-36266","Increases your Spell Resistance by <<1>>.  This effect is doubled if you are afflicted with Burning, Chilled, or Concussed.  \n\nIncreases your Magicka Recovery by <<2>>.","마법 저항이 <<1>> 증가합니다. Burning, Chilled 혹은 Concussed 상태 이상에 걸리면, 이 효과가 두배가 됩니다.\n\n매지카 재생량이 <<2>> 증가합니다."
"198758357-0-45263","Magicka Mastery","Magicka Mastery"
"198758357-0-36266","Spell Attunement","Spell Attunement"
"198758357-0-45262","Spell Attunement","Spell Attunement"
"198758357-0-36247","Opportunist","Opportunist"
"132143172-0-45259","Increases your Max Magicka by <<1>>.","최대 매지카가 <<1>> 증가합니다."
"198758357-0-45261","Spell Attunement","Spell Attunement"
"198758357-0-45260","Gift of Magnus","Gift of Magnus"
"132143172-0-45264","Reduces the Magicka cost of your abilities by <<1>>.","어빌리티의 매지카 소모량이 <<1>> 감소합니다."
"198758357-0-35995","Gift of Magnus","Gift of Magnus"
"198758357-0-36303","Magicka Mastery","Magicka Mastery"
"132143172-0-45263","Reduces the Magicka cost of your abilities by <<1>>.","어빌리티의 매지카 소모량이 <<1>> 감소합니다."
