"Location","Source","Target"
"132143172-0-45271","Increases your Weapon and Spell Damage by <<1>>.","무기 및 마법 피해량이 <<1>> 만큼 증가합니다."
"132143172-0-45270","Increases your Flame Resistance by <<1>>.\n\nGain immunity to the Burning status effect.","화염 저항력이 <<1>> 증가합니다.\n\nBurning 상태 효과에 면역을 얻습니다."
"198758357-0-36591","Dynamic","Dynamic"
"198758357-0-45269","Resist Flame","Resist Flame"
"132143172-0-45272","Increases your Weapon and Spell Damage by <<1>>.","무기 및 마법 피해량이 <<1>> 만큼 증가합니다."
"198758357-0-45267","Dynamic","Dynamic"
"198758357-0-36593","Resist Flame","Resist Flame"
"198758357-0-45265","Dynamic","Dynamic"
"132143172-0-36588","Increases your experience gain with the Dual Wield skill line by |cffffff15|r%.\n\nReduces your damage taken from environmental lava by <<1>>.","쌍수무기 스킬 라인의 경험치 획득량이 |cffffff15|r% 증가합니다.\n\n용암 지형에서 받는 피해가 <<1>> 감소합니다."
"132143172-0-36598","Increases your Weapon and Spell Damage by <<1>>.","무기 및 마법 피해량이 <<1>> 만큼 증가합니다."
"132143172-0-36593","Increases your Flame Resistance by <<1>>.\n\nGain immunity to the Burning status effect.","화염 저항력이 <<1>> 증가합니다.\n\nBurning 상태 효과에 면역을 얻습니다."
"132143172-0-36591","Increases your Max Magicka and Max Stamina by <<1>>.","최대 매지카와 최대 스태미나가 <<1>> 증가합니다."
"132143172-0-45267","Increases your Max Magicka and Max Stamina by <<1>>.","최대 매지카와 최대 스태미나가 <<1>> 증가합니다."
"198758357-0-36588","Ashlander","Ashlander"
"198758357-0-45272","Ruination","Ruination"
"132143172-0-45269","Increases your Flame Resistance by <<1>>.\n\nGain immunity to the Burning status effect.","화염 저항력이 <<1>> 증가합니다.\n\nBurning 상태 효과에 면역을 얻습니다."
"198758357-0-36598","Ruination","Ruination"
"198758357-0-45271","Ruination","Ruination"
"198758357-0-45270","Resist Flame","Resist Flame"
"132143172-0-45265","Increases your Max Magicka and Max Stamina by <<1>>.","최대 매지카와 최대 스태미나가 <<1>> 증가합니다."
