"Location","Source","Target"
"198758357-0-117848","Lunar Blessings","Lunar Blessings"
"198758357-0-36063","Cutpurse","Cutpurse"
"198758357-0-45301","Feline Ambush","Feline Ambush"
"198758357-0-70388","Robustness","Robustness"
"132143172-0-117846","Increase your Maximum Health, Magicka, and Stamina by <<1>>.","최대 체력과 최대 스태미나, 최대 매지카가 <<1>> 만큼 증가합니다."
"198758357-0-45299","Feline Ambush","Feline Ambush"
"198758357-0-70386","Robustness","Robustness"
"132143172-0-70390","Increases your Health Recovery by <<1>> and your Stamina and Magicka Recovery by <<2>>.","체력 재생량이 <<1>> 증가하고 스태미나 재생량이 <<2>> 증가합니다."
"198758357-0-117847","Lunar Blessings","Lunar Blessings"
"132143172-0-117847","Increase your Maximum Health, Magicka, and Stamina by <<1>>.","최대 체력과 최대 스태미나, 최대 매지카가 <<1>> 만큼 증가합니다."
"198758357-0-36067","Feline Ambush","Feline Ambush"
"198758357-0-117846","Lunar Blessings","Lunar Blessings"
"132143172-0-117848","Increase your Maximum Health, Magicka, and Stamina by <<1>>.","최대 체력과 최대 스태미나, 최대 매지카가 <<1>> 만큼 증가합니다."
"132143172-0-70388","Increases your Health Recovery by <<1>> and your Stamina and Magicka Recovery by <<2>>.","체력 재생량이 <<1>> 증가하고 스태미나와 매지카 재생량이 <<2>> 증가합니다."
"198758357-0-70390","Robustness","Robustness"
"132143172-0-70386","Increases your Health Recovery by <<1>> and your Stamina and Magicka Recovery by <<2>>.","체력 재생량이 <<1>> 증가하고 스태미나 재생량이 <<2>> 증가합니다."
"132143172-0-36067","Increases your Critical Damage and Critical Healing by <<1>>.\n\nDecreases your detection radius in Stealth by <<2>>.","치명타 피해와 치명타 치유량이 <<1>> 증가합니다.\n\n은신 중 감지에 영향받는 범위가 <<2>> 감소합니다."
"132143172-0-36063","Increases your experience gain with the Medium Armor skill line by |cffffff15|r%.\n\nIncreases your chance to successfully pickpocket by <<1>>.","경갑 스킬 라인의 경험치 획득량이 |cffffff15|r% 증가합니다.\n\n소매치기 성공률이 <<1>> 증가합니다."
"132143172-0-45301","Increases your Critical Damage and Critical Healing by <<1>>.\n\nDecreases your detection radius in Stealth by <<2>>.","치명타 피해와 치명타 치유량이 <<1>> 증가합니다.\n\n은신 중 감지에 영향받는 범위가 <<2>> 감소합니다."
"132143172-0-45299","Increases your Critical Damage and Critical Healing by <<1>>.\n\nDecreases your detection radius in Stealth by <<2>>.","치명타 피해와 치명타 치유량이 <<1>> 증가합니다.\n\n은신 중 감지에 영향받는 범위가 <<2>> 감소합니다."
