"Location","Source","Target"
"198758357-0-45304","Resist Frost","Resist Frost"
"198758357-0-45303","Resist Frost","Resist Frost"
"132143172-0-36628","Increases your Physical and Spell Resistance by <<1>>.","물리 및 마법 저항력이 <<1>>만큼 증가합니다."
"132143172-0-36627","Increases your Max Health by <<1>> and Cold Resistance by <<2>>.\n\nGain immunity to the Chilled status effect.","최대 체력이 <<1>> 증가하고 냉기 저항력이 <<2>> 증가합니다.\n\nchilled 상태효과에 면역을 갖습니다."
"198758357-0-36064","Stalwart","Stalwart"
"132143172-0-36626","Increases your experience gain with the Two Handed skill line by |cffffff15|r%.\n\nIncreases the duration of any consumed drink by |cffffff15|r minutes.","양손무기 스킬 라인의 경험치 획득량이 |cffffff15|r% 증가합니다.\n\n마신 음료의 효과 지속시간이 |cffffff15|r분 증가합니다."
"198758357-0-45298","Stalwart","Stalwart"
"198758357-0-45297","Stalwart","Stalwart"
"198758357-0-45306","Rugged","Rugged"
"198758357-0-45305","Rugged","Rugged"
"198758357-0-36627","Resist Frost","Resist Frost"
"198758357-0-36626","Reveler","Reveler"
"132143172-0-36064","Increases your Max Stamina by <<1>>.\n\nWhen you take damage, you gain <<2>> Ultimate.  This effect can occur once every <<3>>.","최대 스태미나가 <<1>> 증가합니다.\n\n피해를 입으면, <<2>> 궁극기 게이지를 얻습니다. 이 효과는 매 <<3>> 마다 한 번만 발동됩니다."
"198758357-0-36628","Rugged","Rugged"
"132143172-0-45305","Increases your Physical and Spell Resistance by <<1>>.","물리 및 마법 저항력이 <<1>>만큼 증가합니다."
"132143172-0-45304","Increases your Max Health by <<1>> and Cold Resistance by <<2>>.\n\nGain immunity to the Chilled status effect.","최대 체력이 <<1>> 증가하고 냉기 저항력이 <<2>> 증가합니다.\n\nchilled 상태효과에 면역을 갖습니다."
"132143172-0-45306","Increases your Physical and Spell Resistance by <<1>>.","물리 및 마법 저항력이 <<1>>만큼 증가합니다."
"132143172-0-45303","Increases your Max Health by <<1>> and Cold Resistance by <<2>>.\n\nGain immunity to the Chilled status effect.","최대 체력이 <<1>> 증가하고 냉기 저항력이 <<2>> 증가합니다.\n\nchilled 상태효과에 면역을 갖습니다."
"132143172-0-45297","Increases your Max Stamina by <<1>>.\n\nWhen you take damage, you gain <<2>> Ultimate.  This effect can occur once every <<3>>.","최대 스태미나가 <<1>> 증가합니다.\n\n피해를 입으면, <<2>> 궁극기 게이지를 얻습니다. 이 효과는 매 <<3>> 마다 한 번만 발동됩니다."
"132143172-0-45298","Increases your Max Stamina by <<1>>.\n\nWhen you take damage, you gain <<2>> Ultimate.  This effect can occur once every <<3>>.","최대 스태미나가 <<1>> 증가합니다.\n\n피해를 입으면, <<2>> 궁극기 게이지를 얻습니다. 이 효과는 매 <<3>> 마다 한 번만 발동됩니다."
