"Location","Source","Target"
"198758357-0-45312","Swift Warrior","Swift Warrior"
"198758357-0-45311","Swift Warrior","Swift Warrior"
"198758357-0-33293","Craftsman","Craftsman"
"132143172-0-33304","Increases your Weapon Damage by <<1>>.\n\nReduces the cost of Sprint by |cffffff4|r% and increases the Movement Speed bonus of Sprint by |cffffff3|r%.","무기 피해가 <<1>> 증가합니다.\n\n달리기의 리소스 소모량이 |cffffff12|r% 감소하고, 달리기의 이동속도 증가략이 |cffffff10|r% 증가합니다."
"132143172-0-33301","Increases your Max Stamina by <<1>>.","최대 스태미나가 <<1>> 증가합니다."
"198758357-0-45309","Brawny","Brawny"
"198758357-0-45307","Brawny","Brawny"
"132143172-0-33293","Increases your experience gain with the Heavy Armor skill line by |cffffff15|r%.\n\nIncreases your crafting inspiration gained by <<1>>.","중갑 스킬 라인의 경험치 획득량이 |cffffff15|r% 증가합니다.\n\n제작 숙련도 획득량이 <<1>> 증가합니다."
"132143172-0-45309","Increases your Max Stamina by <<1>>.","최대 스태미나가 <<1>> 증가합니다."
"132143172-0-84670","Increases your Max Health by <<1>>.\n\nWhen you deal damage with a Weapon ability, you heal for <<2>> Health.  This can occur once every <<3>>.","최대 체력이 <<1>> 증가합니다.\n\n무기 어빌리티로 피해를 입히면, 체력을 <<2>> 회복합니다. 이 효과는 <<3>> 마다 한 번 발동됩니다."
"198758357-0-33304","Swift Warrior","Swift Warrior"
"198758357-0-84668","Unflinching Rage","Unflinching Rage"
"132143172-0-84672","Increases your Max Health by <<1>>.\n\nWhen you deal damage with a Weapon ability, you heal for <<2>> Health.  This can occur once every <<3>>.","최대 체력이 <<1>> 증가합니다.\n\n무기 어빌리티로 피해를 입히면, 체력을 <<2>> 회복합니다. 이 효과는 <<3>> 마다 한 번 발동됩니다."
"132143172-0-45307","Increases your Max Stamina by <<1>>.","최대 스태미나가 <<1>> 증가합니다."
"132143172-0-45312","Increases your Weapon Damage by <<1>>.\n\nReduces the cost of Sprint by |cffffff12|r% and increases the Movement Speed bonus of Sprint by |cffffff10|r%.","무기 피해가 <<1>> 증가합니다.\n\n달리기의 리소스 소모량이 |cffffff12|r% 감소하고, 달리기의 이동속도 증가략이 |cffffff10|r% 증가합니다."
"198758357-0-84672","Unflinching Rage","Unflinching Rage"
"132143172-0-45311","Increases your Weapon Damage by <<1>>.\n\nReduces the cost of Sprint by |cffffff8|r% and increases the Movement Speed bonus of Sprint by |cffffff6|r%.","무기 피해가 <<1>> 증가합니다.\n\n달리기의 리소스 소모량이 |cffffff12|r% 감소하고, 달리기의 이동속도 증가략이 |cffffff10|r% 증가합니다."
"132143172-0-84668","Increases your Max Health by <<1>>.\n\nWhen you deal damage with a Weapon ability, you heal for <<2>> Health.  This can occur once every <<3>>.","최대 체력이 <<1>> 증가합니다.\n\n무기 어빌리티로 피해를 입히면, 체력을 <<2>> 회복합니다. 이 효과는 <<3>> 마다 한 번 발동됩니다."
"198758357-0-84670","Unflinching Rage","Unflinching Rage"
"198758357-0-33301","Brawny","Brawny"
