"Location","Source","Target"
"198758357-0-45315","Adrenaline Rush","Adrenaline Rush"
"198758357-0-45313","Adrenaline Rush","Adrenaline Rush"
"198758357-0-45278","Martial Training","Martial Training"
"198758357-0-45277","Martial Training","Martial Training"
"132143172-0-36009","Reduces the cost of your weapon abilities by <<1>>.\n\nReduces the effectiveness of snares applied to you by <<2>>.","모든 무기류 어빌리티의 소모량이 <<1>>만큼 감소합니다.\n\n당신에게 적용되는 모든 감속 기술의 효과가 <<2>> 감소합니다."
"132143172-0-36546","When you deal direct damage, you restore <<1>> Stamina. This effect can occur once every <<2>>.","즉시 피해를 입히면, <<1>> 스태미나를 회복합니다. 이 효과는 <<2>>에 한 번만 발동합니다."
"132143172-0-84680","Increases your experience gain with the One Hand and Shield skill line by |cffffff15|r%.\n\nIncreases the duration of any eaten food by |cffffff15|r minutes.","한손무기 및 방패 스킬 라인의 경험치 획득량이 |cffffff15|r%  증가합니다.\n\n먹은 음식 효과 지속 시간이 |cffffff15|r분 증가합니다."
"132143172-0-45315","When you deal direct damage, you restore <<1>> Stamina. This effect can occur once every <<2>>.","즉시 피해를 입히면, <<1>> 스태미나를 회복합니다. 이 효과는 <<2>>에 한 번만 발동합니다."
"198758357-0-117753","Conditioning","Conditioning"
"132143172-0-117753","Increases your Max Stamina by <<1>>.","최대 스태미나가 <<1>> 증가합니다."
"132143172-0-45278","Reduces the cost of your weapon abilities by <<1>>.\n\nReduces the effectiveness of snares applied to you by <<2>>.","모든 무기류 어빌리티의 소모량이 <<1>>만큼 감소합니다.\n\n당신에게 적용되는 모든 감속 기술의 효과가 <<2>> 감소합니다."
"198758357-0-117752","Conditioning","Conditioning"
"132143172-0-117754","Increases your Max Stamina by <<1>>.","최대 스태미나가 <<1>> 증가합니다."
"198758357-0-117754","Conditioning","Conditioning"
"132143172-0-45313","When you deal direct damage, you restore <<1>> Stamina. This effect can occur once every <<2>>.","즉시 피해를 입히면, <<1>> 스태미나를 회복합니다. 이 효과는 <<2>>에 한 번만 발동합니다."
"198758357-0-84680","Wayfarer","Wayfarer"
"198758357-0-36546","Adrenaline Rush","Adrenaline Rush"
"198758357-0-36009","Martial Training","Martial Training"
"132143172-0-45277","Reduces the cost of your weapon abilities by <<1>>.\n\nReduces the effectiveness of snares applied to you by <<2>>.","모든 무기류 어빌리티의 소모량이 <<1>>만큼 감소합니다.\n\n당신에게 적용되는 모든 감속 기술의 효과가 <<2>> 감소합니다."
"132143172-0-117752","Increases your Max Stamina by <<1>>.","최대 스태미나가 <<1>> 증가합니다."
