"Location","Source","Target"
"132143172-0-45295","Increases your stealth detection radius by <<1>>.\n\nIncreases your movement speed by <<2>> and your Physical and Spell Penetration by <<3>> for <<4>> after you use Roll Dodge.","은신 감지 범위가 <<1>> 증가합니다.\n\n이동 속도가 <<2>> 증가하고 구르기 사용 후 물리 및 마법 관통력이 <<4>> 동안 <<3>> 증가합니다."
"198758357-0-64279","Y'ffre's Endurance","Y'ffre's Endurance"
"132143172-0-64280","Increases your Stamina Recovery by <<1>>.","스태미나 재생량이 <<1>> 만큼 증가합니다."
"198758357-0-36022","Hunter's Eye","Hunter's Eye"
"132143172-0-64281","Increases your Stamina Recovery by <<1>>.","스태미나 재생량이 <<1>> 만큼 증가합니다."
"198758357-0-36011","Resist Affliction","Resist Affliction"
"132143172-0-36008","Increases your experience gain with the Bow skill line by |cffffff15|r%.\n\nDecreases your fall damage taken by <<1>>.","활 스킬 라인의 경험치 획득량이 |cffffff15|r% 증가합니다.\n\n받는 추락 피해량이 <<1>> 감소합니다."
"198758357-0-45319","Resist Affliction","Resist Affliction"
"198758357-0-45317","Resist Affliction","Resist Affliction"
"132143172-0-36022","Increases your stealth detection radius by <<1>>.  \n\nIncreases your movement speed by <<2>> and your Physical and Spell Penetration by <<3>> for <<4>> after you use Roll Dodge.","은신 감지 범위가 <<1>> 증가합니다.\n\n이동 속도가 <<2>> 증가하고 구르기 사용 후 물리 및 마법 관통력이 <<4>> 동안 <<3>> 증가합니다."
"132143172-0-64279","Increases your Stamina Recovery by <<1>>.","스태미나 재생량이 <<1>> 만큼 증가합니다."
"132143172-0-36011","Increases your Max Stamina by <<1>> and Poison Resistance by <<2>>.\n\nGain immunity to the Poisoned status effect.","최대 스태미나가 <<1>> 증가하고 독과 질병 저항력이 <<2>> 증가합니다.\n\n독 상태 효과에 면역을 갖습니다."
"132143172-0-45319","Increases your Max Stamina by <<1>> and Poison Resistance by <<2>>.\n\nGain immunity to the Poisoned status effect.","최대 스태미나가 <<1>> 증가하고 독 저항력이 <<2>> 증가합니다.\n\n독 상태 효과에 면역을 갖습니다."
"132143172-0-45317","Increases your Max Stamina by <<1>> and Poison Resistance by <<2>>.\n\nGain immunity to the Poisoned status effect.","최대 스태미나가 <<1>> 증가하고 독과 질병 저항력이 <<2>> 증가합니다.\n\n독 상태 효과에 면역을 갖습니다."
"198758357-0-45296","Hunter's Eye","Hunter's Eye"
"198758357-0-45295","Hunter's Eye","Hunter's Eye"
"132143172-0-45296","Increases your stealth detection radius by <<1>>.\n\nIncreases your movement speed by <<2>> and your Physical and Spell Penetration by <<3>> for <<4>> after you use Roll Dodge.","은신 감지 범위가 <<1>> 증가합니다.\n\n이동 속도가 <<2>> 증가하고 구르기 사용 후 물리 및 마법 관통력이 <<4>> 동안 <<3>> 증가합니다."
"198758357-0-64281","Y'ffre's Endurance","Y'ffre's Endurance"
"198758357-0-64280","Y'ffre's Endurance","Y'ffre's Endurance"
"198758357-0-36008","Acrobat","Acrobat"
