"Location","Source","Target"
"132143172-0-99202","When you deal direct damage, you have a |cffffff15|r% chance to gain unerring mechanical vision for <<1>>, causing your attacks to always be a Critical Strike. This effect can occur once every <<2>>.","피해를 입히면, |cffffff15|r% 확률로 <<1>> 동안 명확한 기계적 시야를 얻어 모든 공격이 치명타가 발동되게 됩니다. 이 효과는 <<2>> 마다 발동됩니다."
"198758357-0-111204","Moon Hunter","Moon Hunter"
"198758357-0-113508","Steadfast Hero","Steadfast Hero"
"132143172-0-32741","Ignore the Movement Speed penalty of Sneak.","은신의 이동 속도 패널티를 무시합니다."
"132143172-0-101974","Increases the Magicka or Stamina your Heavy Attacks restore by <<1>>.","강공으로 회복되는 매지카나 스태미나 <<1>> 증가."
"132143172-0-92920","When you take direct Critical Damage, you apply Minor Maim to the enemy for <<1>>, reducing their damage done by <<2>>.","치명타 피해를 받으면, 그 피해를 준 적에게 Minor Maim 효과를 <<1>> 동안 주어, 대상의 주는 피해량을 <<2>> 만큼 감소 시킵니다."
"132143172-0-101978","Increases the duration of all Major buffs, Minor buffs, and damage shields you apply to yourself and allies by <<1>>.","Major 버프, Minor 버프 및 당신과 아군에게 걸어주는 보호막의 지속시간이 <<1>> 증가합니다."
"132143172-0-68947","After you are affected by a disabling effect, your damage taken is reduced by <<1>> for <<2>>.  This effect can occur every <<3>>.","After you are affected by a disabling effect, your damage taken is reduced by <<1>> for <<2>>.  This effect can occur every <<3>>."
"132143172-0-80951","When you take damage, you have a |cffffff15|r% chance to summon a shadowy Clannfear for <<1>>. The Clannfear's attacks deal <<2>> and reduce their target's damage done by <<3>> for <<4>>. \n\nThe Clannfear be summoned once every <<5>>.","When you take damage, you have a |cffffff15|r% chance to summon a shadowy Clannfear for <<1>>. The Clannfear's attacks deal <<2>> and reduce their target's damage done by <<3>> for <<4>>. \n\nThe Clannfear be summoned once every <<5>>."
"132143172-0-113617","Increases the bleed damage your Twin Slashes ability deals by <<1>> each tick.","Twin Slash 어빌리티의 출혈 데미지를 매 피해(Tick) 마다 <<1>> 만큼 증가시킵니다. "
"132143172-0-32734","Reduces the cost of Sprint and Sneak by <<1>>%.","달리기와 은신에 소모되는 자원이 <<1>>%만큼 감소합니다."
"198758357-0-79103","Pelinal's Aptitude","Pelinal's Aptitude"
"198758357-0-79464","Vicecanon of Venom","Vicecanon of Venom"
"132143172-0-101969","When you cast an ability that costs resources while under |cffffff25|r% Stamina, you restore <<1>> Stamina. This effect can occur once every <<2>>.","스태미나가 |cffffff33|r% 이하일때 어빌리티 사용시, <<1>> 스태미나를 회복합니다.  이 효과는 <<2>> 마다 발동됩니다."
"198758357-0-111220","Jailer's Tenacity","Jailer's Tenacity"
"198758357-0-135652","Winter's Respite","Winter's Respite"
"132143172-0-29117","When you deal melee damage, you have a |cffffff20|r% chance to apply <<1>> to all enemies within |cffffff8|r meters of you for <<2>>, reducing their damage done by <<3>>.","근접 공격으로 피해를 입히면, |cffffff20|r%의 확률로 자신 주위 |cffffff8|r미터 내의 모든 적에게 <<1>>효과를 가해, <<2>> 동안 대상의 피해량을 <<3>>만큼 감소시킵니다."
"132143172-0-135652","Casting abilities that leave an effect on the ground will create a circle of healing frost for <<1>>. You and your allies restore <<2>> Health every <<3>> while inside the circle. This effect can occur once every <<4>>.","Casting abilities that leave an effect on the ground will create a circle of healing frost for <<1>>. You and your allies restore <<2>> Health every <<3>> while inside the circle. This effect can occur once every <<4>>."
"198758357-0-113522","Battalion Defender","Battalion Defender"
