"Location","Source","Target"
"132143172-0-26821","Consecrate the souls of the fallen, healing you and your allies for <<1>> Health and restoring <<2>> Stamina to you for each corpse nearby.\n\nWhile slotted, you gain <<3>>, <<4>>, and <<5>>, increasing your Health, Stamina, and Magicka Recovery by <<6>>.","망자의 영혼을 신에게 바쳐, 자신과 아군들의 체력을 <<1>>만큼 회복시키고, 범위 내의 시체 한 구당 자신의 스태미나를 <<2>>만큼 회복시킵니다.\n\n슬롯에 있으면 <<3>>, <<4>>, <<5>> 효과를 얻어, 체력, 스태미나, 매지카 재생이 <<6>>만큼 증가합니다."
"198758357-0-22314","Hasty Prayer","Hasty Prayer"
"198758357-0-22237","Restoring Focus","Restoring Focus"
"198758357-0-22234","Rune Focus","Rune Focus"
"198758357-0-31751","Mending","Mending"
"132143172-0-22229","Channel the grace of the gods, healing you and nearby allies for <<1>> Health every <<2>> for <<3>>.\n\nGain Major Protection, reducing damage you take by <<4>> for <<5>>.\n\nYou cannot move while channeling, but you gain immunity to all disabling effects.","신의 은총을 퍼뜨려, <<3>> 동안 자신과 주위의 아군들의 체력을 <<2>>마다 <<1>>만큼 회복시킵니다.\n\n Major Protection 효과를 얻어, <<5>> 동안 자신이 받는 피해가 <<4>>만큼 감소합니다.\n\n시전 중에는 이동할 수 없지만, 모든 상태 이상 효과에 면역이 됩니다."
"132143172-0-22304","Focus your spiritual devotion, healing you and nearby allies for <<1>> Health.","신앙심을 한 점에 집중시켜, 자신과 주위 아군들의 체력을 <<1>>만큼 회복시킵니다."
"132143172-0-22226","Channel the grace of the gods, healing you and nearby allies for <<1>> Health every <<2>> for <<3>>.\n\nYou cannot move while channeling, but you gain immunity to all disabling effects.","신의 은총을 퍼뜨려, <<3>> 동안 자신과 주위의 아군들의 체력을 <<2>>마다 <<1>>만큼 회복시킵니다.\n\n시전 중에는 이동할 수 없지만, 모든 상태 이상 효과에 면역이 됩니다."
"132143172-0-22223","Channel the grace of the gods, healing you and nearby allies for <<1>> Health every <<2>> for <<3>>.\n\nYou cannot move while channeling, but you gain immunity to all disabling effects.","신의 은총을 퍼뜨려, <<3>> 동안 자신과 주위의 아군들의 체력을 <<2>>마다 <<1>>만큼 회복시킵니다.\n\n시전 중에는 이동할 수 없지만, 모든 상태 이상 효과에 면역이 됩니다."
"198758357-0-31757","Sacred Ground","Sacred Ground"
