"Location","Source","Target"
"198758357-0-86063","Savage Beast","Savage Beast"
"198758357-0-86064","Bond With Nature","Bond With Nature"
"198758357-0-86065","Bond With Nature","Bond With Nature"
"198758357-0-86066","Flourish","Flourish"
"198758357-0-86023","Swarm","Swarm"
"198758357-0-86067","Flourish","Flourish"
"198758357-0-86068","Advanced Species","Advanced Species"
"198758357-0-86069","Advanced Species","Advanced Species"
"198758357-0-86027","Fetcher Infection","Fetcher Infection"
"132143172-0-86050","Call a betty netch to your side, which grants you Major Brutality and Sorcery, increasing your Weapon and Spell Damage by <<1>> for <<2>>.  \n\nEvery <<3>>, the netch removes |cffffff1|r negative effect from you.","Major Sorcery 효과와 Major Brutality 효과를 부여해 마법 피해량과 무기 피해량을 <<2>>동안 <<1>>만큼 증가시켜주는 베티 네치를 소환합니다.\n\n<<3>>마다, 네치는 부정적 효과를 |cffffff1|r개 지워 줍니다."
"132143172-0-86058","Call a bull netch to your side, which restores <<1>> Stamina to you over <<2>> and grants you Major Brutality and Sorcery, increasing your Weapon and Spell Damage by <<3>>.\n\nEvery <<4>>, the netch removes |cffffff1|r negative effect from you.","<<2>> 동안 총 <<1>> 스태미나를 회복시켜주고, Major Sorcery 효과와 Major Brutality 효과를 부여해 마법 피해량과 무기 피해량을 <<3>>만큼 증가시켜주는 불 네치를 소환합니다.\n\n<<4>>마다, 네치는 부정적 효과를 |cffffff1|r개 지워 줍니다."
"132143172-0-86054","Call a betty netch to your side, which restores <<1>> Magicka to you over <<2>> and grants you Major Brutality and Sorcery, increasing your Weapon and Spell Damage by <<3>>.\n\nEvery <<4>>, the netch removes |cffffff1|r negative effect from you.","<<2>> 동안 총 <<1>> 매지카를 회복시켜주고, Major Sorcery 효과와 Major Brutality 효과를 부여해 마법 피해량과 무기 피해량을 <<3>>만큼 증가시켜주는 베티 네치를 소환합니다.\n\n<<4>>마다, 네치는 부정적 효과를 |cffffff1|r개 지워 줍니다.."
"132143172-0-86019","Stir a group of shalk that attack after <<1>>, dealing <<2>> to enemies in front of you.\n\nEnemies damaged are afflicted with Major Fracture, reducing their Physical Resistance by <<3>> for <<4>>.","<<1>> 후 전방의 적들에게 <<2>>를 입히는 샬크 무리를 불러냅니다.\n\n피해를 입은 적은 Major Fracture 효과를 얻어, <<4>> 동안 물리 저항력이 <<3>>만큼 감소합니다."
"132143172-0-86015","Stir a group of shalk that attack after <<1>>, dealing <<2>> to enemies in front of you.\n\nEnemies damaged are afflicted with Major Breach, reducing their Spell Resistance by <<3>> for <<4>>.","<<1>> 후 전방의 적들에게 <<2>>를 입히는 샬크 무리를 불러냅니다.\n\n피해를 입은 적은 Major Breach 효과를 얻어 <<4>> 동안 마법 저항력이 <<3>>만큼 감소합니다."
"198758357-0-86062","Savage Beast","Savage Beast"
"198758357-0-86031","Growing Swarm","Growing Swarm"
"198758357-0-85982","Feral Guardian","Feral Guardian"
"198758357-0-86037","Falcon's Swiftness","Falcon's Swiftness"
"198758357-0-85986","Eternal Guardian","Eternal Guardian"
"132143172-0-86023","Unleash a swarm of fetcherflies to relentlessly attack an enemy, dealing <<1>> over <<2>>.  \n\nThe fetcherflies rip through the enemy's flesh, afflicting them with Minor Vulnerability for the duration, increasing their damage taken by <<3>>.","대상에게 페처플라이 떼를 풀어 가차없이 공격시킵니다. <<2>>에 걸쳐 총 <<1>>를 입힙니다.\n\n페쳐플라이는 적들의 살갗을 찢고 들어가 지속시간동안 Minor Vulnerability 효과를 줍니다. 적들이 받는 피해량을 <<3>> 증가시킵니다."
