"Location","Source","Target"
"198758357-0-86143","Shimmering Shield","Shimmering Shield"
"198758357-0-86189","Frozen Armor","Frozen Armor"
"198758357-0-86148","Arctic Wind","Arctic Wind"
"198758357-0-86109","Sleet Storm","Sleet Storm"
"132143172-0-86135","Spin a shield of ice around you, absorbing up to <<1>> damage from |cffffff3|r projectiles. \n\nEach time you absorb a projectile you restore <<2>> Magicka.","얼음 방패를 둘러 자신에게 오는 |cffffff3|r개의 투사체를 최대 <<1>>의 피해까지 흡수합니다. \n\n\n투사체를 흡수할 때마다 매지카를 <<2>>만큼 회복합니다."
"132143172-0-86179","Summon an ancient portal, which arms after |cffffff1.5|r seconds,\n\nWhen triggered the enemy is teleported to you, immobilized for <<1>>, dealt <<2>>,  and afflicted with Major Maim, reducing their damage done by <<3>> for <<4>>.\n\nYou can have up to |cffffff3|r Frozen Devices active at a time.","고대의 포탈을 소환합니다. 포탈은 |cffffff1.5|r초 후 작동됩니다.\n\n포탈을 지나는 적을 자신의 위치로 순간이동시키고, <<1>> 동안 속박시키고, <<2>>를 입힙니다. 또한 Major Maim 효과를 가해, <<4>> 동안 대상이 입히는 피해량이 <<3>>만큼 감소합니다.\n\n포탈은 동시에 |cffffff3|r개까지 활성화할 수 있습니다."
"132143172-0-86130","Wrap a thick cloak of ice around you and your allies. The ice grants Major Resolve, increasing your Physical and Spell Resistance by <<1>> for <<2>>.\n\nYou gain Minor Protection, reducing your damage taken by <<3>> for <<4>>.","자신과 아군들을 두꺼운 얼음 장막으로 덮습니다. 얼음 장막은 Major Resolve 효과를 부여해, <<2>> 동안 물리 및 마법 저항력이 <<1>>만큼 증가시킵니다.\n\n자신은 Minor Protection 효과를 얻어,  <<4>> 동안 받는 피해량이 <<3>> 감소합니다."
"132143172-0-86175","Summon an ancient portal, which arms after |cffffff1.5|r seconds and lasts for <<1>>.\n\nWhen triggered the enemy is teleported to you, immobilized for <<2>>, and dealt <<3>>.\n\nYou can have up to |cffffff3|r Frozen Gates active at a time.","고대의 포탈을 소환합니다. 포탈은 |cffffff1.5|r초 후 작동하고, <<1>> 동안 유지됩니다.\n\n포탈을 지나는 적을 자신의 위치로 순간이동시키고, <<2>> 동안 속박시키고, <<3>>를 입힙니다.\n\n포탈은 동시에 |cffffff3|r개까지 활성화할 수 있습니다."
"132143172-0-86139","Spin a shield of ice around you, absorbing up to <<1>> damage from |cffffff3|r projectiles. \n\nEach time you absorb a projectile you restore <<2>> Magicka and launch an icy bolt back at the enemy, dealing <<3>>.  This effect can occur once every half second.","얼음 방패를 둘러 자신에게 오는 |cffffff3|r개의 투사체를 최대 <<1>>의 피해까지 흡수합니다. \n\n투사체를 흡수할 때마다 매지카를 <<2>>만큼 회복하고, 시전자에게 아이스 볼트를 반사하여 <<3>>피해를 입힙니다.\n0.5초마다 발동됩니다."
"198758357-0-86183","Frozen Retreat","Frozen Retreat"
"198758357-0-86195","Piercing Cold","Piercing Cold"
"198758357-0-86152","Polar Wind","Polar Wind"
"198758357-0-86196","Piercing Cold","Piercing Cold"
"198758357-0-86156","Arctic Blast","Arctic Blast"
"198758357-0-86113","Northern Storm","Northern Storm"
"198758357-0-86117","Permafrost","Permafrost"
"132143172-0-86189","Increases your Physical and Spell Resistance by <<1>> for each Winter's Embrace ability slotted.\n\nCurrent Bonus: <<2>>.","슬롯에 있는 Winter's Embrace 어빌리티 한 개당 물리 및 마법 저항력이 <<1>>만큼 증가합니다.\n\n현재 증가량: <<2>>"
"132143172-0-86143","Spin a shield of ice around you, absorbing up to <<1>> damage from |cffffff3|r projectiles. \n\nEach time you absorb a projectile you restore <<2>> Magicka and gain Major Heroism for <<3>>, granting you <<4>> Ultimate every |cffffff1.5|r seconds.","얼음 방패를 둘러 자신에게 오는 |cffffff3|r개의 투사체를 최대 <<1>>의 피해까지 흡수합니다. \n\n흡수할 때마다 매지카를 <<2>>만큼 회복하고, Major Heroism 효과를 <<3>> 동안 얻어,  |cffffff1.5|r  마다 궁극기 게이지를 <<4>>만큼 얻습니다."
"132143172-0-86183","Summon an ancient portal, which arms after |cffffff1.5|r seconds.\n\nWhen triggered the enemy is teleported to you, immobilized for <<1>>, and dealt <<2>>.\n\nAn ally in the portal can activate the |cffffffIcy Escape|r synergy, teleporting them to you and granting them <<3>>, increasing their Movement Speed by <<4>> for <<5>>.\n\nYou can have up to |cffffff3|r Frozen Retreats active at a time.","고대의 포탈을 소환합니다. 포탈은 |cffffff1.5|r초 후 작동합니다.\n\n포탈을 지나는 적을 자신의 위치로 순간이동시키고, <<1>> 동안 속박시키고, <<2>>를 입힙니다.\n\n포탈에 있는 아군은 |cffffffIcy Escape|r 연계 효과를 발동시킬 수 있습니다. 발동하면 자신의 위치로 순간이동시키고 <<3>>를 부여해, <<5>> 동안 이동 속도를 <<4>> 증가시킵니다.\n\n포탈은 동시에 |cffffff3|r개까지 활성화할 수 있습니다."
