"Location","Source","Target"
"132143172-0-28807","Slam your staff down to create a flaming barrier in front of you, dealing <<1>> to enemies in the target area every <<2>>.\n\nBurning enemies take <<3>> more damage from this ability.","스태프를 땅에 내리쳐 불안정한 화염 장벽을 세웁니다. 범위 내의 적들에게 <<2>>마다 <<1>>를 줍니다.\n\nBurning 상태인 적들은 이 기술에  <<3>> 추가 피해를 받습니다."
"132143172-0-28849","Slam your staff down to create an icy barrier in front of you, dealing <<1>> to enemies in the target area every <<2>> and reducing their Movement Speed by <<3>>.\n\nChilled enemies become frozen and are immobilized for <<4>>.","스태프를 땅에 내리쳐 불안정한 냉기 장벽을 세웁니다. 범위 내의 적들에게 <<2>>마다 <<1>>를 주고, <<3>> 동안 이동 속도를 감소시킵니다.\n\nChilled 상태인 적은 얼어붙어서 <<4>> 동안 이동 불가 효과를 받습니다."
"198758357-0-39073","Unstable Wall of Storms","Unstable Wall of Storms"
"132143172-0-39067","Slam your staff down to create an unstable ice barrier in front of you, dealing <<1>> to enemies in the target area every <<2>> and reducing their Movement Speed by <<3>>.\n\nChilled enemies become frozen and are immobilized for <<4>>.\n\nWhen the effect ends, the barrier explodes, dealing <<5>>.","스태프를 땅에 내리쳐 불안정한 냉기 장벽을 세웁니다. 범위 내의 적들에게 <<2>>마다 <<1>>를 주고, <<3>> 동안 이동 속도를 감소시킵니다.\n\nChilled 상태인 적은 얼어붙어서 <<4>> 동안 이동 불가 효과를 받습니다.\n\n효과가 끝날때, 장벽이 폭발하여 <<4>> 피해를 줍니다.\n"
"198758357-0-83628","Ice Storm","Ice Storm"
"132143172-0-39145","Release a surge of flame, dealing <<1>> to enemies at the target location.","폭발하는 화염 에너지를 해방해, 대상 지역의 적들에게 <<1>>를 줍니다."
"198758357-0-28854","Wall of Storms","Wall of Storms"
"132143172-0-39146","Release a surge of frost, dealing <<1>> to enemies at the target location.","폭발하는 냉기 에너지를 해방해, 대상 지역의 적들에게 <<1>>를 줍니다."
"132143172-0-38970","Devastate an enemy with an enhanced charge from your staff, dealing <<1>> and an additional <<2>> over <<3>>.","스태프의 충전된 힘을 방출하여 적을 파괴합니다. <<1>>를 주고 추가로 <<2>> 피해를 <<3>>에 걸쳐 줍니다."
"132143172-0-39147","Release a surge of lightning, dealing <<1>> to enemies at the target location.","폭발하는 원소 에너지를 해방해, 대상 지역의 적들에게 <<1>>를 줍니다."
