"Location","Source","Target"
"198758357-0-45513","Ancient Knowledge","Ancient Knowledge"
"132143172-0-83619","Create a cataclysmic storm at the target location that builds for |cffffff2|r seconds then lays waste to all enemies in the area, dealing <<1>> every <<2>> for <<3>>.","대상 지역에 격변하는 폭풍을 불러내  범위 내의 적들을 초토화시킵니다. 폭풍은 시전 후 |cffffff2|r초 뒤에 생성되며 <<3>> 동안 매 <<2>>마다 <<1>>를 줍니다."
"198758357-0-45512","Elemental Force","Elemental Force"
"132143172-0-30965","When you kill an enemy with a Destruction Staff ability, you restore <<1>> Magicka.","파괴 스태프 어빌리티로 적을 처치하면 <<1>> 매지카를 회복합니다."
"132143172-0-28800","Release a surge of elemental energy, dealing <<1>> to nearby enemies.","폭발하는 원소 에너지를 해방해 근처의 적들에게 <<1>>를 줍니다."
"132143172-0-30962","Increases your chance to apply the Burning, Concussion, and Chilled status effects by <<1>>.","파괴 스태프를 장착한 동안 적을 불태우고, 감전시키고, 얼어붙게 만들 확률이 <<1>> 증가합니다."
"198758357-0-28858","Wall of Elements","Wall of Elements"
"132143172-0-39143","Release a surge of elemental energy, dealing <<1>> to enemies at the target location.","폭발하는 원소 에너지를 해방해, 대상 지역의 적들에게 <<1>>를 줍니다."
"198758357-0-45514","Destruction Expert","Destruction Expert"
"132143172-0-29091","Devastate an enemy with an enhanced charge from your staff, dealing <<1>> and an additional <<2>> Magic Damage over <<3>>.","스태프의 충전된 힘을 방출하여 적을 파괴합니다. <<1>>를 주고 추가로 <<2>> 마법 피해를 <<3>>에 걸쳐 줍니다."
"132143172-0-45509","Your Destruction Staff abilities ignore <<1>>% of the enemy's Spell Resistance.","파괴 스태프 어빌리티가 적의 마법 저항력을 <<1>>% 무시합니다."
"132143172-0-46356","Focus all the elemental energies with your staff and blast an enemy for <<1>>, <<2>>, and <<3>>. \n\nUp to 2 nearby enemies will take \n<<4>> if they were already afflicted with Burning, Chilled, or Concussed status effects.","모든 원소의 에너지를 스태프에 집중시켜 적에게 폭발시킵니다. <<1>>, <<2>>, <<3>>를 줍니다.\n\n근처에 있는 최대 2명의 적이\n이미 불타거나, 얼어붙거나, 감전된 상태라면 <<4>>를 줍니다."
"132143172-0-38937","Devastate an enemy with an enhanced charge from your staff, dealing <<1>> and an additional <<2>> Magic Damage over <<3>>.","스태프의 충전된 힘을 방출하여 적을 파괴합니다. <<1>>를 주고 추가로 <<2>> 마법 피해를 <<3>>에 걸쳐 줍니다."
"132143172-0-29173","Send the elements to sap an enemy's defenses and afflict them with <<1>> for <<2>>, reducing their Spell Resistance by <<3>>.","원소를 내보내 적의 방어를 무력화시킵니다.  <<2>> 동안 <<1>> 효과를 가해 마법 저항력을 <<3>> 감소시킵니다."
"198758357-0-38984","Destructive Clench","Destructive Clench"
"132143172-0-45500","Fully-charged Flame Staff Heavy Attacks deal <<1>> additional damage.\n\nShock Staff Heavy Attacks damage nearby enemies for <<2>> of the damage done.\n\nFully-charged Frost Staff Heavy Attacks taunt the enemy to attack you for <<3>> and grant a damage shield that absorbs <<4>> damage. \n\nWhile a Frost Staff is equipped, blocking costs Magicka instead of Stamina.","착용한 스태프에 따라 다음의 효과를 얻습니다:\n\n최대로 완충된 화염 지팡이 강공격은 <<1>> 추가 피해를 줍니다.\n\n전격 지팡이 강공격은 가한 피해의 <<2>>를 주변의 적들에게도 줍니다.\n\n최대로 완충된 냉기 지팡이 강공격은 적이 <<3>> 동안 자신을 공격하게 도발하고 <<4>> 피해를 흡수하는 보호막을 생성합니다.\n\n냉기 스태프를 장착하고 있으면  막기가 스태미나 대신 매지카를 소모합니다."
"132143172-0-30957","Your Destruction Staff abilities ignore <<1>>% of the enemy's Spell Resistance.","파괴 스태프 어빌리티가 적의 마법 저항력을 <<1>>% 무시합니다."
"132143172-0-84434","Create a cataclysmic storm at the target location that builds for |cffffff2|r seconds then lays waste to all enemies in the area, dealing <<1>> every <<2>> for <<3>>.\n\nFiery Rage increases the damage by <<4>>.\n\nIcy Rage immobilizes enemies hit for <<5>>.\n\nThunderous Rage increases the duration by |cffffff2|r seconds.","대상 지역에 격변하는 폭풍을 불러내  범위 내의 적들을 초토화시킵니다. 폭풍은 시전 후 |cffffff2|r초 뒤에 생성되며 <<3>> 동안 매 <<2>>마다 <<1>>를 줍니다.\n\n화염의 분노는 피해량을 <<4>> 증가시킵니다.\n\n냉기의 분노는 적중당한 적들을 <<5>> 동안 이동 불가 상태로 만듭니다.\n\n전격의 분노는 폭풍의 지속 시간을 |cffffff2|r 증가시킵니다."
"132143172-0-30959","Equipping a Flame Staff increases your damage done with single target abilities by <<1>>.\n\nEquipping a Lightning Staff increases your damage done with area of effect abilities by <<2>>.\n\nEquipping a Frost Staff reduces the cost of blocking by |cffffff18|r% and increases the amount of damage you block by <<3>>.","화염 스태프 장착시 단일 대상 어빌리티의 피해량이 <<1>> 증가합니다.\n\n전격 스태프 장착시 범위 공격 어빌리티의 피해량이 <<2>> 증가합니다.\n\n냉기 스태프 장착시 막기의 리소스 소모량이 |cffffff35|r% 감소하고 막아낼 수 있는 피해량이 <<3>> 증가합니다."
"198758357-0-30948","Tri Focus","Tri Focus"
"198758357-0-39089","Elemental Susceptibility","Elemental Susceptibility"
"198758357-0-39161","Pulsar","Pulsar"
"198758357-0-28800","Impulse","Impulse"
"132143172-0-38984","Devastate an enemy with an enhanced charge from your staff, dealing <<1>>.\n\nFlame Clench also knocks the enemy back.\n\nFrost Clench also immobilizes the enemy.\n\nShock Clench converts the attack into an area of effect explosion.","스태프의 충전된 힘을 방출하여 적을 파괴합니다. <<1>>를 입힙니다.\n\n화염의 움켜쥠은 적을 뒤로 밀쳐냅니다.\n\n냉기의 움켜쥠은 적을 이동 불가 상태로 만듭니다.\n\n전격의 움켜쥠은 주변의 적에게도 피해를 줍니다."
"132143172-0-45514","When you kill an enemy with a Destruction Staff ability, you restore <<1>> Magicka.","파괴 스태프 어빌리티로 적을 처치하면 <<1>> 매지카를 회복합니다."
"198758357-0-83642","Eye of the Storm","Eye of the Storm"
"132143172-0-45513","Equipping a Flame Staff increases your damage done with single target abilities by <<1>>.\n\nEquipping a Lightning Staff increases your damage done with area of effect abilities by <<2>>.\n\nEquipping a Frost Staff reduces the cost of blocking by |cffffff36|r% and increases the amount of damage you block by <<3>>.","화염 스태프 장착시 단일 대상 어빌리티의 피해량이 <<1>> 증가합니다.\n\n전격 스태프 장착시 범위 공격 어빌리티의 피해량이 <<2>> 증가합니다.\n\n냉기 스태프 장착시 막기의 리소스 소모량이 |cffffff35|r% 감소하고 막아낼 수 있는 피해량이 <<3>> 증가합니다.\n"
"198758357-0-30957","Penetrating Magic","Penetrating Magic"
"198758357-0-29173","Weakness to Elements","Weakness to Elements"
