"Location","Source","Target"
"132143172-0-29415","Improves your standard bash attacks, causing them to deal <<1>> more damage and cost |cffffff20|r% less Stamina.","일반 배쉬 공격이 강화됩니다. 배쉬가 추가로 <<1>> 피해를 입히고 스태미나 소모량이  |cffffff20|r%  감소합니다."
"198758357-0-38264","Heroic Slash","Heroic Slash"
"198758357-0-45473","Battlefield Mobility","Battlefield Mobility"
"132143172-0-38250","Thrust your weapon with disciplined precision at an enemy, dealing <<1>> and taunting them to attack you for <<2>>.\n\nAlso afflicts the enemy with <<3>> and <<4>>, reducing their Physical Resistance and Spell Resistance by <<5>> for <<6>>.","적을 정확하게 찔러 <<1>>를 주고 <<2>> 동안 자신을 공격하도록 도발합니다.\n\n또한 적에게 <<3>>, <<4>> 효과를 가해 <<6>> 동안 물리 저항력과 마법 저항력<<6>>동안  <<5>> 감소시킵니다."
"132143172-0-28727","Bolster your defenses, gaining a damage shield that absorbs up to <<1>> damage for <<2>>.  This portion of the ability scales off your Max Health.\n\nYou reflect the next harmful Direct Damage projectile cast at you.  This effect can occur once per cast.","방어를 강화해 <<2>>동안 <<1>> 피해를 흡수하는 보호막을 생성합니다. 보호막은 당신의 최대 체력에 비례해 조정됩니다.\n\n당신에게 시전되는 다음번 직접 투사체 공격을 반사하합니다. 이 효과는 한번만 적용됩니다."
"132143172-0-38452","Strike an enemy full-force with your shield, dealing <<1>>.\n\nWhile slotted, blocking any attack grants you a stack of <<2>>, which increases the damage of your next <<3>> by <<4>> for <<5>>.  This effect stacks up to 10 times.","혼신의 힘을 다해 방패로 적을 강타해 <<1>>를 줍니다.\n\n슬롯에 장착되어 있으면 막기에 성공할 때마다 <<2>> 중첩을 얻으며, 다음 <<3>>의 피해량을 <<4>>로 <<5>> 동안 증가합니다. 이 효과는 최대 10번 중첩됩니다."
"132143172-0-38256","Thrust your weapon with disciplined precision at an enemy, dealing <<1>> and taunting them to attack you for <<2>>.\n\nAfflicts the enemy with <<3>>, reducing their Physical Resistance by <<4>> for <<5>>.\n\nYou also gain <<6>>, reducing your damage taken by <<7>> for <<8>>.","적을 정확하게 찔러 <<1>>를 주고 <<2>> 동안 자신을 공격하도록 도발합니다.\n\n또한 적에게 <<3>> 효과를 가해 <<5>> 동안 물리 저항력을<<5>>동안 <<4>> 감소시킵니다.\n\n당신은 <<6>> 효과를 얻어 <<8>> 동안 받는 피해가 <<7>> 감소합니다."
"132143172-0-38455","Strike an enemy full-force with your shield, dealing <<1>> and stunning them for <<2>>.\n\nAfter the stun ends, the enemy takes an additional <<1>>.","혼신의 힘을 다해 방패로 적을 강타해 <<1>>를 주고 <<2>> 동안 기절시킵니다.\n\n또한 기절이 끝난 후, 추가로 <<1>>를 줍니다."
"198758357-0-29420","Fortress","Fortress"
"198758357-0-29422","Battlefield Mobility","Battlefield Mobility"
"132143172-0-45469","Improves your standard bash attacks, causing them to deal <<1>> more damage and cost |cffffff40|r% less Stamina.","일반 배쉬 공격이 강화됩니다. 배쉬가 추가로 <<1>> 피해를 입히고 스태미나 소모량이  |cffffff40|r%  감소합니다."
"198758357-0-83310","Shield Discipline","Shield Discipline"
"198758357-0-45472","Deflect Bolts","Deflect Bolts"
"198758357-0-45471","Fortress","Fortress"
"198758357-0-38268","Deep Slash","Deep Slash"
"198758357-0-83272","Shield Wall","Shield Wall"
"132143172-0-28365","Strike an enemy full-force with your shield, dealing <<1>>.","혼신의 힘을 다해 방패로 적을 강타해 <<1>>를 줍니다."
"132143172-0-45471","Reduces the Stamina cost of your One Hand and Shield abilities by <<1>> and reduces the cost of blocking by |cffffff36|r%.","한손무기 및 방패 어빌리티의 스태미나 소모량이 <<1>> 감소하고 막기의 소모량이 <<2>> 감소합니다."
"132143172-0-28719","Rush an enemy and ram them, dealing <<1>> and stunning them for <<2>>.","적에게 돌진해서 들이받아 <<1>>를 주고 <<2>> 동안 기절시킵니다."
"198758357-0-28727","Defensive Posture","Defensive Posture"
"132143172-0-38264","Surprise an enemy with a deep lunge, dealing <<1>> and afflicting them with <<2>>, reducing their damage done by <<3>> for <<4>>. \n\nYou gain <<5>>, granting you <<6>> Ultimate every |cffffff1.5|r seconds for <<7>>.","낮은 자세로 적을 기습해 <<1>>를 주고 <<2>> 효과를 가해 <<4>> 동안 적이 가하는 피해를 <<3>> 감소시킵니다.\n\n당신은 <<5>> 효과를 얻어 <<7>> 동안 궁극기 게이지를 매 |cffffff1.5|r마다 <<6>> 획득합니다."
"198758357-0-29415","Deadly Bash","Deadly Bash"
"132143172-0-83272","Reinforce your shield, allowing you to automatically block all attacks at no cost for <<1>>.","방패를 강화해서 <<1>> 동안 소모되는 값 없이 모든 공격을 자동으로 막아냅니다."
"132143172-0-38268","Surprise an enemy with a sweeping lunge, dealing <<1>> to them and other nearby enemies. You reduce the Movement Speed of all enemies hit by <<2>> for <<3>>.\n\nAlso afflicts all enemies hit with <<4>>, reducing their damage done by <<5>> for <<6>>.","낮은 휩쓸기 공격으로 적을 기습해 대상과 대상 주변의 적에게 <<1>>를 줍니다. 맞은 적은 이동 속도가 <<3>> 동안 <<2>> 감소합니다.\n\n또한 적에게 <<4>> 효과를 가해 <<6>> 동안 적이 가하는 피해를 <<5>> 감소시킵니다."
"198758357-0-28365","Power Bash","Power Bash"
"198758357-0-38312","Defensive Stance","Defensive Stance"
"132143172-0-45473","Reduces the Movement Speed penalty of Bracing.\n\nCurrent penalty: |cffffff36|r%","방어하고 있는동안 이동속도 패널티를 감소시킵니다.\n\n현재 패널티: |cffffff36|r%"
"132143172-0-83310","Reinforce your shield, allowing you to automatically block all attacks at no cost for <<1>>.\n\nYour One Hand and Shield abilities cost nothing while this effect persists.","방패를 강화해서 <<1>> 동안 리소스 소모 없이 모든 공격을 자동으로 막아냅니다.\n\n활성화 되어있는 동안 한손무기 및 방패 어빌리티를 아무 비용 없이 사용할 수 있습니다."
"132143172-0-45472","Increases the amount of damage you can block from projectiles and ranged attacks by <<1>>.","막아낼 수 있는 투사체와 원거리 공격의 피해량이 <<1>> 증가합니다."
"198758357-0-38317","Absorb Missile","Absorb Missile"
"132143172-0-28304","Surprise an enemy with a deep lunge, dealing <<1>> and afflicting them  with <<2>>, reducing their damage done by <<3>> for <<4>>.","낮은 자세로 적을 기습해 <<1>>를 주고  <<2>> 효과를 가해 <<4>> 동안 적이 가하는 피해를 <<3>> 감소시킵니다."
"198758357-0-28719","Shield Charge","Shield Charge"
"198758357-0-45452","Sword and Board","Sword and Board"
"132143172-0-28306","Thrust your weapon with disciplined precision at an enemy, dealing <<1>> and taunting them to attack you for <<2>>.\n\nAlso afflicts the enemy with <<3>>, reducing their Physical Resistance by <<4>> for <<5>>.","적을 정확하게 찔러 <<1>>를 주고 <<2>> 동안 자신을 공격하도록 도발합니다.\n\n또한 적에게 <<3>> 효과를 가해 <<5>> 동안 물리 저항력을 <<4>> 감소시킵니다."
"132143172-0-38312","Bolster your defenses, gaining a damage shield that absorbs up to <<1>> damage for <<2>>.  This portion of the ability scales off your Max Health.\n\nYou reflect the next harmful Direct Damage projectile cast at you.  This effect can occur once per cast.\n\nWhile you have a shield equipped, the amount of damage you can block is increased by <<3>> and the cost of blocking is reduced by <<4>>.","방어를 강화해 <<2>>동안 <<1>> 피해를 흡수하는 보호막을 생성합니다. 보호막은 당신의 최대 체력에 비례해 조정됩니다.\n\n당신에게 시전되는 다음번 직접 투사체 공격을 반사합니다. 이 효과는 한번만 적용됩니다.\n\n방패를 착용하면, 방어할 수 있는 피해량이 <<3>>증가하고 방어에 소모되는 리소스가 <<4>> 감소합니다."
"132143172-0-38317","Bolster your defenses, gaining a damage shield that absorbs up to <<1>> damage for <<2>>.  \n\nWhile the shield persists, you are healed for <<3>> Health the next time a harmful Direct Damage projectile hits you.  This effect can occur once per cast.\n\nThis ability scales off your Max Health.","방어를 강화해 <<2>>동안 <<1>> 피해를 흡수하는 보호막을 생성합니다.\n\n보호막이 유지되는동안, 다음번 직접 투사체 공격이 당신에게 적중하면 당신을 <<3>> 체력을 회복합니다. 이 효과는 한번만 적용됩니다.\n\n이 기술은 당신의 최대 체력에 비례해 조정됩니다."
"198758357-0-38401","Shielded Assault","Shielded Assault"
"132143172-0-29399","Increases the amount of damage you can block from projectiles and ranged attacks by <<1>>.","막아낼 수 있는 투사체와 원거리 공격의 피해량이 <<1>> 증가합니다."
"198758357-0-83292","Spell Wall","Spell Wall"
"132143172-0-29397","Increases your Weapon Damage by <<1>>% and the amount of damage you can block by <<2>>.","무기 피해량이 <<1>>% 증가하고 막아낼 수 있는 피해량이 <<2>> 증가합니다."
"198758357-0-38405","Invasion","Invasion"
"198758357-0-45469","Deadly Bash","Deadly Bash"
"198758357-0-38250","Pierce Armor","Pierce Armor"
"198758357-0-38256","Ransack","Ransack"
"198758357-0-38452","Power Slam","Power Slam"
"198758357-0-28306","Puncture","Puncture"
"198758357-0-28304","Low Slash","Low Slash"
"198758357-0-29399","Deflect Bolts","Deflect Bolts"
"132143172-0-38401","Rush an enemy and ram them, dealing <<1>> and stunning them for <<2>>.\n\nYou gain a damage shield after the attack, absorbing <<3>> damage for <<4>>.  This portion of the ability scales off your Max Health.","적에게 돌진해서 들이받아 <<1>>를 주고 <<2>> 동안 기절시킵니다.\n\n공격 후 보호막을 얻어 <<4>> 동안 최대 체력의 <<3>> 만큼 피해를 흡수합니다."
"132143172-0-83292","Reinforce your shield, allowing you to automatically block all attacks at no cost and reflect all projectiles cast at you for <<1>>.","방패를 강화해서 <<1>> 동안 소모되는 값 없이 모든 공격을 자동으로 막아내고 당신에게 시전되어 날아오는 투사체를 반사합니다."
"132143172-0-38405","Rush an enemy and ram them, dealing <<1>> and stunning them for <<2>>.\n\nStuns up to |cffffff50|r% longer based on the distance traveled.","적에게 돌진해서 들이받아 <<1>>를 주고 <<2>> 동안 기절시킵니다.\n\n돌진한 거리에 비례해 기절 시간이 |cffffff50|r%까지 증가합니다."
"198758357-0-29397","Sword and Board","Sword and Board"
"198758357-0-38455","Reverberating Bash","Reverberating Bash"
"132143172-0-29422","Reduces the Movement Speed penalty of Bracing.\n\nCurrent penalty: |cffffff48|r%","방어하고 있는동안 이동속도 패널티를 감소시킵니다.\n\n현재 패널티: |cffffff48|r%"
"132143172-0-29420","Reduces the Stamina cost of your One Hand and Shield abilities by <<1>> and reduces the cost of blocking by |cffffff18|r%.","한손무기 및 방패 어빌리티의 스태미나 소모량이 <<1>> 감소하고 막기의 소모량이 <<2>> 감소합니다."
"132143172-0-45452","Increases your Weapon Damage by <<1>>% and the amount of damage you can block by <<2>>.","무기 피해량이 <<1>>% 증가하고 막아낼 수 있는 피해량이 <<2>> 증가합니다."
