"Location","Source","Target"
"132143172-0-31531","Focus your staff's power to apply <<1>> to an enemy for <<2>>, healing you and your allies for <<3>> Health every <<4>> when damaging them.","스태프의 힘에 집중해서 적에게 <<1>> 효과를 가해 <<2>> 동안 당신과 아군이 대상을 공격하면 <<4>>마다 <<3>>만큼의 체력을 회복합니다."
"198758357-0-40109","Siphon Spirit","Siphon Spirit"
"198758357-0-45519","Restoration Expert","Restoration Expert"
"198758357-0-40103","Blessing Of Restoration","Blessing Of Restoration"
"198758357-0-45517","Essence Drain","Essence Drain"
"198758357-0-28536","Regeneration","Regeneration"
"132143172-0-37243","Slam your staff down to activate its blessings, healing you and your allies in front of you for <<1>> Health.\n\nAlso grants <<2>>, increasing you and your allies' Physical Resistance and Spell Resistance by <<3>> for <<4>>.","스태프를 땅에 내려쳐 축복을 발동해 당신과 전방의 아군들의 체력을 <<1>>만큼 회복시킵니다.\n\n또한 <<2>> 효과를 얻어 <<4>> 동안 당신과 아군의 물리 저항력과 마법 저항력이 <<3>> 증가합니다."
"198758357-0-30981","Restoration Master","Restoration Master"
"198758357-0-30980","Restoration Expert","Restoration Expert"
"132143172-0-40058","Summon restoring spirits with your staff, healing you and your allies in the target area for <<1>> Health and an additional <<1>> Health every <<2>> for <<3>>.","치유의 영혼을 소환해 당신과 대상 지역 안에 있는 아군의 체력을 <<1>>만큼 회복시키고 추가로 <<3>> 동안 매 <<2>>마다 <<1>>만큼 회복시킵니다."
"198758357-0-83552","Panacea","Panacea"
"198758357-0-30869","Absorb","Absorb"
"198758357-0-40060","Healing Springs","Healing Springs"
"198758357-0-85132","Light's Champion","Light's Champion"
"132143172-0-40094","Slam your staff down to activate its blessings, healing you and your allies in front of you for <<1>> Health.\n\nAlso grants <<2>> and <<3>> increasing you and your allies' damage done by <<4>> and Physical Resistance and Spell Resistance by <<5>>  for <<6>>.","스태프를 땅에 내려쳐 축복을 발동해 당신과 전방의 아군들의 체력을 <<1>>만큼 회복시킵니다.\n\n또한 <<2>>, <<3>> 효과를 얻어 <<6>> 동안 당신과 아군이 가하는 피해가 <<4>> 증가하고 물리 저항력과 마법 저항력이 <<5>> 증가합니다."
"132143172-0-40130","Call on your staff's strength to protect you and the lowest health ally around you with a damage shield that absorbs <<1>> damage.\n\nThe shield's strength is increased by up to <<2>>%, depending on the severity of the target's wounds.","스태프의 보호 능력을 발동하여 당신과 근처의 체력이 가장 낮은 아군에게 <<1>> 피해를 흡수하는 보호막을 생성합니다.\n\n보호막의 강도는 대상이 입은 피해에 비례해 최대 <<2>>% 까지 증가합니다."
"198758357-0-45524","Restoration Master","Restoration Master"
"198758357-0-40076","Rapid Regeneration","Rapid Regeneration"
"198758357-0-40079","Radiating Regeneration","Radiating Regeneration"
"198758357-0-45521","Absorb","Absorb"
"198758357-0-45520","Cycle of Life","Cycle of Life"
"198758357-0-40116","Quick Siphon","Quick Siphon"
"132143172-0-85132","Release the rejuvenating energies of your staff to swirl around you, healing you or a nearby ally for <<1>> Health every <<2>> for <<3>>.\n\nAny friendly target you heal gains Major Force for <<4>>, increasing their Critical Damage by <<5>>.","원기를 회복하는 에너지를 방출합니다. 에너지는 <<3>> 동안 당신 주위를 회전하며 당신 또는 아군의 체력을 <<2>>마다 <<1>>만큼 회복시킵니다.\n\n회복을 받은 아군은 Major Force 효과를 <<4>> 동안 얻어 치명타 피해량이 <<5>> 증가합니다."
"132143172-0-40103","Slam your staff down to activate its blessings, healing you and your allies in front of you for <<1>> Health.\n\nAlso grants <<2>>, increasing you and your allies' Physical Resistance and Spell Resistance by <<3>> for <<4>>.","스태프를 땅에 내려쳐 축복을 발동해 당신과 전방의 아군들의 체력을 <<1>>만큼 회복시킵니다.\n\n또한 <<2>> 효과를 얻어 <<4>> 동안 당신과 아군의 물리 저항력과 마법 저항력이 <<3>> 증가합니다."
"132143172-0-45517","You gain Major Mending for <<1>> after completing a fully-charged Heavy Attack, increasing your healing done by <<2>>.\n\nYou also heal yourself or an ally near the target for <<3>>% of the damage inflicted by the final hit of a fully-charged Heavy Attack.","최대로 완충된 강공격에 성공하면 Major Mending 효과를 얻어 <<1>> 동안 주는 치유량이 <<2>>만큼 증가합니다.\n\n또한 최대로 완충된 강공격으로 적을 처치하면 가한 피해량의 <<3>>% 만큼 당신 또는 대상과 가장 가까운 아군의 체력을 회복합니다."
"132143172-0-45519","Increases your healing by <<1>> on allies under |cffffff30|r% Health.","체력이 |cffffff30|r% 미만인 아군에게 주는 치유량이 <<1>> 증가합니다."
"132143172-0-40060","Summon restoring spirits with your staff, healing you and your allies in the target area for <<1>> Health and an additional <<1>> Health every <<2>> for <<3>>. \n\nYou restore <<4>> Magicka every time you or an ally is healed.","치유의 영혼을 소환해 당신과 대상 지역 안에 있는 아군의 체력을 <<1>>만큼 회복시키고 추가로 <<3>> 동안 매 <<2>>마다 <<1>>만큼 회복시킵니다.\n\n시전 시 처음 회복시킨 아군의 수 x <<4>>만큼 매지카를 회복합니다. "
"132143172-0-30869","Restores <<1>> Magicka when you block a spell.","주문을 막으면 <<1>>만큼의 매지카를 회복합니다."
"132143172-0-83552","Release the rejuvenating energies of your staff to swirl around you, healing you or an ally for <<1>> Health every <<2>> for <<3>>.","원기를 회복하는 에너지를 방출합니다. 에너지는 <<3>> 동안 당신 주위를 회전하며 당신 또는 아군의 체력을 <<2>>마다 <<1>>만큼 회복시킵니다."
"198758357-0-37232","Steadfast Ward","Steadfast Ward"
"132143172-0-40109","Focus your staff's power to apply <<1>> to an enemy for <<2>>, healing you and your allies for <<3>> Health every <<4>> when damaging them.\n\nAlso applies <<5>> to the enemy for <<6>>, causing you and your allies to restore <<7>> Magicka every <<8>> when damaging them.","스태프의 힘에 집중해서 적에게 <<1>> 효과를 가해 <<2>> 동안 당신과 아군이 대상을 공격하면 <<4>>마다 <<3>>만큼의 체력을 회복합니다.\n\n또한 적에게 <<5>> 효과를 가해 <<6>> 동안 당신과 아군이 대상을 공격하면 <<8>>마다 <<7>>만큼의 매지카를 회복합니다."
"132143172-0-30980","Increases your healing by <<1>> on allies under |cffffff30|r% Health.","체력이 |cffffff30|r% 미만인 아군에게 주는 치유량이 <<1>> 증가합니다."
"132143172-0-30981","Increases healing with Restoration Staff spells by <<1>>.","치유 스태프 주문의 치유량이 <<1>> 증가합니다."
"198758357-0-40126","Healing Ward","Healing Ward"
"198758357-0-31531","Force Siphon","Force Siphon"
"132143172-0-40079","Share your staff's life-giving energy, healing you or up to |cffffff3|r nearby allies for <<1>> over <<2>>.","스태프가 가진 생명 에너지를 공유해 당신 또는 근처의 아군의 체력을 최대 |cffffff3|r명까지 <<2>>에 걸쳐 <<1>>만큼 회복시킵니다."
"132143172-0-45524","Increases healing with Restoration Staff spells by <<1>>.","치유 스태프 주문의 치유량이 <<1>> 증가합니다."
"198758357-0-83850","Life Giver","Life Giver"
"132143172-0-40116","Focus your staff's power to apply <<1>> to an enemy for <<2>>, healing you and your allies for <<3>> Health every <<4>> when damaging them.\n\nWhen you or an ally is healed by <<1>>, they gain <<5>>, which increases their Movement Speed by |cffffff10|r% for <<6>>.","스태프의 힘에 집중해서 적에게 <<1>> 효과를 가해 <<2>> 동안 당신과 아군이 대상을 공격하면 <<4>>마다 <<3>>만큼의 체력을 회복합니다.\n\n당신이나 아군이 <<1>>로 체력을 회복하면, <<5>> 효과를 얻어 이동 속도가 <<6>>동안 |cffffff10|r%만큼 증가합니다."
"132143172-0-45521","Restores <<1>> Magicka when you block a spell.","주문을 막으면 <<1>>만큼의 매지카를 회복합니다."
"132143172-0-45520","Your fully-charged Heavy Attacks restore <<1>> more Magicka.","완충된 강공격에 성공하면 <<1>>만큼의 매지카를 추가로 회복합니다\n"
"132143172-0-28385","Summon restoring spirits with your staff, healing you and your allies in the target area for <<1>> Health and an additional <<1>> Health every <<2>> for <<3>>.","치유의 영혼을 소환해 당신과 대상 지역 안에 있는 아군의 체력을 <<1>>만큼 회복시키고 추가로 <<3>> 동안 매 <<2>>마다 <<1>>만큼 회복시킵니다."
"132143172-0-40076","Share your staff's life-giving energy, healing you or a nearby ally for <<1>> Health over <<2>>.","스태프가 가진 생명 에너지를 공유해 당신 또는 근처의 아군의 체력을 <<2>>에 걸쳐 <<1>>만큼 회복시킵니다."
"198758357-0-37243","Blessing of Protection","Blessing of Protection"
"198758357-0-40094","Combat Prayer","Combat Prayer"
"132143172-0-30972","Your fully-charged Heavy Attacks restore <<1>> more Magicka.","완충된 강공격에 성공하면 <<1>>만큼의 매지카를 추가로 회복합니다"
"132143172-0-28536","Share your staff's life-giving energy, healing you or a nearby ally for <<1>> Health over <<2>>.","스태프가 가진 생명 에너지를 공유해 당신 또는 근처의 아군의 체력을 <<2>>에 걸쳐 <<1>>만큼 회복시킵니다."
"198758357-0-40130","Ward Ally","Ward Ally"
"132143172-0-30973","You gain Major Mending for <<1>> after completing a fully-charged Heavy Attack, increasing your healing done by <<2>>.\n\nYou also heal yourself or an ally near the target for <<3>>% of the damage inflicted by the final hit of a fully-charged Heavy Attack.","최대로 완충된 강공격에 성공하면 Major Mending 효과를 얻어 <<1>> 동안 주는 치유량이 <<2>>만큼 증가합니다.\n\n또한 최대로 완충된 강공격으로 적을 처치하면 가한 피해량의 <<3>>% 만큼 당신 또는 대상과 가장 가까운 아군의 체력을 회복합니다."
