"Location","Source","Target"
"132143172-0-28448","Launch across the earth and smash an enemy, dealing <<1>>. \n\nThis attack is always a Critical Strike.","지면을 가르며 돌진해 적을 강타하며 <<1>>를 줍니다.\n\n이 공격은 항상 치명타로 적중합니다."
"198758357-0-45430","Heavy Weapons","Heavy Weapons"
"132143172-0-20919","Focus your strength into a mighty swing, dealing <<1>> to enemies in front of you.","전방의 적들에게 강력한 휘둘러베기로 <<1>>를 줍니다."
"198758357-0-29388","Balanced Blade","Balanced Blade"
"198758357-0-29387","Forceful","Forceful"
"198758357-0-83238","Berserker Rage","Berserker Rage"
"198758357-0-29389","Follow Up","Follow Up"
"132143172-0-38778","Launch across the earth and smash an enemy, dealing <<1>>. Deals up to |cffffff50|r% more damage based on the distance traveled.\n\nThis attack is always a Critical Strike.","지면을 가르며 돌진해 적을 강타하며 <<1>>를 줍니다. 이동한 거리에 비례해 최대 |cffffff50|r%까지의 추가 피해를 줍니다.\n\n이 공격은 항상 치명타로 적중합니다."
"198758357-0-28297","Momentum","Momentum"
"132143172-0-38814","Slam an enemy with an upward swing, dealing <<1>> and setting them Off Balance for <<2>>.  \n\nHitting an enemy that is already Off Balance stuns them for <<3>>.\n\nTargets that are immune to Off Balance are snared by <<4>> for <<5>>.","적을 위로 올려 베어 <<1>>를 줍니다. 맞은 적은 <<2>> 동안 Off Balance 효과를 받습니다.\n\n이미 적이 Off Balance효과를 받은 상태라면 <<3>>동안 기절시킵니다.\n\n타겟이 Off Balance에 면역인 상태라면 <<5>>동안 <<4>>만큼 느려지게 만듭니다."
"198758357-0-38788","Stampede","Stampede"
"132143172-0-38819","Spin around and strike an enemy down, dealing <<1>>. Deals up to <<2>>% more damage to enemies with less than <<3>>% Health.","회전하며 적을 공격해 <<1>>를 줍니다. 체력이<<3>>% 이하인 적에게 적이 입은 피해에 비례해 피해량이 최대 <<2>>% 까지 증가합니다."
"198758357-0-38745","Carve","Carve"
"132143172-0-29375","Grants a bonus based on the type of weapon equipped:\n\nSwords increase your damage done by <<1>>.\n\nAxes grant your melee attacks an |cffffff8|r% chance to apply a bleed dealing <<2>> over <<3>>.\n\nMaces cause your attacks to ignore <<4>>% of your target's Physical Resistance.","착용한 무기에 따라 다음의 효과를 얻습니다:\n\n검이 가하는 피해량이 <<1>> 증가합니다.\n\n도끼로 근접 공격을 할 때 |cffffff8|r% 확률로 출혈을 일으켜 <<3>>에 걸쳐 <<2>>를 줍니다.\n\n둔기로 가하는 공격은 표적의 물리 저항력을 <<4>>% 무시합니다."
"198758357-0-38823","Reverse Slice","Reverse Slice"
"198758357-0-45446","Follow Up","Follow Up"
"132143172-0-28279","Slam an enemy with an upward swing, dealing <<1>>.","적을 위로 올려 베어 <<1>>를 줍니다."
"198758357-0-45444","Forceful","Forceful"
"132143172-0-83229","Strike at an enemy with a vicious blow, dealing <<1>> to them and all nearby enemies.\n\nThis attack ignores the target's Resistance and grants you Physical and Spell Penetration for your Direct Damage attacks equal to <<2>> of the amount ignored from the initial target for <<3>>.","주변의 적에게 용감한 일격을 날려 <<1>>를 줍니다.\n\n이 공격은 표적의 저항력을 무시하며, 무시한 양의 <<2>>만큼 직접 공격의 물리 및 마법 관통력이 <<3>> 동안 증가합니다."
"198758357-0-38794","Forward Momentum","Forward Momentum"
"198758357-0-45443","Balanced Blade","Balanced Blade"
"198758357-0-28448","Critical Charge","Critical Charge"
"198758357-0-45448","Battle Rush","Battle Rush"
"132143172-0-38788","Launch across the earth and smash an enemy, dealing <<1>>.  This attack is always a Critical Strike.\n\nAfter reaching your target, you sunder the ground beneath you, dealing <<2>> to all enemies in the area every <<3>> for <<4>>.","지면을 가르며 돌진해 적을 강타하며 <<1>>를 줍니다. 이 공격은 항상 치명타로 적중합니다.\n\n대상에게 돌진하는동안 갈라진 지면에 있는 적들은 <<4>>동안 매 <<3>> 마다 <<2>> 피해를 입습니다."
"132143172-0-38745","Focus your strength into a mighty swing, dealing <<1>> to enemies in front of you, and causing them to bleed for an additional <<2>> over <<3>>.","전방의 적들에게 강력한 휘둘러베기로 <<1>>를 주고 출혈시켜 추가로 <<3>>에 걸쳐 <<2>>를 줍니다."
