"Location","Source","Target"
"132143172-0-139911","Further increases the amount of time you have available when excavating a dig site.","Further increases the amount of time you have available when excavating a dig site."
"198758357-0-139910","Excavator's Reserves","Excavator's Reserves"
"198758357-0-139911","Excavator's Reserves","Excavator's Reserves"
"198758357-0-140093","Trowel","Trowel"
"132143172-0-140093","Removes |cFFFFFF3|r layers of dirt or rock from a |cFFFFFF1x1|r area.\n\nCosts |c19D3FF2 Intuition|r to use.\n|cFFFFFFCan safely trigger Fissures to create explosive chain reactions.|r","Removes |cFFFFFF3|r layers of dirt or rock from a |cFFFFFF1x1|r area.\n\nCosts |c19D3FF2 Intuition|r to use.\n|cFFFFFFCan safely trigger Fissures to create explosive chain reactions.|r"
"198758357-0-140173","Keen Eye: Dig Sites","Keen Eye: Dig Sites"
"132143172-0-140174","Antiquity Dig Sites will be easier to see when you are <<1>> or closer.","Antiquity Dig Sites will be easier to see when you are <<1>> or closer."
"132143172-0-140173","Antiquity Dig Sites will be easier to see when you are <<1>> or closer.","Antiquity Dig Sites will be easier to see when you are <<1>> or closer."
"132143172-0-139943","Removes |cFFFFFF3|r layers of dirt or rock from a |cFFFFFF1x1|r area.\n\nCosts |c19D3FF2 Intuition|r to use.","Removes |cFFFFFF3|r layers of dirt or rock from a |cFFFFFF1x1|r area.\n\nCosts |c19D3FF2 Intuition|r to use."
"198758357-0-139943","Trowel","Trowel"
"198758357-0-139905","Augur","Augur"
"132143172-0-139905","Indicates how near the Antiquity is to the selected location. \n\nCan only be used a limited number of times, based on the Antiquity's Difficulty.\n\nWorks on |cFFFFFFthe lowest six layers|r of dirt and rocks. Cannot detect Bonus Loot.\n\n|cFFFFFFUsing Augur does not consume a turn.|r","Indicates how near the Antiquity is to the selected location. \n\nCan only be used a limited number of times, based on the Antiquity's Difficulty.\n\nWorks on |cFFFFFFthe lowest six layers|r of dirt and rocks. Cannot detect Bonus Loot.\n\n|cFFFFFFUsing Augur does not consume a turn.|r"
"132143172-0-139904","Indicates how near the Antiquity is to the selected location. \n\nCan only be used a limited number of times, based on the Antiquity's Difficulty.\n\nOnly works on |cFFFFFFthe lowest three layers|r of dirt and rocks. Cannot detect Bonus Loot.\n\n|cFFFFFFUsing Augur does not consume a turn.|r","Indicates how near the Antiquity is to the selected location. \n\nCan only be used a limited number of times, based on the Antiquity's Difficulty.\n\nOnly works on |cFFFFFFthe lowest three layers|r of dirt and rocks. Cannot detect Bonus Loot.\n\n|cFFFFFFUsing Augur does not consume a turn.|r"
"198758357-0-139906","Heavy Shovel","Heavy Shovel"
"132143172-0-139907","Removes |cFFFFFF1|r layer of dirt and rocks from up to a |cFFFFFF3x3|r area.\n\nThe shovel only affects a single contiguous height of dirt and rocks.\n\nCosts |c19D3FF2 Intuition|r to use.\n|cFFFFFFHas a chance to consume no Intuition on use.|r","Removes |cFFFFFF1|r layer of dirt and rocks from up to a |cFFFFFF3x3|r area.\n\nThe shovel only affects a single contiguous height of dirt and rocks.\n\nCosts |c19D3FF2 Intuition|r to use.\n|cFFFFFFHas a chance to consume no Intuition on use.|r"
"198758357-0-139904","Augur","Augur"
"132143172-0-139906","Removes |cFFFFFF1|r layer of dirt and rocks from up to a |cFFFFFF3x3|r area.\n\nThe shovel only affects a single contiguous height of dirt and rocks.\n\nCosts |c19D3FF2 Intuition|r to use.","Removes |cFFFFFF1|r layer of dirt and rocks from up to a |cFFFFFF3x3|r area.\n\nThe shovel only affects a single contiguous height of dirt and rocks.\n\nCosts |c19D3FF2 Intuition|r to use."
"198758357-0-139909","Hand Brush","Hand Brush"
"132143172-0-139909","Removes |cFFFFFF1|r layer of soil or rock from a |cFFFFFF1x1|r area.\n\nGenerates: |c19D3FF1 Intuition|r\nMaximum Intuition: |cFFFFFF4|r.","Removes |cFFFFFF1|r layer of soil or rock from a |cFFFFFF1x1|r area.\n\nGenerates: |c19D3FF1 Intuition|r\nMaximum Intuition: |cFFFFFF4|r."
"132143172-0-139908","Removes |cFFFFFF1|r layer of soil or rock from a |cFFFFFF1x1|r area.\n\nGenerates: |c19D3FF1 Intuition|r\nMaximum Intuition: |cFFFFFF2|r.","Removes |cFFFFFF1|r layer of soil or rock from a |cFFFFFF1x1|r area.\n\nGenerates: |c19D3FF1 Intuition|r\nMaximum Intuition: |cFFFFFF2|r."
"198758357-0-139907","Heavy Shovel","Heavy Shovel"
"198758357-0-139908","Hand Brush","Hand Brush"
"198758357-0-140174","Keen Eye: Dig Sites","Keen Eye: Dig Sites"
"198758357-0-139772","Keen Eye: Treasure Chests","Keen Eye: Treasure Chests"
"132143172-0-139772","Treasure Chests will be easier to see when you are <<1>> or closer.","Treasure Chests will be easier to see when you are <<1>> or closer."
"132143172-0-139771","Treasure Chests will be easier to see when you are <<1>> or closer.","Treasure Chests will be easier to see when you are <<1>> or closer."
"198758357-0-139771","Keen Eye: Treasure Chests","Keen Eye: Treasure Chests"
"132143172-0-139910","Increases the amount of time you have available when excavating a dig site.","Increases the amount of time you have available when excavating a dig site."
