"Location","Source","Target"
"132143172-0-63803","Increases your chance of successfully Pickpocketing by <<1>>.","소매치기의 성공 확률이 <<1>>만큼 증가합니다."
"132143172-0-63804","Increases your chance of successfully Pickpocketing by <<1>>.","소매치기의 성공 확률이 <<1>>만큼 증가합니다."
"132143172-0-63805","Increases your chances of successfully Pickpocketing by <<1>>","소매치기의 성공 확률이 <<1>>만큼 증가합니다."
"132143172-0-63806","Increases your chances of successfully Pickpocketing by <<1>>","소매치기의 성공 확률이 <<1>>만큼 증가합니다."
"198758357-0-63802","Improved Hiding","Improved Hiding"
"132143172-0-63807","Increases the number of fence interactions you can use each day by <<1>>.","하루에 장물아비를 이용할 수 있는 횟수가 <<1>>만큼 증가합니다."
"198758357-0-63803","Light Fingers","Light Fingers"
"132143172-0-63808","Increases the number of fence interactions you can use each day by <<1>>.","하루에 장물아비를 이용할 수 있는 횟수가 <<1>>만큼 증가합니다."
"198758357-0-63800","Improved Hiding","Improved Hiding"
"132143172-0-63809","Increases the number of fence interactions you can use each day by <<1>>.","하루에 장물아비를 이용할 수 있는 횟수가 <<1>>만큼 증가합니다."
"198758357-0-63801","Improved Hiding","Improved Hiding"
"198758357-0-63817","Kickback","Kickback"
"198758357-0-63818","Kickback","Kickback"
"198758357-0-63815","Kickback","Kickback"
"198758357-0-63816","Kickback","Kickback"
"132143172-0-63799","Reduces the cost of Sneak by <<1>>.","은신 상태에서 이동시 스태미나 소모량이 <<1>> 감소합니다."
"132143172-0-63810","Increases the number of fence interactions you can use each day by <<1>>.","하루에 장물아비를 이용할 수 있는 횟수가 <<1>>만큼 증가합니다."
"132143172-0-63811","Improves your chances of forcing locks by <<1>>.","자물쇠를 강제로 따는 확률이 <<1>>만큼 증가합니다."
"132143172-0-63812","Improves your chances of forcing locks by <<1>>.","자물쇠를 강제로 따는 확률이 <<1>>만큼 증가합니다."
"132143172-0-63813","Improves your chances of forcing locks by <<1>>.","자물쇠를 강제로 따는 확률이 <<1>>만큼 증가합니다."
"132143172-0-63814","Improves your chances of forcing locks by <<1>>.","자물쇠를 강제로 따는 확률이 <<1>>만큼 증가합니다."
"198758357-0-63799","Improved Hiding","Improved Hiding"
"198758357-0-63810","Trafficker","Trafficker"
"132143172-0-63815","Reduces bounties you willingly pay to guards and fences by <<1>>.","경비병과 장물아비에게 지급하는 현상금이 <<1>>만큼 감소합니다."
"132143172-0-63816","Reduces bounties you willingly pay to guards and fences by <<1>>.","경비병과 장물아비에게 지급하는 현상금이 <<1>>만큼 감소합니다."
"132143172-0-63817","Reduces bounties you willingly pay to guards and fences by <<1>>.","경비병과 장물아비에게 지급하는 현상금이 <<1>>만큼 감소합니다."
"198758357-0-63813","Locksmith","Locksmith"
"132143172-0-63818","Reduces bounties you willingly pay to guards and fences by <<1>>.","경비병과 장물아비에게 지급하는 현상금이 <<1>>만큼 감소합니다."
"198758357-0-63814","Locksmith","Locksmith"
"198758357-0-63811","Locksmith","Locksmith"
"198758357-0-63812","Locksmith","Locksmith"
"198758357-0-63806","Light Fingers","Light Fingers"
"198758357-0-63807","Trafficker","Trafficker"
"198758357-0-63804","Light Fingers","Light Fingers"
"198758357-0-63805","Light Fingers","Light Fingers"
"132143172-0-63800","Reduces the cost of Sneak by <<1>>.","은신 상태에서 이동시 스태미나 소모량이 <<1>> 감소합니다."
"132143172-0-63801","Reduces the cost of Sneak by <<1>>.","은신 상태에서 이동시 스태미나 소모량이 <<1>> 감소합니다."
"198758357-0-63808","Trafficker","Trafficker"
"132143172-0-63802","Reduces the cost of Sneak by <<1>>.","은신 상태에서 이동시 스태미나 소모량이 <<1>> 감소합니다."
"198758357-0-63809","Trafficker","Trafficker"
