"Location","Source","Target"
"132143172-0-45590","Allows you to revive once every |cffffff1|r hour without spending a Soul Gem.","|cffffff1|r시간에 한 번은 소울젬을 소모하지 않고 부활할 수 있게 합니다."
"198758357-0-39263","Soul Lock","Soul Lock"
"198758357-0-40420","Soul Assault","Soul Assault"
"132143172-0-45580","Killing an enemy with a Weapon ability has a |cffffff10|r% chance of automatically filling an empty Soul Gem.","무기 어빌리티로 적을 처치하면, |cffffff10|r%의 확률로 빈 소울젬을 자동으로 채웁니다."
"132143172-0-26768","Lay claim to an enemy's soul, dealing <<1>>  or <<2>> over <<3>>.  The damage dealt is based on your highest offensive stats.\n\nFills an empty Soul Gem if an affected enemy dies.","적의 영혼 포획을 시도해, 대상과 대상 주위의 적 한 명에게 <<2>>에 걸쳐 총 <<1>>를 입힙니다.\n\n영향을 받은 적이 죽으면 빈 소울젬을 채웁니다."
"198758357-0-39266","Soul Shatter","Soul Shatter"
"132143172-0-39270","Burn an enemy from the inside with soulfire, dealing <<1>> over <<2>>.\n\nWhile channeling this ability, you gain immunity to all disabling effects.\n\nEnemies affected by this ability are revealed for <<3>> and may not enter stealth or invisibility.","적 안의 영혼을 불태워, <<2>>에 걸쳐 <<1>>를 입힙니다.\n\n이 어빌리티를 시전하는 동안, 모든 방해효과로부터 면역이 됩니다.\n\n이 어빌리티의 효과를 받은 적은 <<3>> 동안 드러나고, 은신할 수 없게 됩니다."
"198758357-0-45583","Soul Shatter","Soul Shatter"
"198758357-0-40414","Shatter Soul","Shatter Soul"
"198758357-0-40328","Soul Splitting Trap","Soul Splitting Trap"
"198758357-0-40317","Consuming Trap","Consuming Trap"
"132143172-0-39263","Killing an enemy with a Weapon ability has a |cffffff5|r% chance of automatically filling an empty Soul Gem.","무기 어빌리티로 적을 처치하면, |cffffff5|r%의 확률로 빈 소울젬을 자동으로 채웁니다."
"198758357-0-39270","Soul Strike","Soul Strike"
"198758357-0-26768","Soul Trap","Soul Trap"
"132143172-0-39266","When your Health drops below |cffffff20|r% your soul explodes, dealing <<1>> to enemies within |cffffff8|r meters of you.\n\nThis effect can occur once every <<2>>.","체력이 |cffffff20|r% 이하로 내려가면, 영혼이 폭발하여,  당신으로부터 |cffffff8|r 미터 이내의  모든 적에게 <<1>>를 입힙니다.\n\n이 효과는 <<2>>에 한 번만 발동합니다"
"132143172-0-39269","Allows you to revive once every |cffffff2|r hours without spending a Soul Gem.","|cffffff2|r시간에 한 번은 소울젬을 소모하지 않고 부활할 수 있게 합니다."
"132143172-0-40420","Burn an enemy from the inside with soulfire, dealing <<1>> over <<2>>.\n\nWhile channeling this ability, you gain immunity to all disabling effects.\n\nEnemies affected by this ability are revealed for <<3>> and may not enter stealth or invisibility.","적 안의 영혼을 불태워, <<2>>에 걸쳐 <<1>>를 입힙니다.\n\n이 어빌리티를 시전하는 동안, 모든 방해효과로부터 면역이 됩니다.\n\n이 어빌리티의 효과를 받은 적은 <<3>> 동안 드러나고, 은신할 수 없게 됩니다."
"132143172-0-40328","Lay claim to enemy souls, dealing <<1>>  or <<2>> to the target and any other nearby enemies over <<3>>.  The damage dealt is based on your highest offensive stats.\n\nFills an empty Soul Gem if an affected enemy dies.","적의 영혼 포획을 시도해, 대상과 대상 주위의 적에게 <<3>>에 걸쳐 <<1>>혹은 <<2>>를 입힙니다. 피해는 주 스텟에 의해 결정됩니다.\n\n영향을 받은 적이 죽으면 빈 소울젬을 채웁니다."
"132143172-0-40317","Lay claim to an enemy's soul, dealing <<1>>  or <<2>> over <<3>>.  The damage dealt is based on your highest offensive stats.\n\nIf an affected enemy dies, you fill an empty Soul Gem and heal for <<4>>.  You also restore <<5>> Magicka and <<6>> Stamina.  This portion of the ability scales off your Max Health, Magicka, and Stamina.","적의 영혼 포획을 시도해, 대상과 대상 주위의 적에게 <<3>>에 걸쳐 <<1>>혹은 <<2>>를 입힙니다. 피해는 주 스텟에 의해 결정됩니다.\n\n영향을 받은 적이 죽으면 빈 소울젬을 채우고 <<4>>체력을 회복하고 추가로 <<5>> 매지카와 <<6>> 스테미나를 회복합니다. 이 기술의 수치는 당신의 최대 체력, 매지카, 스테미나에 비례해 조정됩니다."
"132143172-0-40414","Burn an enemy from the inside with soulfire, dealing <<1>> over <<2>>.  Upon completion, the soulfire overflows and explodes from the enemy, dealing <<3>> to all enemies near them.\n\nWhile channeling this ability, you gain immunity to all disabling effects.\n\nEnemies affected by this ability are revealed for <<4>> and may not enter stealth or invisibility.","적 안의 영혼을 불태워, <<2>>에 걸쳐 <<1>>를 입힙니다. 효과가 끝날 때 영혼불이 넘처흘러 주변의 적에게 <<3>> 피해를 줍니다.\n\n이 어빌리티를 시전하는 동안, 모든 방해효과로부터 면역이 됩니다.\n\n이 어빌리티의 효과를 받은 적은 <<4>> 동안 드러나고, 은신할 수 없게 됩니다. "
"198758357-0-45580","Soul Lock","Soul Lock"
"198758357-0-39269","Soul Summons","Soul Summons"
"198758357-0-45590","Soul Summons","Soul Summons"
"132143172-0-45583","When your Health drops below |cffffff20|r% your soul explodes, dealing <<1>> to enemies within |cffffff8|r meters of you.\n\nThis effect can occur once every <<2>>.","체력이 |cffffff20|r% 이하로 내려가면, 영혼이 폭발하여,  당신으로부터 |cffffff8|r 미터 이내의  모든 적에게 <<1>>를 입힙니다.\n\n이 효과는 <<2>>에 한 번만 발동합니다"
