"Location","Source","Target"
"198758357-0-33090","Undeath","Undeath"
"198758357-0-33091","Blood Ritual","Blood Ritual"
"198758357-0-132141","Blood Frenzy","Blood Frenzy"
"132143172-0-134583","Siphon away your enemies' vitality, dealing <<1>> and healing you for |cffffff23|r% of your missing Health every <<2>> for <<3>>.","Siphon away your enemies' vitality, dealing <<1>> and healing you for |cffffff23|r% of your missing Health every <<2>> for <<3>>."
"198758357-0-33093","Undeath","Undeath"
"198758357-0-33095","Dark Stalker","Dark Stalker"
"198758357-0-135218","Unnatural Movement","Unnatural Movement"
"132143172-0-32624","Transform into a monstrous creature of the night, instantly healing to full Health.\n\nWhile transformed, your Max Health, Magicka, and Stamina is increased by <<1>>,  you heal for <<2>> of all damage you deal, and you can see enemies through walls.","밤의 흉측한 괴물로 변신하여, 즉시 체력을 최대로 회복합니다.\n\n변신중에는 최대 체력, 매지카, 스테미나가 <<1>> 증가하고, 매 공격마다 <<2>> 체력을 회복하며, 벽을 투시하여 적을 볼 수 있습니다."
"198758357-0-33096","Strike from the Shadows","Strike from the Shadows"
"132143172-0-32986","Dissolve into a dark mist, reducing your damage taken by <<1>> for as long as you maintain the channel.\n\nEntering this form removes and grants immunity to all disabling and immobilization effects, but you cannot be healed and your Magicka Recovery is disabled.","어두운 안개로 녹아들어서 기술을 유지하는동안 받는 피해를 <<1>> 감소시킵니다. \n\n이 형상으로 변할 때 모든 군중 제어 효과에 면역이되지만, 매지카 재생 및 체력 회복을 할 수 없습니다."
"198758357-0-38949","Blood for Blood","Blood for Blood"
"132143172-0-38931","Transform into a monstrous creature of the night, instantly healing to full Health.\n\nWhile transformed, your Max Health, Magicka, and Stamina is increased by <<1>>, you heal for <<2>> of all damage you deal, and you can see enemies through walls. \n\nYou also ascend to Vampire Stage 5, which grants all the benefits of Vampire Stage 4 with none of the drawbacks.","밤의 흉측한 괴물로 변신하여, 즉시 체력을 최대로 회복합니다.\n\n변신중에는 최대 체력, 매지카, 스테미나가 <<1>> 증가하고, 매 공격마다 <<2>> 체력을 회복하며, 벽을 투시하여 적을 볼 수 있습니다.\n\n뱀파이어 스테이지가 즉시 5단계로 상승하여, 뱀파이어 스테이지 4단계의 모든 효과를 패널티 없이 사용 할 수 있습니다."
"132143172-0-38932","Transform into a monstrous creature of the night, instantly healing to full Health.\n\nWhile transformed, your Max Health, Magicka, and Stamina is increased by <<1>>, you heal for <<2>> of all damage you deal, and you can see enemies through walls. \n\nBats also swarm around you and shred enemies that come close, dealing <<3>> every <<4>>.","밤의 흉측한 괴물로 변신하여, 즉시 체력을 최대로 회복합니다.\n\n변신중에는 최대 체력, 매지카, 스테미나가 <<1>> 증가하고, 매 공격마다 <<2>> 체력을 회복하며, 벽을 투시하여 적을 볼 수 있습니다.\n\n박쥐떼가 당신 주변을 맴돌며 가까이 오는 적을 조각내서, 매 <<4>> 마다 <<3>> 피해를 줍니다."
"198758357-0-138097","Stupefy","Stupefy"
"198758357-0-46041","Dark Stalker","Dark Stalker"
"132143172-0-137861","Subdue enemies around you with your baleful gaze, stunning them for <<1>> if they are facing your direction.\n\nThis stun cannot be blocked.","Subdue enemies around you with your baleful gaze, stunning them for <<1>> if they are facing your direction.\n\nThis stun cannot be blocked."
"198758357-0-46040","Strike from the Shadows","Strike from the Shadows"
"132143172-0-46041","Ignore the Movement Speed penalty of Sneak.\n\nDecreases the time it takes to enter Sneak by <<1>>.","은신의 이동 속도 패널티를 무시합니다.\n\n은신에 걸리는 시간이 <<1>> 만큼 감소합니다."
"198758357-0-135841","Sated Fury","Sated Fury"
"132143172-0-46040","When you leave Sneak, invisibility, or Mist Form your Weapon and Spell Damage is increased by <<1>> for <<2>>.","은신, 투명화 혹은 안개화에서 벗어날 때, <<2>> 동안 무기와 마법 피해가 <<1>> 만큼 증가합니다."
"198758357-0-42054","Feed","Feed"
"132143172-0-32893","Rend an enemy, dealing <<1>>.\n\nDeals up to <<2>>% more damage based on your missing Health.","적을 찢어발겨 <<1>> 피해를 줍니다.\n\n당신이 잃어버린 체력에 비례해 최대 <<2>>%까지 추가 피해를 줍니다."
"132143172-0-135905","Siphon away your enemies' vitality, dealing <<1>>, healing you for |cffffff23|r% of your missing Health, and restoring |cffffff5|r% of your missing Stamina every <<2>> for <<3>>.","Siphon away your enemies' vitality, dealing <<1>>, healing you for |cffffff23|r% of your missing Health, and restoring |cffffff5|r% of your missing Stamina every <<2>> for <<3>>."
"132143172-0-128709","Subdue enemies in front of you with your baleful gaze, stunning them for <<1>> if they are facing your direction.\n\nThis stun cannot be blocked.","Subdue enemies in front of you with your baleful gaze, stunning them for <<1>> if they are facing your direction.\n\nThis stun cannot be blocked."
"198758357-0-134160","Simmering Frenzy","Simmering Frenzy"
"132143172-0-132844","Reduces the cost of Sprint by <<1>>.\n\nIf you continuously Sprint for |cffffff6|r seconds you automatically become invisible.","Reduces the cost of Sprint by <<1>>.\n\nIf you continuously Sprint for |cffffff6|r seconds you automatically become invisible."
"132143172-0-38949","Rend an enemy, dealing <<1>>.\n\nDeals up to <<2>>% more damage based on your missing Health.","적을 찢어발겨 <<1>> 피해를 줍니다.\n\n당신이 잃어버린 체력에 비례해 최대 <<2>>%까지 추가 피해를 줍니다."
"198758357-0-32893","Eviscerate","Eviscerate"
