"Location","Source","Target"
"198758357-0-39076","Werewolf Berserker","Werewolf Berserker"
"198758357-0-39075","Pack Leader","Pack Leader"
"198758357-0-39114","Deafening Roar","Deafening Roar"
"198758357-0-39113","Ferocious Roar","Ferocious Roar"
"132143172-0-58855","Shred enemies in front of you with your tainted claws, dealing <<1>> and an additional <<2>> over <<3>>.\n\nEnemies hit by the initial hit are afflicted with the Diseased status effect.","부패한 발톱으로 전방에 있는 적들의 살을 찢습니다. <<1>>를 입히고, 추가로 <<3>>에 걸쳐 총 <<2>>를 입힙니다.\n\n처음 피해를 입은 적들은 질병 상태이상에 걸립니다."
"198758357-0-58317","Hircine's Rage","Hircine's Rage"
"132143172-0-39104","Pounce on an enemy with primal fury, dealing <<1>>. \n\nActivating the ability again within the next <<2>> causes you to cast <<3>>.\n\n<<3>> causes the enemy to bleed for <<4>> over <<5>> and deals up to <<6>>% more damage to enemies under <<7>>% Health.   \n\nDealing damage with either attack restores <<8>> Stamina and extends your <<9>> by <<10>>.","극도로 분노한 상태로 적에게 뛰어들어, 대상과 주변에 <<1>> 피해를 줍니다.\n\n이 기술을 <<2>> 이내에 재 사용하면 <<3>>을 얻습니다.\n\n<<3>>은 적에게 <<5>> 에 걸쳐 <<4>> 출혈을 일으키며, 체력이 <<7>>% 이하인 적에게는 최대 <<6>>%까지 추가 피해를 줍니다.  \n\n동일한 공격으로 피해를 줄 경우 <<8>> 스테미나를 회복하며 당신의 <<9>>를 <<10>>만큼 증가시킵니다."
"132143172-0-39105","Pounce on an enemy with primal fury, dealing <<1>> to them and to other nearby enemies.\n\nActivating the ability again within the next <<2>> causes you to cast <<3>>.\n\n<<3>> causes the enemies to bleed for <<4>> over <<5>> and deals up to <<6>>% more damage to enemies under <<7>>% Health.   Increases your Weapon Damage by <<8>> for each enemy hit, up to a maximum of |cffffff6|r times.","극도로 분노한 상태로 적에게 뛰어들어, 대상과 주변에 <<1>> 피해를 줍니다.\n\n이 기술을 <<2>> 이내에 재 사용하면 <<3>>을 얻습니다.\n\n<<3>>은 적에게 <<5>> 에 걸쳐 <<4>> 출혈을 일으키며, 체력이 <<7>>% 이하인 적에게는 최대 <<6>>%까지 추가 피해를 줍니다.  \n적에게 스킬이 적중하면, 적중한 적 한명 당 무기 피해량이 <<8>> 증가하며 최대 |cffffff6|r 회 중첩됩니다."
"198758357-0-58798","Howl of Agony","Howl of Agony"
"198758357-0-58310","Hircine's Bounty","Hircine's Bounty"
"198758357-0-32641","Call of the Pack","Call of the Pack"
"198758357-0-58879","Claws of Life","Claws of Life"
"198758357-0-46139","Savage Strength","Savage Strength"
"198758357-0-46137","Call of the Pack","Call of the Pack"
"198758357-0-46135","Blood Rage","Blood Rage"
"132143172-0-58742","Crush enemy with a deafening howl, dealing <<1>>.\n\nEnemies who are facing you take <<2>> more damage from this attack.\n\nAllies targeting the enemy can activate the |cffffffFeeding Frenzy|r synergy, which grants them unlimited uses of Empower for <<3>>, increasing their damage done with Light Attacks by <<4>>.","우렁찬 울음 소리로, 대상에게 <<1>>를 입힙니다.\n\n마주보고 있는 적에게는 <<2>>만큼의 추가 피해를 입힙니다.\n\n대상을 표적으로 삼는 아군은 |cffffffFeeding Frenzy|r  연계 효과를 발동시킬 수 있습니다. 발동 시 <<3>> 동안 해당 아군의 약공격 피해량이 <<4>>만큼 증가합니다.\n"
"132143172-0-58864","Shred enemies in front of you with your tainted claws, dealing <<1>> and an additional <<2>> over <<3>>.\n\nAfflicts enemies with <<4>> for <<5>>, reducing their healing received by <<6>> and Health Recovery by <<7>>.  \n\nEnemies hit by the initial hit are afflicted with the Diseased status effect.","부패한 발톱으로 전방에 있는 적들의 살을 찢습니다. <<1>>를 입히고, 추가로 <<3>>에 걸쳐 총 <<2>>를 입힙니다.\n\n피해를 입은 적에게 <<5>> 동안 <<4>> 효과를 가해, 받는 치유량을 <<6>>만큼 감소시키고 체력 회복량을 <<7>>만큼 감소시킵니다.\n\n처음 피해를 입은 적들은 질병 상태이상에 걸립니다."
"132143172-0-32455","Transform into a beast, fearing nearby enemies for <<1>>.  \n\nWhile Transformed your Max Stamina is increased by <<2>>.\n\nWhile slotted, your Stamina Recovery is increased by <<3>>.","야수로 변신하여, 주변의 적을 <<1>> 동안 공포에 질리게 합니다. \n\n변신한 상태에서는, 최대 스태미나가 <<2>> 만큼 증가합니다.\n\n슬롯에 장착 시 스태미나 재생이 <<3>> 만큼 증가합니다."
"132143172-0-39075","Transform into a beast, fearing nearby enemies for <<1>>. \n\nWhile transformed your Max Stamina is increased by <<2>>, you take <<3>> less damage, and you summon two direwolves.  You also grant yourself and nearby allies <<4>>, increasing their Weapon and Spell Damage by <<5>>.\n\nWhile slotted, your Stamina Recovery is increased by <<6>>.","야수로 변신하여, 주변의 적을 <<1>>동안 공포에 질리게 합니다.\n\n변신상태에서는 최대 스테미나가 <<2>> 증가하고, 받는 피해량이 <<3>> 감소하며, 두마리의 다이어 울프를 소환합니다. 당신 자신과 주변의 아군이 <<4>>를 어더, 무기 및 주문 피해량이 <<5>> 증가합니다.\n\n스킬 창에 장착하는 동안, 스테미나 재생량이 <<6>> 증가합니다."
"132143172-0-39076","Transform into a beast, fearing nearby enemies for <<1>>. \n\nWhile transformed, your Light Attacks apply a bleed for <<2>> over <<3>>, your Heavy Attacks deal |cffffff50|r% splash damage, and your Max Stamina is increased by <<4>>.\n\nWhile slotted, your Stamina Recovery is increased by <<5>>.","야수로 변신하여, 주변의 적을 <<1>> 동안 공포에 질리게 합니다. \n\n변신한 상태에서는, 약공격이 적에게 출혈을 일으켜 <<3>>에 걸쳐 <<2>>를 입히고, 강공격이 |cffffff50|r% 범위 위 공격 효과를 가지며 최대 스태미나가 <<4>> 만큼 증가합니다.\n\n슬롯에 장착 시 스태미나 재생이 <<5>>만큼 증가합니다."
"132143172-0-39113","Roar with bloodlust to terrify up to |cffffff6|r nearby enemies, fearing them for <<1>> and setting them Off Balance for <<2>>.\n\nYour Heavy Attacks also are <<3>> faster for <<4>> after casting.\n\nWhile slotted you gain <<5>>, increasing your Weapon Critical rating by <<6>>.","피를 갈망하는 외침으로 주변에 있는 최대 |cffffff6|r명의 적을 겁에 질리게 합니다. 영향을 받은 적은 <<1>> 동안 공포에 질리고, <<2>>동안 Off Balance효과를 받습니다.\n\n시전 후에 당신의 강공격이 <<4>>동안 <<3>> 만큼 빨라집니다.\n\n스킬 창에 장착 하는 동안 <<5>>를 얻어, 무기 치명타 발생률이 <<6>> 증가합니다."
"132143172-0-39114","Roar with bloodlust to terrify up to |cffffff6|r nearby enemies, fearing them for <<1>> and setting them Off Balance for <<2>>.\n\nYour roar also leaves enemies dazed, applying <<3>> and <<4>>, reducing their Physical Resistance by <<5>> and damage done by <<6>> for <<7>>.\n\nWhile slotted you gain <<8>>, increasing your Weapon Critical rating by <<9>>.","피를 갈망하는 외침으로 주변에 있는 최대 |cffffff6|r명의 적을 겁에 질리게 합니다. 영향을 받은 적은 <<1>> 동안 공포에 질리고, <<2>>동안 Off Balance효과를 받습니다.\n\n당신의 외침은 적을 혼란스럽게 만들어,  <<4>>동안 <<3>>을 적용시키고 그들의 물리 저항력을 <<5>> 감소 시키고 주는 피해량을 <<7>>동안 <<6>> 감소시킵니다.\n\n스킬 창에 장착 하는 동안  <<8>>을 얻어, 무기 치명타 발생률이 <<9>> 증가합니다."
"198758357-0-58864","Claws of Anguish","Claws of Anguish"
"198758357-0-58742","Howl of Despair","Howl of Despair"
"198758357-0-32455","Werewolf Transformation","Werewolf Transformation"
"132143172-0-58317","Invoke the Huntsman's blessing, healing you for <<1>> Health.  This portion of the ability scales off your Max Health. \n\nIf you are at full Health you instead restore <<2>> Stamina and gain <<3>>, increasing your damage done by <<4>> for <<5>>, but you also take <<6>> more damage.  \n\nWhile slotted you gain <<7>>, increasing your Weapon Damage by <<8>>.","사냥꾼의 축복을 받아 체력을 <<1>> 회복합니다. 회복 수치는 최대 체력에 비례합니다.\n\n체력이 최대치 일 경우 <<2>> 스테미나를 회복하고 <<3>>을 얻어, <<5>>동안  주는 피해량이 <<4>> 증가합니다. 하지만 받는 피해량도 <<6>> 증가합니다.\n\n스킬 창에 장착 하는 동안  <<7>>을 얻어 무기 피해가 <<8>> 증가합니다."
"132143172-0-58879","Shred enemies in front of you with your tainted claws, dealing <<1>> and an additional <<2>> over <<3>>.  You are healed for <<4>> of the damage over time caused.\n\nEnemies hit by the initial hit are afflicted with the Diseased status effect.","부패한 발톱으로 전방에 있는 적들의 살을 찢습니다. <<1>>를 입히고, 추가로 <<3>>에 걸쳐 총 <<2>>를 입힙니다.\n입힌 질병 피해의 <<4>>만큼 자신의 체력을 회복합니다.\n\n처음 피해를 입은 적들은 질병 상태이상에 걸립니다."
"132143172-0-58798","Crush enemy with a deafening howl, dealing <<1>>.\n\nEnemies who are feared or facing you take <<2>> more damage from this attack.","우렁찬 울음 소리로, 대상에게 <<1>>를 입힙니다.\n\n공포에 질리거나 마주보고 있는 적에게는 <<2>>만큼의 추가 피해를 입힙니다."
"132143172-0-32641","Reduces the cost of remaining in your Werewolf Transformation by |cffffff10|r% for each transformed werewolf or direwolf in your group, including yourself, up to a maximum of |cffffff40|r%.","자신을 포함해, 그룹에 있는 변신한 늑대인간 한 명당, 남아 있는 늑대인간 변신의 소모량이 |cffffff10|r%만큼 감소합니다. 최대 |cffffff40|r%까지 감소합니다."
"132143172-0-58310","Invoke the Huntsman's blessing, healing you for <<1>> Health.  This ability scales off your Max Health.  If you are at full Health you instead restore <<2>> Stamina.\n\nWhile slotted you gain <<3>>, increasing your Weapon Damage by <<4>>.","사냥꾼의 축복을 받아 체력을 <<1>> 회복합니다. 회복 수치는 최대 체력에 비례합니다.\n체력이 최대치 일 경우 <<2>> 스테미나를 회복합니다.\n\n스킬 창에 장착 하는 동안  <<7>>을 얻어 무기 피해가 <<8>> 증가합니다."
"198758357-0-58855","Infectious Claws","Infectious Claws"
"132143172-0-46137","Reduces the cost of remaining in your Werewolf Transformation by |cffffff20|r% for each transformed werewolf or direwolf in your group, including yourself, up to a maximum of |cffffff80|r%.","자신을 포함해, 그룹에 있는 변신한 늑대인간 한 명당, 남아 있는 늑대인간 변신의 소모량이 |cffffff20|r%만큼 감소합니다. 최대 |cffffff80|r%까지 감소합니다."
"198758357-0-46142","Pursuit","Pursuit"
