"Location","Source","Target"
"139139780-0-2672","This small guar-leather pouch contains a pinch of Faryon's cremated remains.","This small guar-leather pouch contains a pinch of Faryon's cremated remains."
"139139780-0-2671","This small guar-leather pouch contains a pinch of Nerathren's cremated remains.","This small guar-leather pouch contains a pinch of Nerathren's cremated remains."
"139139780-0-2675","Use this pickaxe to destroy the support beams bracing the Ashlanders' tunnel.","Use this pickaxe to destroy the support beams bracing the Ashlanders' tunnel."
"139139780-0-3998","This crystal seems to absorb heat from anywhere around it.","이 수정체는 주변에서 열을 흡수하는 것 같습니다."
"139139780-0-3999","This small, metal skull is surprisingly heavy. It's cold to the touch, and gives off a chill aura.","This small, metal skull is surprisingly heavy. It's cold to the touch, and gives off a chill aura."
"139139780-0-2668","This key belonged to an ill-fated Argonian merchant.","This key belonged to an ill-fated Argonian merchant."
"139139780-0-2683","This mixture contains the blood sacs and venom of creatures from Xal Ithix's bog. They've been mixed with herbs and other simples.","This mixture contains the blood sacs and venom of creatures from Xal Ithix's bog. They've been mixed with herbs and other simples."
"139139780-0-2682","Use this artifact in the presence of Ziddak's Ashlanders. An Ashlander wise woman named Hedranna Kaliki provided it.","Use this artifact in the presence of Ziddak's Ashlanders. An Ashlander wise woman named Hedranna Kaliki provided it."
"139139780-0-2687","This bone knife is extremely sharp.","This bone knife is extremely sharp."
"139139780-0-2678","Use this artifact in the presence of Ziddak's Ashlanders. An Ashlander wise woman named Hedranna Kaliki provided it.","Use this artifact in the presence of Ziddak's Ashlanders. An Ashlander wise woman named Hedranna Kaliki provided it."
"139139780-0-2650","This key should open any locked furniture in the General's quarters.","This key should open any locked furniture in the General's quarters."
"139139780-0-2651","The keystone hums with an ancient, hidden power.","The keystone hums with an ancient, hidden power."
"139139780-0-3980","Use to read contents.","사용해서 내용을 읽습니다."
"139139780-0-3986","A soft, fat bug.","A soft, fat bug."
"139139780-0-2655","This key opens the door to the Daedric ruin under the hill behind Stillrise Village.","This key opens the door to the Daedric ruin under the hill behind Stillrise Village."
"139139780-0-3983","A wooden case, stuffed with tightly rolled parchment.","단단히 말아놓은 양피지가 가득 들어있는 나무 상자입니다."
"139139780-0-2652","This rank insignia for a House Redoran general belonged to Gavryn Redoran.","This rank insignia for a House Redoran general belonged to Gavryn Redoran."
"139139780-0-3984","The book is heavy and cold, as if it were made of lead. Use to read contents.","The book is heavy and cold, as if it were made of lead. Use to read contents."
"139139780-0-3978","An empty water bucket.","비어있는 물 양동이"
"139139780-0-3979","This valuable burial urn might be returned for a reward.","This valuable burial urn might be returned for a reward."
"139139780-0-3976","Used to put out fires.","Used to put out fires."
"139139780-0-2646","A glowing fragment of the Crystal of Power","A glowing fragment of the Crystal of Power"
"139139780-0-3992","This crown is ornate, and very cold to the touch. This close to Sovngarde, it hums gently.","This crown is ornate, and very cold to the touch. This close to Sovngarde, it hums gently."
"139139780-0-3993","This is Nimble-Knuckles' bow, a battle-scarred but serviceable weapon.","This is Nimble-Knuckles' bow, a battle-scarred but serviceable weapon."
"139139780-0-2662","This is the key to Stormhold's mortuary, where Gethis Omobar asked me to examine the body of his wife, Eroni.","This is the key to Stormhold's mortuary, where Gethis Omobar asked me to examine the body of his wife, Eroni."
"139139780-0-3990","The relic weighs more than is likely for an item its size.","The relic weighs more than is likely for an item its size."
"139139780-0-3991","This small, metal skull is surprisingly heavy. It's cold to the touch, and gives off a chill aura.","This small, metal skull is surprisingly heavy. It's cold to the touch, and gives off a chill aura."
"139139780-0-3996","This crystal radiates an aura of weariness and lethargy.","이 수정체는 권태감과 무기력의 기운을 내뿜습니다."
"139139780-0-3997","Wood treated with fire salts in order to burn with magically intense heat.","마법적으로 강렬한 열을 발생시키기 위해 화염 소금으로 특수 처리된 나무입니다."
"139139780-0-3994","This crystal radiates an aura of cold and malaise.","이 수정체는 냉기와 불쾌감의 기운을 내뿜습니다."
"139139780-0-3995","This corrupted artifact was placed near the Hist Tree to corrupt it.","This corrupted artifact was placed near the Hist Tree to corrupt it."
"139139780-0-3987","The warm, smooth thorax of a Thunderbug.","The warm, smooth thorax of a Thunderbug."
"139139780-0-3988","A honeycomb made of hardened wood pulp.","A honeycomb made of hardened wood pulp."
"267697733-0-2094","The Green Aegis","녹색 방패"
"267697733-0-2093","Engraved Trophy Tusk","매머드 엄니로 만든 트로피"
"267697733-0-2092","Cracked Golden Crown","금이 간 황금 왕관"
"267697733-0-2091","Black-Iron Sword","흑철검"
"267697733-0-2089","Funerary Oils","Funerary Oils"
"139139780-0-2691","This is a Nord book of bawdy poems and heroic exploits.","This is a Nord book of bawdy poems and heroic exploits."
"267697733-0-2088","Westtry Captain's Blade","Westtry Captain's Blade"
"267697733-0-2086","Worm's Head Cap","Worm's Head Cap"
"139139780-0-2694","This stylish Dunmer armor comes in a variety of garish colors.","이 멋진 던머 갑옷은 다양한 색의 현란함을 가지고 있습니다."
"139139780-0-2695","This Nord religious relic appears to be the preserved heart of a goat.","This Nord religious relic appears to be the preserved heart of a goat."
"139139780-0-2692","This is a book of Dunmer culture and customs.","던머의 문화와 의상에 대한 책입니다."
"139139780-0-2693","This is a collection of Nord cultural garb, made from some kind of mammoth fur. It smells faintly of Nord sweat.","This is a collection of Nord cultural garb, made from some kind of mammoth fur. It smells faintly of Nord sweat."
"139139780-0-2696","This relic is warm to the touch and hums with latent energy.","This relic is warm to the touch and hums with latent energy."
"139139780-0-2697","This appears to be an ordinary loaf of stale bread.","This appears to be an ordinary loaf of stale bread."
"139139780-0-2689","This bone knife is extremely sharp.","This bone knife is extremely sharp."
"267697733-0-2085","Charged Charm","충전된 부적"
"267697733-0-2084","Edrien's Treasure","에드리엔의 보물"
"267697733-0-2082","Gloria Fausta's Blood","글로리아 파우스타의 피"
"267697733-0-2077","Sibellec's Charm","시벨렉의 행운의 부적"
"267697733-0-2075","Healing Poultice","치료용 습포제"
"267697733-0-2071","Edrien's Pipe","에드리엔의 담뱃대"
"139139780-0-6204","A letter sent to Mabkir from his lover back home, now stained crimson.","고향의 연인이 맙키르에게 준 편지. 지금은 피로 얼룩져있다."
"139139780-0-6208","A questionable love poem written by Brelan Neloren.","브레란 넬로렌이 쓴 고개를 갸웃거리게 하는 사랑의 시"
"139139780-0-6206","This key opens the cells in the Hlormaren stronghold.","이 열쇠는 흐로마렌 요새의 감옥을 연다"
"139139780-0-6205","This key unlocks the doors into the ancient Dark Elf fortress.","이 열쇠는 고대 다크 엘프의 요새 문을 연다"
"267697733-0-4767","Scout Report","정찰 보고서"
"267697733-0-4768","Scout Report","정찰 보고서"
"267697733-0-3437","Kindlepitch","킨들피치"
"267697733-0-4769","Scout Report","정찰 보고서"
"267697733-0-2101","Hunting Horn","사냥 나팔"
"267697733-0-3439","Chalice of Holy Waters","성수 성배"
"139139780-0-6111","This stone pulses with a spark of Vivec's divine energy.","이 돌은 비벡의 신성한 힘으로 빛나고 있다."
"139139780-0-6110","This large, plain key opens the door to the portion of the construction site where the third canton is being built.","이 커다랗고 간결한 열쇠는 제3 캔턴이 건설되고 있는 건설현장의 일부와 연결되는 문을 연다"
"139139780-0-6116","Combining fire salts and kindlepitch, I created a fire bomb.","화염 소금과 킨들피치를 조합해서, 나는 화염 폭탄을 만들었다."
"267697733-0-4760","Scout Report","정찰 보고서"
"139139780-0-6114","Gold Coast Trading Company cargo recovered in Shipwreck Cove.","난파선의 후미에서 회수한 골드코스트 무역회사의 적하물"
"267697733-0-4761","Scout Report","정찰 보고서"
"267697733-0-3430","Poisoned Meat","독을 탄 고기"
"139139780-0-6113","Created by Sotha Sil, this staff-like device combines clockwork technology with magicka.","소사 실이 만든 이 지팡이와 비슷하게 생긴 장치는, 시계장치 기술과 마법의 합작품이다."
"267697733-0-4762","Scout Report","정찰 보고서"
"267697733-0-3431","Horn of the Pact","Horn of the Pact"
"267697733-0-4763","Scout Report","정찰 보고서"
"267697733-0-3432","Horn of the Companion","Horn of the Companion"
"139139780-0-6119","A trophy taken from the greater hive golem, Writhing Sveeth.","그레이터 하이브 골렘, 고뇌의 스비스로부터 얻은 전리품"
"267697733-0-4764","Scout Report","정찰 보고서"
"139139780-0-6118","A trophy collected from the mighty nix-hound known as Tarra-Suj.","타라-수즈라 불리는 강력한 닉스-하운드를 쓰러뜨리고 얻은 전리품"
"267697733-0-2106","Gilded Lockbox","Gilded Lockbox"
"267697733-0-4765","Scout Report","정찰 보고서"
"267697733-0-3434","Armament Inventory","무기 목록"
"139139780-0-6117","A piece of the powerful nix-ox, Great Zexxin.","강력한 닉스-옥스, 그레이트 젝신의 일부"
"267697733-0-4766","Scout Report","정찰 보고서"
"267697733-0-3435","Heritance Officer's Uniform","계승단 장교 제복"
"267697733-0-4756","Scout Report","정찰 보고서"
"267697733-0-3425","Poisoned Meat","독을 탄 고기"
"267697733-0-4757","Scout Report","정찰 보고서"
"267697733-0-4758","Scout Report","정찰 보고서"
"267697733-0-4759","Scout Report","정찰 보고서"
"139139780-0-6123","A trophy collected for the kagouti pack leader known as King Razor-Tusk.","면도날 어금니 왕이라 불리는 카고티 무리의 우두머리로부터 얻은 전리품"
"267697733-0-3429","Deployment Plans","배치 계획서"
"139139780-0-6122","A trophy collected from the ancient cliff strider known as Old Stomper.","올드 스톰퍼라 불리는 늙은 클리프 스트라이더로부터 얻은 전리품"
"139139780-0-6121","A trophy collected from the dire ash beetle known as Ash-Eater.","애쉬-이터라 불리는 강력한 애쉬비틀로부터 얻은 전리품"
"139139780-0-6120","A trophy collected from the giant mudcrab matriarch known as Mother Jagged-Claw.","마더 재기드-클로라 불리는 강력한 여왕 진흙게를 쓰러뜨리고 얻은 박제"
"139139780-0-6127","Created by Sotha Sil, this staff-like device combines clockwork technology with magicka.","소사 실이 만든 이 지팡이와 비슷하게 생긴 장치는, 시계장치 기술과 마법의 합작품이다."
"139139780-0-6126","This combustible ingredient can be combined with fire salts to start a conflagration.","이 가연성의 재료는 화염 소금과 조합하여 대형 화재를 일으킬 수 있다"
"139139780-0-6125","This combustible ingredient can be combined with kindlepitch to start a fire.","이 가연성의 재료는 킨들피치와 조합하여 불을 피울 수 있다"
"267697733-0-4750","Scout Report","정찰 보고서"
"139139780-0-6124","Delicately Pretty Marshmerrow Cakes, with a dusting of powdered pearl and sugar","굉장히 아름다운 머쉬멜로우 케이크. 진주와 설탕 가루가 뿌려져 있다"
"267697733-0-4751","Scout Report","정찰 보고서"
"267697733-0-3420","Letter to Raerana","레아나에게 쓴 편지"
"267697733-0-4752","Scout Report","정찰 보고서"
"267697733-0-3421","Delver Notes","탐험가의 기록문서"
"267697733-0-4753","Scout Report","정찰 보고서"
"139139780-0-6129","The cog's brass is engraved with strange runes.","놋쇠 코그에는 기묘한 룬이 새겨져 있다"
"267697733-0-4754","Scout Report","정찰 보고서"
"139139780-0-6128","Magister Otheri's journal detailing a complex experiment.","복잡한 실험에 대해 상세히 기술한 마도자 오세리의 일지"
"267697733-0-4755","Scout Report","정찰 보고서"
"267697733-0-3424","Deployment Plans","배치 계획서"
"267697733-0-4745","Scout Report","정찰 보고서"
"267697733-0-4746","Scout Report","정찰 보고서"
"267697733-0-3415","Teleport Scroll","순간이동 두루마리"
"267697733-0-4747","Scout Report","정찰 보고서"
"267697733-0-3416","Teleport Scroll","순간이동 두루마리"
"267697733-0-4748","Scout Report","정찰 보고서"
"267697733-0-4749","Scout Report","정찰 보고서"
"267697733-0-3418","Manor Key","저택 열쇠"
"267697733-0-4741","Completed Scout Report","완료된 정찰 보고서"
"267697733-0-3410","Spore Potion Recipe","포자 포션 제조법"
"267697733-0-4742","Scout Report","정찰 보고서"
"267697733-0-3411","Straw","짚"
"267697733-0-4743","Scout Report","정찰 보고서"
"267697733-0-3412","Flint and Tinder","부싯돌과 불쏘시개"
"267697733-0-4744","Scout Report","정찰 보고서"
"267697733-0-3413","Bottle of Oil","기름병"
"139139780-0-259","This Resonance Crystal emits a low tone.","공진 크리스탈이 낮은 울림을 내뿜고 있습니다."
"267697733-0-4734","Rilding's Clue","릴딩의 단서"
"267697733-0-3403","Bloodcrown Spores","핏빛왕관 포자"
"267697733-0-4735","Talqua's Clue","탈쿠아의 단서"
"267697733-0-3404","Lavendercap Mushrooms","라벤더모자 버섯"
"267697733-0-4736","Sealed Message Tube","봉인된 전언통"
"267697733-0-3405","Gleamcap Spores","미광모자 포자"
"267697733-0-4737","Scout Report","정찰 보고서"
"267697733-0-3406","Salloweed Aloe","버들초 즙"
"139139780-0-6101","This chestnut flask is filled to the brim with a thick, black liquid.","이 밤색 플라스크에는 짙고 어두운 액체가 가득 담겨 있다"
"267697733-0-3407","Phaer Guard Pass","Phaer Guard Pass"
"139139780-0-6100","This darkened mass of fungus writhes in your grasp—clearly the result of alchemical tampering.","이 어두운 버섯 영혼은 쥐면 괴로운듯하다. 분명 연금술에 의한 간섭 탓이다"
"267697733-0-3409","Guard's Skeleton Key","Guard's Skeleton Key"
"139139780-0-6105","This crisply folded letter contains secret correspondence between Mertis Othren and and Wizard Jinrisa.","쭈글쭈글하게 접혀져 있는 편지. 메르티스 오스렌과 마도사 진리사와의 비밀 통신이 적혀있다"
"139139780-0-6103","An instruction book prepared by Barilzar the mage.","마법사 바릴자르가 준비한 강의서"
"139139780-0-6102","This yellowed legal document bears the Tribunal seal. It is clearly authentic.","이 노란 법적 서류에는 트라이뷰널의 표식이 있다. 공적인 서류이다"
"139139780-0-6109","A magic gem that can record and project memories. It has been attuned to Gilan Lerano's soul.","기억을 기록하고 투영할 수 있는 마법의 보석. 길란 레라노의 영혼과 융합되어 있다"
"267697733-0-4730","Narsis Dagger","나르시스 단검"
"139139780-0-6108","A magic gem that can record and project memories. It has been attuned to Gilan Lerano's soul.","기억을 기록하고 투영할 수 있는 마법의 보석. 길란 레라노의 영혼과 융합되어 있다"
"267697733-0-4731","Narsis Weapons","나르시스의 무기"
"267697733-0-3400","Binding Gem","속박의 보석"
"139139780-0-6107","Written orders commanding the Red Exiles to go to the deep chambers of the mine and acquire a staff of metal and gears used in the Nycotic cult's rituals.","붉은 망명자에 대해 광산 깊은곳으로 잠입해 니코틱 교단이 의식에 사용하는 금속과 톱니바퀴의 지팡이를 얻도록 명령한 지령"
"139139780-0-7435","A simple bottle meant to test the abilities of newcomers to the Antiquarian Circle.","A simple bottle meant to test the abilities of newcomers to the Antiquarian Circle."
"267697733-0-4732","Kuralit's Clue","쿠랄릿의 단서"
"267697733-0-3401","Prayer Beads","기도의 구슬들"
"139139780-0-6106","A tightly-wound scroll containing Firuth's endorsement of Sun-in-Shadow.","피루스의 그림자-속의-태양에 대한 추천장이 들어있는 굳게 말아진 두루마리"
"267697733-0-4733","Mendreval's Clue","멘드레발의 단서"
"267697733-0-3402","Spore Potion","포자 포션"
"139139780-0-6152","A tome detailing the earliest genealogy of the families that comprise House Hlaalu.","할루 가문을 만든 최초 시대의 계보를 상세히 기술한 책"
"267697733-0-4723","Tava's Vessel","타바의 그릇"
"139139780-0-6151","A tome detailing the earliest genealogy of the families that make up House Redoran.","레도란 가문을 만든 최초 시대의 계보를 상세히 기술한 책"
"267697733-0-4724","Narsis Axe","나르시스 도끼"
"139139780-0-6150","A tome detailing the earliest genealogy of the families that comprise House Dres.","드레스 가문을 만든 최초 시대의 계보를 상세히 기술한 책"
"267697733-0-4725","Narsis Battle Axe","나르시스 전투 도끼"
"267697733-0-4726","Narsis Bow","나르시스 활"
"139139780-0-6156","A relic from the Daedric shrine.","데이드라 사당에서 얻은 유물"
"267697733-0-4727","Narsis Mace","나르시스 철퇴"
"139139780-0-6155","A small but weighty sack of gold coins","작지만 무거운 금화 주머니"
"267697733-0-4728","Narsis Maul","나르시스 전투망치"
"139139780-0-6154","Five genealogies recovered from the Library of Andule.","안둘 도서관에서 얻은 5가지 계보"
"267697733-0-4729","Narsis Claymore","나르시스 대검"
"139139780-0-6153","A tome detailing the earliest genealogy of the families that make up House Telvanni.","텔바니 가문을 만든 최초 시대의 계보를 상세히 기술한 책"
"139139780-0-6159","A relic from the shrine of Dushariran.","두샤리란의 사당에서 얻은 유물"
"139139780-0-6158","A relic from the shrine of Ebernanit.","에버나니트의 사당에서 얻은 유물"
"139139780-0-6157","A relic recovered from the Ashurnabitashpi shrine.","아슈나비타쉬의 사당에서 얻은 역사적 유물"
"267697733-0-4720","Dorell Manor Key","도렐 저택의 열쇠"
"267697733-0-4721","Orc Poem","오크의 시"
"267697733-0-4722","Celestial Dust","셀레스티얼 먼지"
