"Location","Source","Target"
"52420949-0-2831","Scout Farragut Lumbermill","패러것 제재소 정찰"
"265851556-0-4699","A merchant in the Shrouded Vale reports seeing a village that has mysteriously and suddenly appeared in a nearby cave.","숨겨진 계곡에 있는 한 상인이 근처 동굴에서 갑작스레 마을이 나타나는 모습을 봤다고 주장했다."
"52420949-0-2830","Scout Kingscrest Lumbermill","킹스크레스트 제재소 정찰"
"265851556-0-3367","A Redguard named Hadoon believes ones fate is not predetermined. He believes one can break from destiny but needs help proving his theory.","하둔이라는 레드가드는 운명이 미리 결정되지 않았다고 믿는다. 그는 운명에서 벗어날 수 있다고 생각하고, 그의 이론을 증명하기 위해 도움을 필요로 한다."
"52420949-0-2833","Scout Drakelowe Lumbermill","드레이크로우 제재소 정찰"
"52420949-0-2832","Scout Blue Road Lumbermill","푸른 길 제재소 정찰"
"52420949-0-2839","Scout Bloodmayne Lumbermill","블러드메인 제재소 정찰"
"265851556-0-4691","I found a letter from someone named Iocundus in <<1>>.","<<1>>의 이오쿤두스라는 사람이 보낸 편지를 발견했다."
"52420949-0-2838","Scout Black Boot Lumbermill","검은장화 제재소 정찰"
"265851556-0-4690","The Shade of Prince Naemon has seized control of Hectahame where he is corrupting the Heart of the Valenwood. I must assist Queen Ayrenn and Indaenir in defeating him.","네이몬 대군의 망령이 헥타헤임을 점거하고 발렌우드의 심장을 오염시키고 있다. 아이렌 여왕과 인대니어를 도와 망령을 쓰러뜨려야 한다."
"265851556-0-4693","A moon-sugar plantation suffered a terrible fire. The family in charge of the plantation needs a hand to recover from their tragedy.","달설탕 농장이 끔찍한 화재로 고통받았다. 농장을 운영하는 가족은 자신들의 비극에서 회복시켜줄 도움의 손길을 필요로 한다."
"265851556-0-4692","Awash in a sea of rats, Laughing Moons Plantation is in dire need of assistance. <<1>> asked me to help deal with the infestation.","웃는 달들 농장은 넘쳐나는 쥐떼의 바다 때문에 도움이 절실하게 필요한 상황이다. <<1>>는 쥐떼의 창궐을 처리해 달라고 부탁했다."
"52420949-0-2835","Scout Faregyl Lumbermill","파레길 제재소 정찰"
"265851556-0-4695","<<1>> asked me to travel to <<2>> and look for her sister, <<3>>.","<<1>>은 <<2>>에 가서 자신의 여동생 <<3>>을 찾아달라고 부탁했다."
"52420949-0-2834","Scout Alessia Lumbermill","알레시아 제재소 정찰"
"265851556-0-4694","The dead have risen at Tu'whacca's Throne. Throne Keeper Farvard insists we consult the king before taking any action. I have agreed to take word back to the palace in Sentinel.","Tu'whacca's Throne의 망자들이 일어났고,  Ash'abah는 세 명의 고대 영웅도 부활하지 않았을까 하는 사실을 걱정하고 있다.\n 나는 그들의 무덤을 방문하기로 했다. 그리고 만일 그들이 되살아 났다면, 그들을 죽일 것이다."
"52420949-0-2837","Scout Brindle Lumbermill","얼룩무늬 제재소 정찰"
"265851556-0-4697","Clan Mother Kazirra told me to travel to the city of Rawl'kha, to bring word of the Mane's change of heart.","Clan Mother Kazirra told me to travel to the city of Rawl'kha, to bring word of the Mane's change of heart."
"52420949-0-2836","Scout Roebeck Lumbermill","로베크 제재소 정찰"
"265851556-0-4696","<<1>> has asked that I travel to <<2>> and inform his brother <<3>> that his wife is dead.","<<1>>은 나에게 <<2>>로 가서 그의 형제 <<3>>에게 그의 아내가 죽었다는 사실을 전해 달라고 부탁했다."
"52420949-0-2842","Scout Fort Glademist","빈터안개 요새 정찰"
"265851556-0-3357","The final battle against Angof begins now. I need to get inside and navigate the labyrinth of catacombs to find a safe place for Gabrielle and the soldiers to teleport into.","이제 앵고프와의 마지막 전투가 시작된다. 나는 안으로 들어가 카타콤의 미궁을 탐색하여 가브리엘과 병사들이 텔레포트할 안전한 장소를 찾아야 한다."
"52420949-0-2841","Scout Fort Rayles","레일스 요새 정찰"
"265851556-0-4687","The Eye of the Queen, Cariel, wants my help to uncover corruption in the little town of Pa'alat. She suspects a former Eye of the Queen has gone rogue.","여왕의 눈 카리엘은 작은 마을 파알랏의 부패를 밝혀 주기를 원한다. 그녀는 전 여왕의 눈이었던 인물이 배신한건 아닌지 의심하고 있다."
"52420949-0-2844","Scout Fort Aleswell","알레스웰 요새 정찰"
"52420949-0-2843","Scout Fort Ash","잿더미 요새 정찰"
"265851556-0-4689","I have been sent to the Moonlit Clearing to meet with a member of the lunar clergy. I'm supposed to find out if I am the Moon Hallowed.","달의 성직자들과 만나기 위해 달빛 빈터로 보내졌다. 그곳에서 내가 달의 성자인지 확인해볼 수 있을 것이다."
"52420949-0-2840","Scout Fort Warden","파수꾼 요새 정찰"
"52420949-0-1519","To Sylvan Upland","실반 고원으로 (To Sylvan Upland)"
"265851556-0-4680","An Aldmeri Dominion fleet was shipwrecked here by a hurricane. I wasn't part of the wreck, but perhaps I can use the chaos as cover.","알드메리 자치령 함대가 폭풍에 휩쓸려 난파했다. 나는 그 난파에 휩쓸리진 않않지만, 그 혼란을 이용하여 내가 어디서 왔는지를 숨길 수 있을 것이다."
"52420949-0-2849","Scout Farragut Keep","Scout Farragut Keep"
"52420949-0-1518","To Nocent Abad","To Nocent Abad"
"265851556-0-4682","I have a doctor's bag belonging to <<1>>, who may be in <<2>>.","<<1>>라는 사람이 가지고 있었던 의사의 가방을 발견했다. 이 사람은 아마 <<2>>에 있을 것이다."
"265851556-0-4681","Sea Elves have entered Serpent's Grotto, and one of the Maormer mages has broken the seals that bound a massive sea serpent here for centuries.","바다 엘프들이 큰뱀 동굴에 들어왔고, 어떤 마오머 마법사가 이곳에 수 세기 동안 봉인되어 있었던 거대한 바다뱀의 봉인을 깨뜨렸다."
"52420949-0-2846","Scout Chalman Keep","찰만 아성 정찰"
"52420949-0-1515","To Nocent Abad","To Nocent Abad"
"265851556-0-4684","Apphia Matia asked me to let Brielus Colus of Cheydinhal know that she is bearing his child.","아피아 마티아는 체이딘할의 브리엘루스 콜루스에게 자신이 그의 아이를 가졌다는 소식을 전해달라고 부탁했다."
"265851556-0-3353","An old Redguard sitting in the desert is contemplating fate. He believes all of our actions are predetermined.","사막에 앉아 있는 한 늙은 레드가드는 운명에 대해 고민하고 있다. 그는 모든 행동이 미리 결정되어 있다고 생각한다."
"52420949-0-2845","Scout Fort Dragonclaw","드래곤발톱 요새 정찰"
"52420949-0-1514","To Bug Musk Screal","To Bug Musk Screal"
"265851556-0-4683","<<1>> needs herbs delivered to <<2>> in <<3>>.","<<1>>는 <<3>>에 있는 <<2>>에게 약초를 배달해줘야 한다."
"52420949-0-2848","Scout Kingscrest Keep","킹스크레스트 아성 정찰"
"52420949-0-1517","To Loqueach","To Loqueach"
"265851556-0-4686","On his deathbed, the chief of the Ash'abah says he has foreseen that I must join the tribe and defeat the Withered Hand. I must participate in an initiation ritual to become an Ash'abah.","그의 임종 당시, 아샤바의 족장은 내가 부족에 들어와 메마른 손을 쓰러뜨릴 것이라고 예견했다. 나는 아샤바가되는 입문식에 참여해야 한다."
"52420949-0-2847","Scout Arrius Keep","아리우스 아성 정찰"
"265851556-0-6416","A mysterious band of necromancers and graverobbers breached the defenses of the Unhallowed Grave. The burial site's last living defender, Shelaria, asked for my help in ridding the tomb of these invaders.","A mysterious band of necromancers and graverobbers breached the defenses of the Unhallowed Grave. The burial site's last living defender, Shelaria, asked for my help in ridding the tomb of these invaders."
"265851556-0-6417","<<1>> of the Undaunted has challenged me to explore Unhallowed Grave.\n\nYou can only complete the Gold Key Challenge in Veteran Mode.","언던티드의 <<1>>은 나에게 더럽혀진 무덤을 탐험하라는 도전을 내주었다.\n\n당신은 베테랑 모드에서 골드 키를 사용하여야지만 도전을 완료할 수 있다."
"52420949-0-2811","Scout Arrius Farm","아리우스 농장 정찰"
"265851556-0-6414","The Skald-King dispatched a party of sword-thanes to investigate unnatural storms swirling around Icereach. Alas, a coven of witches killed most of the warriors. I must venture into the aged keep, kill the witches within, and search for survivors.","The Skald-King dispatched a party of sword-thanes to investigate unnatural storms swirling around Icereach. Alas, a coven of witches killed most of the warriors. I must venture into the aged keep, kill the witches within, and search for survivors."
"52420949-0-2810","Scout Chalman Farm","찰만 농장 정찰"
"265851556-0-6415","<<1>> of the Undaunted challenged me to explore Icereach.\n\nYou can only complete the Gold Key Challenge in Veteran Mode.","<<1>> of the Undaunted challenged me to explore Icereach.\n\nYou can only complete the Gold Key Challenge in Veteran Mode."
"265851556-0-6418","A young Imperial named Catina recently lost her mother, Honoria. In the weeks that followed, images of the Forsaken Citadel plagued her dreams. Honoria clearly has unfinished business in the ruined academy, and she needs the living to help settle it.","A young Imperial named Catina recently lost her mother, Honoria. In the weeks that followed, images of the Forsaken Citadel plagued her dreams. Honoria clearly has unfinished business in the ruined academy, and she needs the living to help settle it."
"265851556-0-6419","The Senchal job broker, Guybert, urged me to search the Forsaken Citadel for sealed Akaviri tomes.","The Senchal job broker, Guybert, urged me to search the Forsaken Citadel for sealed Akaviri tomes."
"52420949-0-2817","Scout Faregyl Farm","Scout Faregyl Farm"
"52420949-0-2816","Scout Alessia Farm","알레시아 농장 정찰"
"265851556-0-3381","I've decided to help <<1>> find a lizard who can win in the local lizard races. Breeders specialize in providing varieties of racing reptiles.","나는 온윈을 도와 지역 도마뱀 경주에서 이길 수 있는 도마뱀을 찾기로 했다. 사육사들은 다양한 경주용 파충류를 전문적으로 제공한다."
"52420949-0-2819","Scout Brindle Farm","얼룩무늬 농장 정찰"
"52420949-0-2818","Scout Roebeck Farm","Scout Roebeck Farm"
"265851556-0-3383","I met a miner named Samsi at the Badwater mine. She tells me that the mine is collapsing and her partner is trapped inside. I told her I would go in and find her partner. If he's dead, she still needs his supply pack.","I met a miner named Samsi at the Badwater mine. She tells me that the mine is collapsing and her partner is trapped inside. I told her I would go in and find her partner. If he's dead, she still needs his supply pack."
"52420949-0-2813","Scout Farragut Farm","패러것 농장 정찰"
"265851556-0-6412","A band of smugglers have turned the sacred Moonlit Cove into a skooma distillery and poisoned the waters with their shoddy spirits.","A band of smugglers have turned the sacred Moonlit Cove into a skooma distillery and poisoned the waters with their shoddy spirits."
"52420949-0-2812","Scout Kingscrest Farm","킹스크레스트 농장 정찰"
"265851556-0-3385","I met a sad looking dog beside a path in the Alik'r Desert. She seems to want my help.","I met a sad looking dog beside a path in the Alik'r Desert. She seems to want my help."
"265851556-0-6413","Zhasim, a Khajiit raised by Orcs in Wrothgar, came to Southern Elsweyr to help his uncle get his shipment of gourmet moon-sugar to market in Rimmen. But Zhasim and his guard Maezi were robbed and his cat Winks ran away.","Zhasim, a Khajiit raised by Orcs in Wrothgar, came to Southern Elsweyr to help his uncle get his shipment of gourmet moon-sugar to market in Rimmen. But Zhasim and his guard Maezi were robbed and his cat Winks ran away."
"52420949-0-2815","Scout Drakelowe Farm","드레이크로우 농장 정찰"
"52420949-0-2814","Scout Blue Road Farm","푸른 길 농장 정찰"
"52420949-0-5093","Moons Over Grimwatch","Moons Over Grimwatch"
"52420949-0-5092","The Champions at Rawl'kha","라울'카의 챔피언"
"52420949-0-5091","Hallowed To Grimwatch","그림워치로 향하는 성자"
"52420949-0-575","Vaermina's Gambit","베르미나의 계략"
"52420949-0-5099","Trial of Martial Knowledge","전쟁 지식의 시련"
"52420949-0-5098","The Trial of Air","공중의 시련"
"52420949-0-5097","The Beast Pits","짐승 구덩이"
"52420949-0-2820","Scout Black Boot Farm","검은장화 농장 정찰"
"265851556-0-2047","The Supernal Dreamers performed a ritual on Muzgu that infused a Daedric spirit into his body. He's contained it for now, but it's gaining strength. If the spirit takes control of him, it will combine its powerful magic with his own. Many will die.","Supernal Dreamer들은 데이드릭 영혼을 Muzgu의 몸에 주입하는 의식을 행했다. 그는 지금 그 영혼에 저항하고 있지만, 그 영혼은 점점 강해지고 있다. 영혼이 그의 몸을 지배하게 되면, 숙주의 강력한 마법과 자신의 힘을 합칠 것이다. 그렇게 되면 많은 사람들이 죽을 것이다."
"265851556-0-3379","Darien discovered that we need three shard-keys to open the three locks that protect Angof's inner sanctum.","다리엔은 앵고프의 내부 성소를 보호하는 세 개의 자물쇠를 열려면 세 개의 조각 열쇠가 필요하다는 것을 알아냈다."
"265851556-0-6405","Dirge Truptor tasked me with intercepting a courier for the Order of the New Moon.","Dirge Truptor tasked me with intercepting a courier for the Order of the New Moon."
"265851556-0-6406","Dirge Truptor gave me an old bandit map that will supposedly lead me to a lost grave from the Akaviri Invasion.","Dirge Truptor gave me an old bandit map that will supposedly lead me to a lost grave from the Akaviri Invasion."
"52420949-0-2822","Scout Warden Lumbermill","워든 제재소 정찰"
"265851556-0-6403","The Order of the New Moon plans to attack Pridehome, a reclusive temple dedicated to the worship of Alkosh. The Dragonguard is determined to stop the cult's assault and uncover the motives behind the attack.","The Order of the New Moon plans to attack Pridehome, a reclusive temple dedicated to the worship of Alkosh. The Dragonguard is determined to stop the cult's assault and uncover the motives behind the attack."
"52420949-0-2821","Scout Bloodmayne Farm","블러드메인 농장 정찰"
"265851556-0-6404","With Ra'khajin defeated and the Mask of Alkosh in our possession, Sai Sahan is determined to defeat Laatvulon once and for all. It's time to make our final stand against the Order of the New Moon.","With Ra'khajin defeated and the Mask of Alkosh in our possession, Sai Sahan is determined to defeat Laatvulon once and for all. It's time to make our final stand against the Order of the New Moon."
"265851556-0-6409","Sai Sahan is reforming the Dragonguard and wants to know if our companions will join us.","Sai Sahan is reforming the Dragonguard and wants to know if our companions will join us."
"265851556-0-6408","Kidnappers abducted Skordo the Knife, but their caravan fell prey to a Dragon attack. The abductors left the hard-nosed Orc behind, but dragged off two of his companions. Skordo wants to free his friends and put a stop to the kidnappers' schemes.","Kidnappers abducted Skordo the Knife, but their caravan fell prey to a Dragon attack. The abductors left the hard-nosed Orc behind, but dragged off two of his companions. Skordo wants to free his friends and put a stop to the kidnappers' schemes."
"52420949-0-2828","Scout Chalman Lumbermill","찰만 제재소 정찰"
"52420949-0-2827","Scout Dragonclaw Lumbermill","드래곤발톱 제재소 정찰"
"52420949-0-2829","Scout Arrius Lumbermill","아리우스 제재소 정찰"
"52420949-0-2824","Scout Glademist Lumbermill","빈터안개 제재소 정찰"
"265851556-0-6401","A Dragon lairs on a nearby island, and Sai Sahan believes it plans to attack Senchal. I agreed to help Sai sail to the island and slay the beast before it can harm the city.","대륙 인근에 드래곤 둥지가 있으며 사이 사한은 그 둥지가 센찰의 공격을 계획 중이라고 생각한다. 나는 그런 사이를 도와 함께 섬으로 항해하여, 드래곤이 도시에 해를 끼치기 전에 그것을 죽여야 한다는 것에 대해 동의하였다."
"52420949-0-2823","Scout Rayles Lumbermill","레일스 제재소 정찰"
"265851556-0-6402","We reformed the Dragonguard and defeated Kaalgrontiid. I should see if there's anything else we need to take care of here in Southern Elsweyr.","We reformed the Dragonguard and defeated Kaalgrontiid. I should see if there's anything else we need to take care of here in Southern Elsweyr."
"52420949-0-2826","Scout Aleswell Lumbermill","알레스웰 제재소 정찰"
"52420949-0-2825","Scout Ash Lumbermill","애쉬 제재소 정찰"
"265851556-0-2046","Cultists called Supernal Dreamers are up to no good in Moonlit Maw. Master Muzgu, a monk from Pariah Abbey, led other monks here to stop them. But they were ambushed by the cultists.","Supernal Dreamers라고 불리는 이교도들은 Moonlit Maw에서 나쁜짓을 일삼는다. Pariah Abbey의 수도승인 Master Muzgu는 다른 수도승들을 이끌고 그들을 막으려 한다. 그러나 그들은 이교도들에게 습격당했다."
"265851556-0-6400","A good-hearted scoundrel named Daini wants to rob local bandits of their ill-gotten goods. She means to use their wealth to leave Elsweyr with her brother, but seems intent on settling scores before she departs.","A good-hearted scoundrel named Daini wants to rob local bandits of their ill-gotten goods. She means to use their wealth to leave Elsweyr with her brother, but seems intent on settling scores before she departs."
"52420949-0-2875","Scout Bloodmayne Mine","Scout Bloodmayne Mine"
