"Location","Source","Target"
"70901198-0-930","These caves have the distinction of being the most famous kwama mines in Deshaan. Dark Elves consider kwama eggs a delicacy, and those harvested from Darkshade Caverns are particularly prized by Dunmeri gourmets.","이 동굴은 데샨에서 가장 유명한 크와마 광산입니다. 다크 엘프들은 크와마 알을 뛰어난 음식으로 생각하며 어둠그늘 동굴에서 수확된 것들은 던머 미식가들 사이에서 특별한 가치를 지닙니다."
"70901198-0-933","Wayrest is justifiably proud of the commodious modern sewers that drain the city's wastes into the Iliac Bay. But the curving conduits beneath the streets contain dark secrets unsuspected by those who walk in the light of day above.","웨이레스트는 도시의 폐기물을 일리악 만으로 배출시키는 넓고 굉장한 현대식 하수도를 갖추고 있습니다. 그러나 도로 밑의 굽이진 도랑에는 밝은 낮에 걷고 있는 사람들이 생각지도 못한 음험한 비밀들이 가득합니다."
"70901198-0-934","These extensive caverns in the volcanic rock beneath Stonefalls were once used for unknown purposes by the ancient Chimer, but were abandoned by the Elves long ago. Now they are the haunt of Goblins and other denizens of the underworld.","스톤폴스 아래의 화산암에 위치한 이 광대한 동굴은 고대 카이머들에 의해서 알 수 없는 용도로 사용되었지만, 오래전에 엘프들에 의해 버려졌습니다. 지금 이곳에는 고블린들과 지하 세계의 다른 여러 거주자들이 도사리고 있습니다."
"70901198-0-931","When the Daedra-worshiping Ayleids were driven from Cyrodiil after Alessia's Slave Rebellion, many of the Wild Elf clans took refuge in Valenwood. One of the foremost of those clans was granted the right to excavate dwelling-halls under Elden Root itself.","알레시아의 노예 봉기 이후 시로딜에서 데이드라를 섬기는 에일리드들이 쫓겨났을 때, 많은 수의 우드 엘프 부족들이 발렌우드에 은신처를 마련하였습니다.  그중 가장 최고의 부족이 엘든 루트 지하에 있는 주거공간을 발굴할 권리를 가졌습니다."
"70901198-0-932","This place's forbidding black towers are visible for leagues, even through Rivenspire's drifting mists. Yet the local inhabitants never mention it, behaving as if it doesn't even exist. But the Crypt of Hearts is no illusion or mirage—it is solid and all too real.","이곳의 불길한 검은 탑은 리븐스파이어를 표류하는 안개에도 불구하고 3마일 밖에서도 볼 수 있습니다. 아직도 지역 주민들은 절대 이곳을 언급하지 않으며, 마치 존재하지 않는 것처럼 행동합니다. 하지만 마음의 묘실은 환영이나 신기루가 아닙니다. 이곳은 실체하며 모든 것이 현실입니다."
"70901198-0-926","For the Dark Elves of Vvardenfell, to find a black snail in one's salad means ill luck in the week ahead. A black snail on one's smallclothes means imminent death.","바덴펠의 다크 엘프에게는 샐러드에서 검은 달팽이를 발견하면 일주일 안에 불행을 겪을 수 있습니다. 옷가지에 검은 달팽이는 임박한 죽음을 의미하기 때문입니다."
"70901198-0-927","""Ebony is a substance whose acquisition and use tempt mortals into acts of achievement that transcend their usual limitations. Did Lorkhan 'intend' this? Alas, the concept is self-referential, and therefore nugatory."" —Divayth Fyr","\"\"흑단을 손에 넣어 사용한 필멸자는 평상시의 한계를 넘는 행동을 할 수 있다. 로칸은 이를 \"\"의도\"\"한 것일까? 유감스럽지만 그것을 묻는 의미는 없다\"\"- 디베이스 피어"
"70901198-0-924","In the Grazelands, bandits are uncommon near the coast where there are plenty of Telvanni guards. To the west, toward the slopes of Red Mountain, the region is more dangerous.","그레이즈랜드에서는 텔바니 가문의 보초병이 많은 연안 지역에는 산적이 많지 않습니다. 이에 비하면 서쪽의 레드 마운틴 주변 지역은 위험합니다."
"70901198-0-925","For the long-lost Dwarves, Nchuleft—don't confuse it with Nchuleftingth!—seems to have been some sort of heavy manufacturing facility. Though millennia have passed, its defenses remain active … and dangerous.","오랫동안 사라진 드워프의 누슈레프트와 누슈레프팅쓰를 혼동하지 마세요! - 대량 제조 시설의 부류 같습니다. 수천년이 지났지만, 그 방어 장치는 여전히 작동하고 ... 위험합니다."
"70901198-0-928","""Kwama warriors protect the colony, reacting quickly to any perceived danger. They should be treated warily and with respect, for they are aggressive and highly dangerous."" —Dorayn Redas, Kwama Keeper","\"\"크와마 전사는 위험을 감지하면 신속하게 반응하고 무리를 지킨다. 그들은 공격적이고 매우 위험하므로 주의 깊고 소중히 대우해야 한다\"\" -도라안 리다스, 크와마 사육사"
