"Location","Source","Target"
"191999749-0-39512","Harrowed^n","Harrowed"
"207398837-0-59577","Ferzhela in Skywatch","스카이워치의 페르젤라"
"51188660-1-521","<<1>>","<<1>>\n"
"207398837-0-59578","Renzaiq in Skywatch","스카이워치의 렌자이크"
"207398837-0-59575","Carillda in Vulkhel Guard, Auridon","아우리돈의 벌켈 가드에 있는 카릴다"
"207398837-0-59576","Panersewen in Firsthold, Auridon","아우리돈의 퍼스트홀드에 있는 파네르세웬"
"51188660-1-526","<<1>>","<<1>>\n"
"207398837-0-59573","Shamuniz in Khenarthi's Roost","Shamuniz in Khenarthi's Roost"
"51188660-1-525","<<1>>","<<1>>\n"
"207398837-0-59574","Lanirsare in Skywatch","Lanirsare in Skywatch"
"51188660-1-524","<<1>>","<<1>>\n"
"51188660-1-523","<<1>>","<<1>>\n"
"207398837-0-59572","Dulia in Khenarthi's Roost","Dulia in Khenarthi's Roost"
"51188660-1-529","<<1>>","<<1>>\n"
"51188660-1-528","<<1>>","<<1>>\n"
"33425332-0-1099","Margog the Hammer","망치의 마르구그"
"33425332-0-1097","Margog the Hammer","망치의 마르구그"
"33425332-0-1098","Margog the Hammer","망치의 마르구그"
"33425332-0-1095","Margog the Hammer","망치의 마르구그"
"33425332-0-1096","Margog the Hammer","망치의 마르구그"
"33425332-0-1093","Margog the Hammer","망치의 마르구그"
"33425332-0-1094","Margog the Hammer","망치의 마르구그"
"33425332-0-1091","Margog the Hammer","망치의 마르구그"
"33425332-0-1092","Margog the Hammer","망치의 마르구그"
"33425332-0-1090","Margog the Hammer","망치의 마르구그"
"51188660-1-533","<<1>>","<<1>>\n"
"207398837-0-59589","Naifineh in Elden Root","엘든 루트의 나이피네"
"51188660-1-531","<<1>>","<<1>>\n"
"207398837-0-59586","Shiniraer in Rawl'kha","Shiniraer in Rawl'kha"
"51188660-1-530","<<1>>","<<1>>\n"
"207398837-0-59587","Fintilorwe in Elden Root","엘든 루트의 핀트로르베"
"51188660-1-537","<<1>>","<<1>>\n"
"207398837-0-59585","Mizul in Elden Root","엘든 루트의 미줄"
"51188660-11-1253","<<1>>","<<1>>"
"51188660-1-534","<<1>>","<<1>>\n"
