"Location","Source","Target"
"116521668-0-11289","What a ridiculous question!\n\nTashmin is … he's part of this family. And it's a better family than the one I was born into, believe me.","그게 무슨 멍청한 질문이야!\n\n타시민은 ... 그 애는 우리 가족의 일원이야. 그리고 내가 태어났던 가족보단 훨씬 나은 가족이 될 거라고. 날 믿어."
"187173764-0-9144","High King Emeric's truly blessed. He's survived another attempt on his life!","하이 킹 에밀리는 진실로 축복 받았습니다. 그는 자신의 인생에 대한 또 다른 시도에서 살아 남았습니다!\n"
"232026500-0-11678","The Sacrament is fulfilled.","검은성사를 마쳤습니다."
"232026500-0-11677","The Sacrament is fulfilled.","검은성사를 마쳤습니다."
"116521668-0-11296","Of course, boss, I'm eager to see you in action. Bring me a posting and we'll be on our way.","물론이오, 대장. 당신이 행동하는 걸 얼른 보고 싶다오. 내게 게시물을 가져 오면 우린 길을 떠날 수 있을 거라오."
"232026500-0-11676","The Sacrament is fulfilled.","검은성사를 마쳤습니다."
"116521668-0-11299","There always seems to be something weird with those noble types. I think they go stir crazy without honest work. Not like us.\n\nIf they want to part with their fortunes willingly, you won't get complaints from me. Or you, I'd wager.","그런 귀족 타입에겐 항상 이상한 점이 있는 것 같아. 그들은 정직한 일을 하지 않으면 제정신을 잃나 봐. 우리랑 다르게 말이야.\n\n그들이 기꺼이 재산을 나눠 주고 싶다면, 난 불평하지 않을거야. 너도 마찬가지겠지, 틀림 없어."
"168415844-0-2524","Muzgu asked me to kill him to stop the Omen from possessing him. I refused. Instead, we agreed to capture a Supernal Dreamer and trick the Omen into possessing them instead.\n\nVaermina will take the Supernal Dreamer and lock them in eternal nightmare.","Muzgu asked me to kill him to stop the Omen from possessing him. I refused. Instead, we agreed to capture a Supernal Dreamer and trick the Omen into possessing them instead.\n\nVaermina will take the Supernal Dreamer and lock them in eternal nightmare."
"168415844-0-2522","Gerarde made it to Master Muzgu safely. Muzgu refuses to return to the abbey, insisting that Gerarde should return alone.","헤라르데는 무즈구 마스터에게 무사히 갔다. 무즈 주는 게라르데가 혼자 돌아와야 한다고 주장하며 아베리로 돌아가는 것을 거부한다.\n"
"232026500-0-11688","The Sacrament is fulfilled.","검은성사를 마쳤습니다."
"232026500-0-11687","The Sacrament is fulfilled.","검은성사를 마쳤습니다."
"232026500-0-11686","The Sacrament is fulfilled.","검은성사를 마쳤습니다."
"116521668-0-11265","You outdid yourself this time. Thanks to your skill we got an even bigger payday than normal. Nice work.","이번엔 전에 없이 잘 하셨소. 당신의 재주 덕분에 평소보다 훨씬 더 큰 보수를 받았다오. 잘 하셨소."
"187173764-0-9125","Northpoint was liberated, but did you hear what Baron Dorell did? He arrested his own son! That man is heartless, I tell you, Heartless!","노스 포인트는 해방되었지만 도럴 남작이 한 일을 들었습니까? 그는 자기 아들을 체포했다! 정말 무정하군!"
"232026500-0-11696","The Sacrament is fulfilled.","검은성사를 마쳤습니다."
"232026500-0-10365","finish quest","finish quest"
"168415844-0-6096","The survivors' food supply was burned, forcing the camp dwellers to abandon the forgotten crypts. <<1>> was told of <<2>>'s death.","The survivors' food supply was burned, forcing the camp dwellers to abandon the forgotten crypts. <<1>> was told of <<2>>'s death."
"116521668-0-11270","They tried to make a fuss about the traces you left during the job, but <<1>> knows the value of a little blackmail to ensure the agreed upon price.\n\nYour share, boss. It may not have the beauty of stones, but I find the jingle quite fetching.","그들은 당신이 작업을 남은 동안 남긴 흔적에 대해 투덜거리려 했지만, <<1>>는 그것이 약정 가격을 보증할 작은 협박이라는 걸 알고 있다오.\n\n당신의 몫이라오, 대장. 그 돌들의 아름다움은 없지만, 짤랑거리는 소리가 꽤 듣기 좋다오."
"168415844-0-6095","The survivors' food supply was burned, forcing the camp dwellers to abandon the forgotten crypts. <<1>> is nowhere to be found.","The survivors' food supply was burned, forcing the camp dwellers to abandon the forgotten crypts. <<1>> is nowhere to be found."
"168415844-0-6094","The survivors of the forgotten crypts were left to continue their cannibalism. <<1>> was told of <<2>>'s death.","The survivors of the forgotten crypts were left to continue their cannibalism. <<1>> was told of <<2>>'s death."
"168415844-0-6093","The survivors of the forgotten crypts were left to continue their cannibalism. <<1>> is nowhere to be found.","The survivors of the forgotten crypts were left to continue their cannibalism. <<1>> is nowhere to be found."
"116521668-0-11271","Their eyes shone brighter than the stones themselves. It was a simple thing to get them to part with a little extra for the flawless services you provided.\n\nYour cut, boss. Enjoy.","그들의 눈은 보석보다 더 밝게 빛났소. 당신이 제공한 완벽한 서비스로 약간의 추가 비용을 받는 것은 간단한 일이었다오.\n\n여기 당신의 몫이오, 보스. 즐기시오."
"168415844-0-6092","<<1>> safely made it to the crypt, but her husband is nowhere to be found. She will leave the crypt while the search continues.","<<1>> safely made it to the crypt, but her husband is nowhere to be found. She will leave the crypt while the search continues."
"232026500-0-11698","The Sacrament is fulfilled.","검은성사를 마쳤습니다."
"168415844-0-6091","<<1>> safely made it to the crypt, but her husband is nowhere to be found. She will wait at the camp while the search continues.","<<1>> safely made it to the crypt, but her husband is nowhere to be found. She will wait at the camp while the search continues."
"232026500-0-11697","The Sacrament is fulfilled.","검은성사를 마쳤습니다."
"116521668-0-11275","Crime is dirty business, boss. Best to discourage it from getting dirtier. Show that we are squeamish and soon everyone will keep their precious things in outhouses and chamber pots.\n\nHave a soak and count your coin, it'll improve your mood.","범죄는 더러운 사업입니다, 대장. 더러워지지 않도록 최선을 다하십시오. 우리가 비명을 지르며 곧 모든 사람들이 옥상이나 방 냄비에 소중한 것을 지킬 것을 보여주십시오.\n\n 목욕물에 몸을 담그고 돈을 세면 기분이 좀 나아질 겁니다."
"116521668-0-11277","I didn't think grime could stick to one so slick as you, boss. The buyers were quite pleased with the pace with which the goods passed through and dumped a tidy sum on our doorstep.\n\nGold has a way of clearing the air, does it not?","당신처럼 매끌매끌한 사람에겐 때가 달라 붙지 않을 것 같소, 대장. 구매자들은 물건이 빨리 도착해서 꽤 만족스러워 했고 길드 문 앞에 많은 돈을 두고 갔다오.\n\n금이 공기를 상쾌하게 해 주지, 그렇지 않소?"
"116521668-0-1718","We all owe you a debt of gratitude for freeing us. \n\nWe'll be safe for a while, but life won't really return to normal until someone drives out those mercenaries.","We all owe you a debt of gratitude for freeing us. \n\nWe'll be safe for a while, but life won't really return to normal until someone drives out those mercenaries."
"116521668-0-1712","Oh Breloth, my love! Do you see what we have for you? She would've loved this.\n\nFlowers, wine, food … everything will be perfect.","오 브렐로스, 내 사랑! 우리가 널 위해 뭘 준비했는지 알겠어? 그녀는 이것을 좋아했을 거야.\n\n꽃, 와인, 음식... 모든게 완벽할거야."
"116521668-0-1711","This is good. Relieves Dro-Dara greatly. Many years we traveled together and many years we worked to make this plantation profitable. \n\nDro-Dara can abandon plantation. Good friends, he cannot.","This is good. Relieves Dro-Dara greatly. Many years we traveled together and many years we worked to make this plantation profitable. \n\nDro-Dara can abandon plantation. Good friends, he cannot."
"116521668-0-11285","Of course, just as you suggested.\n\nAnd the forged letters worked perfectly. Pimsy's days of slavery are over—his new life starts today.","물론이죠, 당신이 제안했던 대로요.\n\n그리고 위조된 편지는 완벽했어요. 핌시의 노예 시절이 끝났죠. 그의 새 삶이 오늘부터 시작될 거예요."
"168415844-0-2550","I returned dreugh eggs to their nests and killed the dreugh encroaching on Wayrest. That's significantly reduced the chance the dreugh will invade the slums again. Soon, they'll go back to their spawning pools and leave the slums alone.","난 드레그의 알을 둥지로 가져간뒤 웨이레스트로 침범하는 드레그들을 죽였다. 덕분에 드레그들이 빈민가를 침범하는 일이 확실히 줄었다. 드레그들은 곧 그들의 번식지로 돌아가 빈민가를 건드리지 않을 것이다."
"232026500-0-9923","Yes, they were collecting nirncrux. I defeated someone called Arnoth, a Scaled Court exarch.","Yes, they were collecting nirncrux. I defeated someone called Arnoth, a Scaled Court exarch."
"232026500-0-9917","What happens now?","What happens now?"
"187173764-0-6924","No good comes from the Wood Orcs. Never forget Velyn Harbor!","No good comes from the Wood Orcs. Never forget Velyn Harbor!"
"116521668-0-1771","Ha! There won't be an 'attack.' I don't have the soldiers to spare.\n\nAbbot Durak says you're a champion though, and I trust him. I believe you can do this on your own.","하! '공격'은 없을 거다. 나는 병사들을 쓰지 않을 거야.\n\n듀락 수도원장은 네가 챔피언이라고 말했고 나는 그를 믿는다. 넌 이 일을 혼자 할 수 있을 거야."
"232026500-0-9908","I give up. I can't beat the Celestial Serpent.","I give up. I can't beat the Celestial Serpent."
"232026500-0-8618","The undead are gone from the ruins?","언데드들이 페허에서 사라질까요?"
"232026500-0-8617","I suppose so.","그런 것 같군요."
"232026500-0-8616","I suppose so.","그런 것 같군요."
"232026500-0-8615","I suppose so.","그런 것 같군요."
"232026500-0-8611","Yes. You and the tree can both be at peace now.","Yes. You and the tree can both be at peace now."
"232026500-0-8605","I found your notes. The Veiled Heritance was using them to create liches.","이 기록을 찾았어요. 베일의 계승단이 이 기록을 이용해서 리치를 만들고 있더군요."
"187173764-1-2764","What you accomplished at Tava's Blessing was a miracle! The gods are surely with you!","당신이 타바의 축복에서 이룬 것들은 기적이예요! 신들이 당신과 함께 하고 있네요!"
"116521668-0-12530","<He notes your work and tenders payment.>","<그가 당신의 일을 기록하고 보수를 지급한다.>"
"116521668-0-963","As I thought... the Blight did not spare our brethren at the fort.\n\nAs for you, I see you have returned uninfected. I know not what magic keeps you free of the Blight, but you have proven your claim of immunity.","As I thought... the Blight did not spare our brethren at the fort.\n\nAs for you, I see you have returned uninfected. I know not what magic keeps you free of the Blight, but you have proven your claim of immunity."
"232026500-0-3742","<Read Notice>","<공고문을 읽는다>"
"232026500-0-3743","<Read Notice>","<공고문을 읽는다>"
"116521668-0-12532","<He notes your work and tenders payment.>","<그가 당신의 일을 기록하고 보수를 지급한다.>"
"116521668-0-961","I'm just hoping there was only one ship that crashed on the rocks. \n\nI could lose my job over this. If anyone asks, I hope you'll tell them it wasn't my fault.","바위에 부딪친 배가 하나뿐이길 바랄 뿐이야. \n\n난 이 일을 하는 내 직업을 잃어버릴 수도 있었어. 바라건대.. 만약 누가 네게 물어본다면, 봉화가 꺼진 게 내 잘못이 아니라고 말해줘."
"232026500-0-3740","<Read Notice>","<공고문을 읽는다>"
"232026500-0-3741","<Read Notice>","<공고문을 읽는다>"
"116521668-0-12534","<He notes your work and tenders payment.>","<그가 당신의 일을 기록하고 보수를 지급한다.>"
"232026500-0-3746","<Read Notice>","<공고문을 읽는다>"
"116521668-0-12533","<He notes your work and tenders payment.>","<그가 당신의 일을 기록하고 보수를 지급한다.>"
