"Location","Source","Target"
"20958740-0-1706","ACCEPT","수락"
"20958740-0-1709","You're in no condition to go after her.","You're in no condition to go after her."
"3952276-0-3997","You don't know? Then you can't be with the Worm Cult.\n\nThose foul necromancers raided our village last night. We trapped three of their lieutenants in our huts, but they're quite dangerous. We're at an impasse.","You don't know? Then you can't be with the Worm Cult.\n\nThose foul necromancers raided our village last night. We trapped three of their lieutenants in our huts, but they're quite dangerous. We're at an impasse."
"3952276-0-3998","In a word … murder. You've arrived at a delicate time. Pray you don't bring more troubles to our doorstep.\n\nThe vicecanons would know of any newcomers.","In a word … murder. You've arrived at a delicate time. Pray you don't bring more troubles to our doorstep.\n\nThe vicecanons would know of any newcomers."
"3952276-0-1341","Good. Very good. Maybe along the way you would help me make my family proud?\n\nI want to come back from battle with something to remember it by, something I can hang on the wall and tell stories about. I want a war trophy.","Good. Very good. Maybe along the way you would help me make my family proud?\n\nI want to come back from battle with something to remember it by, something I can hang on the wall and tell stories about. I want a war trophy."
"3952276-0-2679","The Elder Scroll of Ghartok has fallen into the hands of the enemy! Heroes are needed to return the scroll to its rightful place.\n\nReturn to me when it is done.","The Elder Scroll of Ghartok has fallen into the hands of the enemy! Heroes are needed to return the scroll to its rightful place.\n\nReturn to me when it is done."
"3952276-0-1346","It's a fight that's long overdue, but it's Clan Murtag's fight, not yours.\n\nYour fight is with the ogres. I need you to kill Skull Crusher and stop the ogres from coming through the mountain.","It's a fight that's long overdue, but it's Clan Murtag's fight, not yours.\n\nYour fight is with the ogres. I need you to kill Skull Crusher and stop the ogres from coming through the mountain."
"3952276-0-2683","I seek heroes to capture the Elder Scroll of Ni-Mohk. It must be torn from the grasp of our foes and brought to one of our keeps.\n\nReturn to me when it is done.","I seek heroes to capture the Elder Scroll of Ni-Mohk. It must be torn from the grasp of our foes and brought to one of our keeps.\n\nReturn to me when it is done."
"20958740-1-7295","I'll go talk to Seryn.","I'll go talk to Seryn."
"3952276-0-2682","It galls me that our enemies hold the Elder Scroll of Mnem in their unworthy clutches. I can stand it no longer. I need heroes to deliver the scroll safely into Pact hands. Will you be among them?","It galls me that our enemies hold the Elder Scroll of Mnem in their unworthy clutches. I can stand it no longer. I need heroes to deliver the scroll safely into Pact hands. Will you be among them?"
"20958740-1-7294","I'll go find them.","I'll go find them."
"3952276-0-2681","We seek the Elder Scroll of Altadoon, currently in the hands of our enemies. It must become ours, its blessings bestowed upon the Pact's soldiers.\n\nWhen it has been captured, return to me.","We seek the Elder Scroll of Altadoon, currently in the hands of our enemies. It must become ours, its blessings bestowed upon the Pact's soldiers.\n\nWhen it has been captured, return to me."
"3952276-0-2680","The enemy has stolen the Elder Scroll of Chim! I need heroes to reclaim it. Can I count you among their number?","The enemy has stolen the Elder Scroll of Chim! I need heroes to reclaim it. Can I count you among their number?"
"20958740-1-7299","I'll find Zanammu in Ald'ruhn.","I'll find Zanammu in Ald'ruhn."
"20958740-1-7298","I'll seek out Zanammu at Ald'ruhn.","I'll seek out Zanammu at Ald'ruhn."
"20958740-1-7297","I'll find Zanammu at Ald'ruhn.","I'll find Zanammu at Ald'ruhn."
"3952276-0-2684","I applaud your attitude, warrior. The mission revolves around the Elder Scroll of Alma Ruma. This mighty relic must be ours! Help us capture it and bring it to a Pact keep.\n\nSee me when the task is done.","I applaud your attitude, warrior. The mission revolves around the Elder Scroll of Alma Ruma. This mighty relic must be ours! Help us capture it and bring it to a Pact keep.\n\nSee me when the task is done."
