"Location","Source","Target"
"15453358-0-175","This is unusual. One might attribute it to Haafingar heraldry, but I think it's far older than Solitude's standard. In the Old Way of the Nords, the She-Wolf embodied commitment and fertility; I suspect this brooch belonged to ancient sword-maiden.","This is unusual. One might attribute it to Haafingar heraldry, but I think it's far older than Solitude's standard. In the Old Way of the Nords, the She-Wolf embodied commitment and fertility; I suspect this brooch belonged to ancient sword-maiden."
"15453358-0-174","A decorative shield boss, Nordic, mid-4th century First Era. Nord shields grew larger over time in the later years of the Nordic Empire, and accomplished warriors began to adorn the center boss with scrollwork and natural designs.","A decorative shield boss, Nordic, mid-4th century First Era. Nord shields grew larger over time in the later years of the Nordic Empire, and accomplished warriors began to adorn the center boss with scrollwork and natural designs."
"15453358-0-177","A longship's steering oar, early 2E 1st century. This one belonged to a successful raiding captain, I think. The runes spell out boasts about the plunder they took during each of the captain's voyages.","A longship's steering oar, early 2E 1st century. This one belonged to a successful raiding captain, I think. The runes spell out boasts about the plunder they took during each of the captain's voyages."
"15453358-0-176","No common warrior could afford a sword-hilt of mammoth ivory. The dragon-head motif also marks this as the heirloom of a royal line. The metal here is bronze, not gold--a weapon of war, not a lord's decoration. This, then, is what's left of a battle-sword belonging to a Nord king or prince from the time of the Ysgramor Dynasty. I wish I could have seen the blade itself. It must have been marvelous. By Nord standards, at least.","No common warrior could afford a sword-hilt of mammoth ivory. The dragon-head motif also marks this as the heirloom of a royal line. The metal here is bronze, not gold--a weapon of war, not a lord's decoration. This, then, is what's left of a battle-sword belonging to a Nord king or prince from the time of the Ysgramor Dynasty. I wish I could have seen the blade itself. It must have been marvelous. By Nord standards, at least."
"15453358-0-171","The runes marked on these small bones can predict the future, if you know how to read them. The augur shakes them up in a bag, then pours them out on the ground, looking for alignments and connections. Casting the runes is a rare talent!","The runes marked on these small bones can predict the future, if you know how to read them. The augur shakes them up in a bag, then pours them out on the ground, looking for alignments and connections. Casting the runes is a rare talent!"
"15453358-0-170","A most curious scroll case. One single piece of carved onyx with no apparent way of opening the cylinder to remove its contents. Sigils etched in silver suggest some connection to ancient Argonian royalty. The few texts we have about Shadowscale mention a protection compact for the old rulers. Such an ornate case could indeed carry such a document. I won't destroy such a unique case, but I see no other way of getting inside.","A most curious scroll case. One single piece of carved onyx with no apparent way of opening the cylinder to remove its contents. Sigils etched in silver suggest some connection to ancient Argonian royalty. The few texts we have about Shadowscale mention a protection compact for the old rulers. Such an ornate case could indeed carry such a document. I won't destroy such a unique case, but I see no other way of getting inside."
"15453358-0-173","Oh, that's immense! The sheer size of the piece makes it clear: this headdress belonged to a Giant … and not just any Giant. Here we see unusually deft workmanship and ornamentation for a Giantish artifact. These tusk-like horns are shaped from mammoth ivory, and the prongs securing them in place are made of hammered gold. Only a Giant of great importance—a high chieftain such as the legendary Sinmur, say—would claim authority over their fellows by wearing anything like a crown!","Oh, that's immense! The sheer size of the piece makes it clear: this headdress belonged to a Giant … and not just any Giant. Here we see unusually deft workmanship and ornamentation for a Giantish artifact. These tusk-like horns are shaped from mammoth ivory, and the prongs securing them in place are made of hammered gold. Only a Giant of great importance—a high chieftain such as the legendary Sinmur, say—would claim authority over their fellows by wearing anything like a crown!"
"15453358-0-172","Now here's something I didn't expect to find in Skyrim: a lord's banner from distant Akavir. Leaders in Akaviri armies fastened these banners to the back of their armor so their soldiers could easily identify them in the thick of the fight.","Now here's something I didn't expect to find in Skyrim: a lord's banner from distant Akavir. Leaders in Akaviri armies fastened these banners to the back of their armor so their soldiers could easily identify them in the thick of the fight."
"15453358-0-179","What have we here? The old sagas of the proto-Nords describe glass-like sunstones that allowed a longship captain to see the sun's location even on a cloudy day, but their secret was lost long ago. Yet here we have a stone as clear as glass--just as the legends claim. The mighty Ysgramor himself was said to have used a stone such as this in his voyages! And these runes inscribed around the stone's perimeter identify it as a gift of great favor from a Nord High King. Truly, a remarkable find!","What have we here? The old sagas of the proto-Nords describe glass-like sunstones that allowed a longship captain to see the sun's location even on a cloudy day, but their secret was lost long ago. Yet here we have a stone as clear as glass--just as the legends claim. The mighty Ysgramor himself was said to have used a stone such as this in his voyages! And these runes inscribed around the stone's perimeter identify it as a gift of great favor from a Nord High King. Truly, a remarkable find!"
"15453358-0-178","Here's a real find! This was a Dragon Cult mask. Dragon Priests believed that they became living vessels of their Dragon-gods' spirits and spoke with divine authority when they donned these masks. An oaken one like this probably belonged to lesser clergy.","Here's a real find! This was a Dragon Cult mask. Dragon Priests believed that they became living vessels of their Dragon-gods' spirits and spoke with divine authority when they donned these masks. An oaken one like this probably belonged to lesser clergy."
"15453358-0-180","A traditional Dematah gaming set, eh? Incomplete, but still lovely. Basalt is a rather heavy and coarse stone for delicate work such as this, but the carver chose a deliberately abstract style for the pieces. Not uncommon in early Dunmer craftsmanship.","A traditional Dematah gaming set, eh? Incomplete, but still lovely. Basalt is a rather heavy and coarse stone for delicate work such as this, but the carver chose a deliberately abstract style for the pieces. Not uncommon in early Dunmer craftsmanship."
"15453358-0-186","Wood Elf work, this. The horn is made from the end of a timber-mammoth tusk, and the mouth-piece is carved bone. The inscribed image depicts a hunting scene, of course. Likely the owner sounded it to mark the start of the chase.","Wood Elf work, this. The horn is made from the end of a timber-mammoth tusk, and the mouth-piece is carved bone. The inscribed image depicts a hunting scene, of course. Likely the owner sounded it to mark the start of the chase."
"15453358-0-185","I can't overstate the magnitude of this discovery. An aetherquartz sphere like this--also known as a calian--is the physical embodiment of a High Elf's honor and status in the High Elf community. I keep mine in a small willow wood box, but it's a fraction of the size and it's completely transparent. Whoever created this one managed to embed a translucent eagle in the rose-colored glass! This had to belong to a Grand Athelan or similarly important religious figure. Marvelous!","I can't overstate the magnitude of this discovery. An aetherquartz sphere like this--also known as a calian--is the physical embodiment of a High Elf's honor and status in the High Elf community. I keep mine in a small willow wood box, but it's a fraction of the size and it's completely transparent. Whoever created this one managed to embed a translucent eagle in the rose-colored glass! This had to belong to a Grand Athelan or similarly important religious figure. Marvelous!"
