"Location","Source","Target"
"90431749-1-257","Verita Numida","Verita Numida"
"90431749-1-258","Gabrielle Benele","Gabrielle Benele"
"90431749-1-259","Amalien","Amalien"
"216271813-0-254","|cFFFFFFChoice Of Tier 5 Crafting Materials|r","|cFFFFFFChoice Of Tier 5 Crafting Materials|r"
"90431749-1-253","Reginus Buca","Reginus Buca"
"90431749-1-254","Verita Numida","Verita Numida"
"90431749-1-255","Amalien","Amalien"
"90431749-1-256","Ugron gro-Thumog","Ugron gro-Thumog"
"217086453-0-159","|c00ffffArms Pack:|r  Nightflame","|c00ffffArms Pack:|r  Nightflame"
"90431749-1-250","Amalien","Amalien"
"217086453-0-158","|c00ffffArms Pack:|r Engine Guardian","|c00ffffArms Pack:|r Engine Guardian"
"90431749-1-251","Gabrielle Benele","Gabrielle Benele"
"217086453-0-157","|c00ffffNew Motif:|r Honor Guard","|c00ffff새로운 모티프:|r 의장대"
"90431749-1-252","Amalien","Amalien"
"217086453-0-156","|c000000|cffd700EVENT:|r Jester's Festival","|c000000|cffd700EVENT:|r Jester's Festival"
"217086453-0-155","|c000000|cffd700EVENT:|r Fifth Year Jubilee","|c000000|cffd700이벤트:|r 5주년 기념제"
"217086453-0-154","|c000000|cffd700EVENT:|r The Impresario","|c000000|cffd700EVENT:|r 단장"
"217086453-0-153","Begin an Epic Adventure","Begin an Epic Adventure"
"217086453-0-152","Uncover Lost Treasure","Uncover Lost Treasure"
"217086453-0-162","The Demon Weapon","The Demon Weapon"
"217086453-0-161","|c00ffffArms Pack:|r Valkyn Skoria","|c00ffffArms Pack:|r Valkyn Skoria"
"66737390-4-49","Talk to King Kurog in Orsinium in Wrothgar","Talk to King Kurog in Orsinium in Wrothgar"
"66737390-4-47","Talk to Drake of Blades in Imperial City","Talk to Drake of Blades in Imperial City"
"66737390-4-48","Talk to Canon Llevule in Vivec City in Vivec's Palace in Vvardenfell","Talk to Canon Llevule in Vivec City in Vivec's Palace in Vvardenfell"
"66737390-4-45","Talk to Drake of Blades in Imperial City","Talk to Drake of Blades in Imperial City"
"26811173-0-10","Sigil Visible","Sigil Visible"
"66737390-4-46","Talk to Drake of Blades in Imperial City","Talk to Drake of Blades in Imperial City"
"216271813-0-258","|c3A92FFRing Choice|r","|c3A92FFRing Choice|r"
"66737390-4-44","Talk to Drake of Blades in Imperial City","Talk to Drake of Blades in Imperial City"
"26811173-0-18","Storm Anchor","Storm Anchor"
"90431749-1-246","Gabrielle Benele","Gabrielle Benele"
"90431749-1-247","Amalien","Amalien"
"216271813-0-263","|cA02EF7Jewelry Enchantment Choice|r","|cA02EF7Jewelry Enchantment Choice|r"
"56558612-21-1","Writ rewards and Waterlogged Psijic Satchels.","Writ rewards and Waterlogged Psijic Satchels."
"90431749-1-249","Reginus Buca","Reginus Buca"
"90431749-1-243","Verita Numida","Verita Numida"
"90431749-1-244","Ugron gro-Thumog","Ugron gro-Thumog"
"217086453-0-149","Dragonbone Conversion","Dragonbone Conversion"
"217086453-0-148","Necromancer","Necromancer"
"217086453-0-147","Pedlar Beckoning","Pedlar Beckoning"
"90431749-1-240","Ugron gro-Thumog","Ugron gro-Thumog"
"217086453-0-146","Feline Hygiene","Feline Hygiene"
"90431749-1-241","Verita Numida","Verita Numida"
"217086453-0-145","Cat Contemplation","Cat Contemplation"
"217086453-0-144","Archaic Lore Tablets","Archaic Lore Tablets"
"217086453-0-143","Ashen Scar Jerboa","Ashen Scar Jerboa"
"217086453-0-142","Blue Dragon Imp","Blue Dragon Imp"
"217086453-0-141","Senche-raht","Senche-raht"
"217086453-0-151","Venture Beneath the Ice","Venture Beneath the Ice"
"217086453-0-150","Uncover the Secret of Malatar","Uncover the Secret of Malatar"
"66737390-4-32","Talk to Regent Cassipia in Craglorn","Talk to Regent Cassipia in Craglorn"
"66737390-4-30","Talk to King Laloriaran Dynar in Coldharbour","Talk to King Laloriaran Dynar in Coldharbour"
"66737390-4-31","Talk to King Laloriaran Dynar in Coldharbour","Talk to King Laloriaran Dynar in Coldharbour"
"66737390-6-1","Talk to Walks-in-Ash in Stonefalls","스톤폴즈에서 워크스-인-애쉬와 대화하기"
"90431749-1-235","Ugron gro-Thumog","Ugron gro-Thumog"
"90431749-1-237","Ugron gro-Thumog","Ugron gro-Thumog"
"216271813-0-231","|cFFFFFFChoice Of Tier 4 Crafting Materials|r","|cFFFFFFChoice Of Tier 4 Crafting Materials|r"
"90431749-1-238","Verita Numida","Verita Numida"
"26811173-0-501","B1 MStrik Snare Tele","B1 MStrik Snare Tele"
"90431749-1-231","Verita Numida","Verita Numida"
"26811173-0-500","Cent Spin Cycle","Cent Spin Cycle"
"90431749-1-232","Ugron gro-Thumog","Ugron gro-Thumog"
"26811173-0-503","Mag Spear Cast","Mag Spear Cast"
"26811173-0-502","Mag Spear Loc","Mag Spear Loc"
"90431749-1-234","Verita Numida","Verita Numida"
"26811173-0-504","Trial-HoF B3 Turn Target","Trial-HoF B3 Turn Target"
"26811173-0-507","Pinions of Nirn","Pinions of Nirn"
"217086453-0-179","The Season of the Dragon","The Season of the Dragon"
"26811173-0-506","Lava Target","Lava Target"
"217086453-0-178","Explore a Lost Province","Explore a Lost Province"
"26811173-0-509","Trial-HoF B3 Turn Target","Trial-HoF B3 Turn Target"
"217086453-0-177","Reforge the Dragonguard","Reforge the Dragonguard"
"26811173-0-508","Inferno Hailfire","Inferno Hailfire"
"167361812-3-1","CRAFT BAG","제작 가방"
"217086453-0-175","Advance the Year-Long Adventure","Advance the Year-Long Adventure"
"217086453-0-174","Seize Glory & Riches","Seize Glory & Riches"
"217086453-0-184","Baandari Pedlar Crate","Baandari Pedlar Crate"
"217086453-0-181","Season of the Dragon","용의 계절"
"66737390-4-69","Talk to Princess Svana in the Blue Palace.","Talk to Princess Svana in the Blue Palace."
"217086453-0-180","Claim Untold Riches","Claim Untold Riches"
"225762485-0-491","Istirus  CTF 10-49","Istirus  CTF 10-49"
"66737390-4-67","Talk to Lord Gharesh-ri in Rimmen in Northern Elsweyr","Talk to Lord Gharesh-ri in Rimmen in Northern Elsweyr"
"225762485-0-490","Istirus  CK 10-49","Istirus  CK 10-49"
"66737390-4-68","Talk to Sai Sahan in the Dragonguard Sanctuary in Southern Elsweyr","Talk to Sai Sahan in the Dragonguard Sanctuary in Southern Elsweyr"
"225762485-0-499","Eld Angavar DOM  10-49","Eld Angavar DOM  10-49"
"225762485-0-498","Eld Angavar Deathmatch 10-49","Eld Angavar Deathmatch 10-49"
"216271813-0-240","|c3A92FFChoice Of Weapons|r","|c3A92FFChoice Of Weapons|r"
"90431749-1-225","Gabrielle Benele","Gabrielle Benele"
"90431749-1-226","Amalien","Amalien"
"26811173-0-512","Bone Cage Anch","Bone Cage Anch"
"216271813-0-243","|cA02EF7Potion Choice|r","|cA02EF7Potion Choice|r"
"90431749-1-220","Amalien","Amalien"
"184479092-20-1","[soldiers' weapons clashing]","[soldiers' weapons clashing]"
"90431749-1-222","Amalien","Amalien"
"26811173-0-513","Conflagration Pyre","Conflagration Pyre"
"90431749-1-223","Amalien","Amalien"
"217086453-0-169","|c00ffffNEW:|r Treasure Hunter Personality","|c00ffffNEW:|r Treasure Hunter Personality"
"26811173-0-518","MB2 Summon Adds","MB2 Summon Adds"
"66737390-15-1","Talk to Tanval Indoril in Stonefalls","스톤폴즈에서 탄발 인도릴과 대화하기"
"217086453-0-168","|c000000|cffd700Battleground:|r New Map","|c000000|cffd700배틀그라운드:|r 새로운 지도"
"217086453-0-167","|c000000|cffd700EVENT:|r Five Year Anniversary","|c000000|cffd700EVENT:|r Five Year Anniversary"
"217086453-0-166","|c000000|cffd700EVENT:|r Five Year Anniversary","|c000000|cffd700EVENT:|r Five Year Anniversary"
"217086453-0-165","|c000000|cffd700EVENT:|r Five Year Anniversary","|c000000|cffd700EVENT:|r Five Year Anniversary"
"217086453-0-164","|c000000|cffd700EVENT:|r Five Year Anniversary","|c000000|cffd700EVENT:|r Five Year Anniversary"
"217086453-0-163","|c000000|cffd700EVENT:|r Five Year Anniversary","|c000000|cffd700EVENT:|r Five Year Anniversary"
"217086453-0-173","Lair of Maarselok","Lair of Maarselok"
"217086453-0-172","Moongrave Fane","Moongrave Fane"
"217086453-0-170","Crown Experience Scroll (x2)","Crown Experience Scroll (x2)"
"225762485-0-482","Eld Angavar Deathmatch","Eld Angavar Deathmatch"
"66737390-4-59","Talk to Xukas in Murkmire","머크마이어의 릴모스에 있는 주카스와 대화하기"
"225762485-0-486","Eld Angavar CK 50","Eld Angavar CK 50"
"66737390-6-9","Talk to Naryu Virian in Deshaan","데샨에서 나류 비리안과 대화하기"
"225762485-0-485","Eld Angavar CTF 50","Eld Angavar CTF 50"
"125568292-0-1","DLC ACCESS","DLC 이용권"
"225762485-0-484","Eld Angavar Chaos ball 50","Eld Angavar Chaos ball 50"
"225762485-0-483","Eld Angavar DOM  50","Eld Angavar DOM  50"
"90431749-1-228","Ugron gro-Thumog","Ugron gro-Thumog"
"66737390-4-50","Talk to Ritemaster Iachesis in Ceporah Tower in Artaeum","Talk to Ritemaster Iachesis in Ceporah Tower in Artaeum"
"225762485-0-489","Istirus  Dom 10-49","Istirus  Dom 10-49"
"90431749-1-229","Amalien","Amalien"
"225762485-0-488","Istirus  Chaosball 10-49","Istirus  Chaosball 10-49"
"225762485-0-487","DM Istirus  10-49","DM Istirus  10-49"
"66737390-6-8","Talk to Naryu Virian in Deshaan","데샨에서 나류 비리안과 대화하기"
"99281989-0-19","Summerfall","Summerfall"
"90431749-1-213","Verita Numida","Verita Numida"
"56558612-12-1","Writ rewards, gunny sacks, and jewelry boxes.","Writ rewards, gunny sacks, and jewelry boxes."
"99281989-0-18","Treasures of Skyrim","Treasures of Skyrim"
"90431749-1-214","Verita Numida","Verita Numida"
"99281989-0-17","Orsinium Celebration","Orsinium Celebration"
"99281989-0-16","New Life Festival","New Life Festival"
"90431749-1-216","Ugron gro-Thumog","Ugron gro-Thumog"
"26811173-0-920","SK6 Chase Anchor 3","SK6 Chase Anchor 3"
"26811173-0-52","Puddle of Bile","Puddle of Bile"
"26811173-0-925","Default Anchor","Default Anchor"
"26811173-0-924","Default Anchor","Default Anchor"
"26811173-0-50","Chosen Ground","Chosen Ground"
"26811173-0-927","Default Anchor","Default Anchor"
"217086453-0-199","|c00cc00SALE:|r Parlor Furnishings","|c00cc00SALE:|r Parlor Furnishings"
"26811173-0-926","Default Anchor","Default Anchor"
"217086453-0-198","|c00ffffNew Offerings:|r Skill Lines","|c00ffff새로운 제공:|r 스킬 라인"
"26811173-0-929","Default Anchor","Default Anchor"
"217086453-0-197","|c00ffffNew Offerings:|r Skyshards","|c00ffff새로운 제공:|r 스카이샤드"
"26811173-0-928","Default Anchor","Default Anchor"
"71626837-0-1","Battle Spirit","Battle Spirit"
"217086453-0-196","Jode's Embrace","Jode's Embrace"
"26811173-0-54","Mystic Boulder","Mystic Boulder"
"99281989-0-22","Tribunal Celebration","Tribunal Celebration"
"99281989-0-21","Thieves Guild/Dark Brotherhood","Thieves Guild/Dark Brotherhood"
"66737390-18-27","Talk to Abbot Durak in Stormhaven","Talk to Abbot Durak in Stormhaven"
"99281989-0-20","Summerset Celebration","Summerset Celebration"
"90431749-1-217","Verita Numida","Verita Numida"
"66737390-18-23","Talk to Darien Gautier in Glenumbra","Talk to Darien Gautier in Glenumbra"
"99281989-0-24","Witches Festival","Witches Festival"
"90431749-1-219","Verita Numida","Verita Numida"
"99281989-0-23","Undaunted Celebration","Undaunted Celebration"
"90431749-1-204","Gabrielle Benele","Gabrielle Benele"
"90431749-1-205","Amalien","Amalien"
"26811173-0-930","Default Anchor","Default Anchor"
"26811173-0-932","FX Anchor Object","FX Anchor Object"
"26811173-0-42","Magicka Focus","Magicka Focus"
