"Location","Source","Target"
"208337109-0-174","Spriggan Green","스프리건 녹색"
"208337109-0-295","Amethyst Violet","자수정 보라"
"208337109-0-173","1G L","1G L"
"208337109-0-294","Potency Blue","힘 파랑"
"208337109-0-176","Woodsman Green","나무꾼 초록"
"208337109-0-175","Jute Green","황마 초록"
"208337109-0-296","Dolmen Deep Blue","돌멘 진청색"
"208337109-0-181","2G L","2G L"
"208337109-0-98","Grand Overlord's Brass","그랜드 오버로드의 황동"
"208337109-0-183","Dominion Vanquisher Green","자치령 정복자 초록"
"208337109-0-182","2G M","2G M"
"208337109-0-95","Antique Brass","앤티크 황동"
"208337109-0-94","Starlight Gold","별빛 골드"
"208337109-0-96","3RYYY D","3RYYY D"
"208337109-0-91","Dwarven Brass","드워븐 황동"
"208337109-0-90","Colossus Brass","콜로서스 황동"
"208337109-0-93","Mastic Yellow","유향수 노랑"
"208337109-0-92","Ayleid Gold","Ayleid 골드"
"208337109-0-167","Falinesti Green","팔리네스티 녹색"
"208337109-0-288","Covenant Conqueror Blue","동맹 정복자 파랑"
"208337109-0-166","3YGG M","3YGG M"
"208337109-0-287","Indoril Blue","인도릴 파랑"
"208337109-0-168","3YGG D","3YGG D"
"208337109-0-283","Covenant Blue","동맹 파랑"
"208337109-0-165","3YGG L","3YGG L"
"208337109-0-286","3B M","3B M"
"208337109-0-285","Covenant Fisher Blue","동맹 어부 파랑"
"208337109-0-88","Hunding Gold","헌딩 골드"
"208337109-0-87","Craftmaster Gold","제작마스터 골드"
"208337109-0-293","1BV L","1BV L"
"208337109-0-89","Dominion Yellow","자치령 노랑"
"208337109-0-86","Hlaalu Gold","할루 골드"
"208337109-0-85","Evermore Gold","에버모어 골드"
"208337109-0-80","Automaton Bronze","오토마톤 브론즈"
"208337109-0-159","2YGG MD","2YGG MD"
"208337109-0-277","New Life Cerulean","새 생명 짙은 청색"
"208337109-0-398","Recipe Reaper Red","조리법 수확자 빨강"
"208337109-0-276","Superior Blue","진청색"
"208337109-0-397","2VRR L","2VRR L"
"208337109-0-158","2YGG M","2YGG M"
"208337109-0-279","Alik'r Lapis","알리키'어 청금석"
"208337109-0-157","Vine Green","덩굴 녹색"
"208337109-0-278","2B M","2B M"
"208337109-0-399","2VRR MD","2VRR MD"
"208337109-0-152","Hunter Green","사냥꾼 녹색"
"208337109-0-151","1YGG MD","1YGG MD"
"208337109-0-272","Nightblades' Indigo","나이트블레이드 남색"
"208337109-0-280","Ransacker Blue","약탈자 파랑"
"208337109-0-160","2YGG D","2YGG D"
"208337109-0-281","Mundus Blue","문두스 파랑"
"208337109-0-149","Explorer Green","탐험가 초록"
"208337109-0-269","1B L","1B L"
"208337109-0-144","3YG D","3YG D"
"208337109-0-265","Abyssal Beryl","심연의 연한 청록색"
"208337109-0-389","1VRR L","1VRR L"
"208337109-0-141","3YG L","3YG L"
"208337109-0-262","3GBBB M","3GBBB M"
"208337109-0-383","3VR MD","3VR MD"
"208337109-0-140","Orichalc Green","오리칼큠 녹색"
"208337109-0-261","3GBBB L","3GBBB L"
"208337109-0-382","3VR M","3VR M"
"208337109-0-143","3YG MD","3YG MD"
"208337109-0-264","3GBBB D","3GBBB D"
"208337109-0-142","Hist Green","히스트 녹색"
"208337109-0-263","Tainted Turquoise","오염된 청록색"
"208337109-0-384","Clothier Purple","의류상의 자주색"
"208337109-0-390","1VRR M","1VRR M"
"208337109-0-150","Battaglir Green","배타글리어 녹색"
"208337109-0-271","Bugloss Blue","버그로스 파란색"
"208337109-0-392","1VRR D","1VRR D"
"208337109-0-270","1B M","1B M"
"208337109-0-391","Mudcrab Maroon","진흙 게 고동색"
"208337109-0-137","Akatosh's Scales Gold","아카토쉬의 비늘 황금"
"208337109-0-134","Nibenay Trout Green","니베나이 트라우트 녹색"
"208337109-0-255","2GBBB MD","2GBBB MD"
"208337109-0-376","2VR D","2VR D"
"208337109-0-133","2YG L","2YG L"
"208337109-0-254","2GBBB M","2GBBB M"
"208337109-0-375","Master Adventurer Purple","달인 탐험가 자주색"
"208337109-0-496","Maormer-Eyes Gray","마오머-눈 회색"
"208337109-0-136","Silvenar Green","실베나 녹색"
"208337109-0-135","Forest Footpad Green","숲 노상강도 초록"
"208337109-0-256","Smith Steel Blue","대장장이 강철 파랑"
"208337109-0-498","Adamantine Silver","단호한 은색"
"208337109-0-372","Epic Violet","장대한 보라"
"208337109-0-493","Moonstone White","월석 하양"
"208337109-0-253","Wisp Blue","위습 파란색"
"208337109-0-374","Dibella's Blush","디벨라의 부끄러움"
"208337109-0-495","2CGRY MD","2CGRY MD"
"208337109-0-373","2VR L","2VR L"
"208337109-0-494","2CGRY M","2CGRY M"
"208337109-0-55","Trolls Fur Brown","트롤 가죽 갈색"
"208337109-0-54","Centurion Metal","센츄리온 메탈"
"208337109-0-381","3VR L","3VR L"
"208337109-0-56","1RYY D","1RYY D"
"208337109-0-50","Magnus Setting Red","매그너스 세팅 빨강"
"208337109-0-53","Novice Tan","초보자의 황갈색"
"208337109-0-127","1YG MD","1YG MD"
"208337109-0-248","Guardian Blue","수호자 파랑"
"208337109-0-369","Slaughterfish Flesh Pink","도살물고기 살점 분홍색"
"208337109-0-126","1YG M","1YG M"
"208337109-0-247","Apprentice Blue","견습생 파랑"
"208337109-0-368","Shein Violet","셰인 보라색"
"208337109-0-128","Gangrene Green","부패한 녹색"
"208337109-0-365","Hyacinth Pink","히아신스 분홍색"
"208337109-0-486","Expert Gray","전문가 회색"
"208337109-0-364","Voidstone Violet","공허석 보라색"
"208337109-0-485","Mort Flesh White","연어 살 하양"
"208337109-0-125","Essence Green","에센스 초록"
"208337109-0-246","1GBBB M","1GBBB M"
"208337109-0-367","1VR MD","1VR MD"
"208337109-0-488","Noxophilic Black","밤의 검정"
"208337109-0-124","Motif Master Brown","모티프 마스터 갈색"
"208337109-0-245","1GBBB L","1GBBB L"
"208337109-0-366","1VR M","1VR M"
"208337109-0-487","Tombstone Gray","묘비 회색"
"208337109-0-48","3RY D","3RY D"
"208337109-0-240","3GBB D","3GBB D"
"208337109-0-361","Grand Warlord's Violet","위대한 장군 보라색"
"208337109-0-47","Champion Red","챔피언 빨간색"
"208337109-0-360","Nightshade Purple","가지꽃 자주색"
"208337109-0-481","Julianos White","줄리아노스 하양"
"208337109-0-120","Dominion Conqueror Yellow","자치령 정복자의 황색"
"208337109-0-43","Ruby Throne Red","루비 왕좌 빨간색"
"208337109-0-46","Kresh Flower Red","크레시 꽃 빨간색"
"208337109-0-45","3RY L","3RY L"
"208337109-0-40","2RY D","2RY D"
"208337109-0-42","Syffim Red","사이핌의 붉은색"
"208337109-0-119","Alchemist Bilious","칙칙한 연금술사"
"208337109-0-237","3GBB L","3GBB L"
"208337109-0-358","3V M","3V M"
"208337109-0-479","Prefect's Gray","완벽의 회색"
"208337109-0-357","3V L","3V L"
"208337109-0-478","Polished Steel Gray","광나는 강철 회색"
"208337109-0-118","3Y M","3Y M"
"208337109-0-239","Eyevea Blue","아이베아 파란색"
"208337109-0-117","Dominion Fisher Yellow","자치령 어부 노랑"
"208337109-0-238","3GBB M","3GBB M"
"208337109-0-359","3V MD","3V MD"
"208337109-0-112","2Y D","2Y D"
"208337109-0-111","Wyrd Tree Green","위어드 나무 초록"
"208337109-0-232","2GBB D","2GBB D"
"208337109-0-235","Arcane Blue","신비로운 파랑"
"208337109-0-477","3GRY L","3GRY L"
"208337109-0-5","Forge Ember Red","대장간 잉걸불 빨간색"
"208337109-0-592","Rank 8 Materials","8 등급 재료"
"208337109-0-350","2V M","2V M"
"208337109-0-471","Windhelm Steel","윈드헬름 강철"
"208337109-0-6","Oblivion Vermilion","오블리비언 주황색"
"208337109-0-591","Rank 7 Materials","7 등급 재료"
"208337109-0-470","Tower White-Gold","탑 백금"
"208337109-0-7","1R MD","1R MD"
"208337109-0-594","Rank 10 Materials","10 등급 재료"
"208337109-0-110","Woodworker Yellow","목공인의 노랑"
"208337109-0-231","2GBB MD","2GBB MD"
"208337109-0-352","Pillager Purple","약탈자 자주색"
"208337109-0-473","Lamae's White","라마에의 하양"
"208337109-0-8","Captain's Violet","지휘관의 보라색"
"208337109-0-593","Rank 9 Materials","9 등급 재료"
"208337109-0-230","2GBB M","2GBB M"
"208337109-0-351","2V MD","2V MD"
"208337109-0-472","Thalmor Black","탈모어 검정"
"208337109-0-77","Master Gold","마스터 골드"
"208337109-0-76","Nirncrux Red","넌크룩스 빨강"
"208337109-0-79","1RYYY MD","1RYYY MD"
"208337109-0-480","3GRY D","3GRY D"
"208337109-0-78","Templars' Last Dawn","템플러의 마지막 여명"
"208337109-0-72","3RYY D","3RYY D"
"208337109-0-75","Warlord's Red","전쟁군주의 빨강"
"208337109-0-74","General's Gold","장군의 골드"
"208337109-0-71","Enchanter Tangerine","마법부여가 감귤"
"208337109-0-70","Senche-Tiger Orange","센치-호랑이 오렌지"
"208337109-0-109","Sulfur Pools Yellow","황의 풀 노랑"
"208337109-0-229","Netch Jelly Blue","넷치 해파리 파란색"
"208337109-0-589","Rank 5 Materials","5 등급 재료"
"208337109-0-588","Rank 4 Materials","4 등급 재료"
"208337109-0-104","Corporal's Green","Coporal의 초록"
"208337109-0-349","Ironweed Violet","국화 보라"
"208337109-0-469","2GRY L","2GRY L"
"208337109-0-585","Rank 1 Materials","1 등급 재료"
"208337109-0-101","Quester Yellow","퀘스터의 노랑"
"208337109-0-222","Motif Pattern Blue","모티프 패턴 파란색"
"208337109-0-343","Adept Purple","능숙한 자주색"
"208337109-0-464","Obsidian Black","흑요석 검정"
"208337109-0-584","Nacreous Purple","진주 보라색"
"208337109-0-100","Atmoran Bronze","Atmoran 브론즈"
"208337109-0-221","1GBB L","1GBB L"
"208337109-0-342","1V M","1V M"
"208337109-0-463","Boethiah Gray","보에시아 회색"
"208337109-0-587","Rank 3 Materials","3 등급 재료"
"208337109-0-103","Restorative Gold","원기 회복적인 골드"
"208337109-0-224","1GBB D","1GBB D"
"208337109-0-466","Lycanthrope Gray","이리인간 회색"
"208337109-0-586","Rank 2 Materials","2 등급 재료"
"208337109-0-102","Dragonthorn Yellow","드래곤쏜 노랑"
"208337109-0-223","Mages Guild Blue","메이지 길드 파란색"
"208337109-0-344","1V D","1V D"
"208337109-0-581","Cranberry Red","크랜베리 빨강"
"208337109-0-69","Deceit Orange","기만의 오렌지"
"208337109-0-580","Black is the Darkest Gray","검정은 제일 어두운 회색이다"
"208337109-0-583","Roasted Yellow Squash","구운 노란 호박"
"208337109-0-341","1V L","1V L"
"208337109-0-462","Volunteer's Iron","지원자의 강철"
"208337109-0-582","Baked Ash Yam Orange","구운 화산재 참마 주황"
"208337109-0-461","Birch White","자작나무 하양"
"208337109-0-68","Sigil Orange","시질 오렌지"
"208337109-0-590","Rank 6 Materials","6 등급 재료"
"208337109-0-62","Riften Copper","리프튼 구리"
"208337109-0-61","2RYY L","2RYY L"
"208337109-0-64","2RYY D","2RYY D"
"208337109-0-63","2RYY MD","2RYY MD"
"208337109-0-215","3GB MD","3GB MD"
"208337109-0-336","3BVV D","3BVV D"
"208337109-0-457","Scaled Court Brown","스케일드 궁정 갈색"
"208337109-0-578","Bloodroot Wine","혈근초 와인"
"208337109-0-214","3GB M","3GB M"
"208337109-0-335","3BVV MD","3BVV MD"
"208337109-0-456","Brewer's Ale Brown","양조사의 맥주 갈색"
"208337109-0-577","Stormlord's Lightning","폭풍왕의 번개"
"208337109-0-217","Aurora Green","오로라 녹색"
"208337109-0-338","Contraband Violet","밀수품 보라색"
"208337109-0-216","3GB D","3GB D"
"208337109-0-579","Week-Old Bruise Purple","일주일 된 멍 자주색"
"208337109-0-19","Pact Blood Red","동맹의 핏빛 적색"
"208337109-0-453","Provisioner Brown","식량 담당자 갈색"
"208337109-0-574","Vehk's Mystic Blue","비백의 신비 파란색"
"208337109-0-573","Warden's Moss Green","파수꾼의 이끼 녹색"
"208337109-0-213","Welkynd Blue","웰킨드 파란색"
"208337109-0-334","3BVV M","3BVV M"
"208337109-0-455","Pact Vanquisher Brown","협정 정복자 갈색"
"208337109-0-576","Pit Daemon's Poison","지옥 악마의 독"
"208337109-0-333","3BVV L","3BVV L"
"208337109-0-454","3CBRN M","3CBRN M"
"208337109-0-575","Fire Drake's Flame","화염용의 불꽃"
"208337109-0-15","Khenarthi Red","키나레스의 붉은색"
"208337109-0-570","Crown Gold","왕관 금색"
"208337109-0-14","2R","2R"
"208337109-0-572","Elven Gore Red","엘프의 피 붉은색"
