"Location","Source","Target"
"152988005-123-1","Macedonia","마케도니아"
"152988005-169-1","Portugal","포르투갈"
"152988005-100-1","Ireland","아일랜드"
"152988005-81-1","Greece","그리스"
"152988005-20-1","Belgium","벨기에"
"152988005-66-1","Eritrea","에리트레아"
"152988005-206-1","Sweden","스웨덴"
"152988005-43-1","Chile","칠레"
"152988005-146-1","Nauru","나우루"
"152988005-108-1","Kazakhstan","카자흐스탄"
"152988005-89-1","Guinea-Bissau","기니 비사우"
"152988005-28-1","Botswana","보츠와나"
"152988005-232-1","Vietnam","베트남"
"152988005-8-1","Antigua and Barbuda","앤티가바부다"
"152988005-217-1","Turkey","터키"
"152988005-161-1","Palestine","팔레스타인"
"152988005-184-1","Samoa","사모아"
"152988005-0-1","Afghanistan","아프가니스탄"
"152988005-112-1","Kyrgyzstan","키르기스"
"152988005-158-1","Oman","오만"
"152988005-70-1","Faroe Islands","페로 제도"
"152988005-55-1","Czech Republic","체코"
"152988005-93-1","Honduras","온두라스"
"152988005-32-1","Brunei","브루나이"
"152988005-135-1","Mexico","멕시코"
"152988005-78-1","Germany","독일"
"152988005-17-1","Bangladesh","방글라데시"
"152988005-220-1","Tuvalu","투발루"
"152988005-228-1","Uzbekistan","우즈베키스탄"
"152988005-173-1","Republic of the Gambia","감비아"
"152988005-196-1","Solomon Islands","솔로몬제도"
"152988005-150-1","New Zealand","뉴질랜드"
"152988005-101-1","Isle of Man","맨 섬"
"152988005-42-1","Chad","차드"
"152988005-65-1","Equatorial Guinea","적도 기니"
"152988005-88-1","Guinea","기니"
"152988005-207-1","Switzerland","스위스"
"152988005-124-1","Madagascar","마다가스카르"
"152988005-147-1","Nepal","네팔"
"152988005-109-1","Kenya","케냐"
"152988005-27-1","Bosnia and Herzegovina","보스니아 헤르체고비나"
"152988005-231-1","Venezuela","베네수엘라"
"152988005-7-1","Anguilla","앵귈라"
"152988005-216-1","Tunisia","튀니지"
"152988005-162-1","Panama","파나마"
"152988005-185-1","San Marino","산마리노"
"152988005-91-1","Haiti","아이티"
"152988005-159-1","Pakistan","파키스탄"
"152988005-31-1","British Virgin Islands","영국령 버진아일랜드"
"152988005-54-1","Cyprus","키프로스"
"152988005-77-1","Georgia","조지아"
"152988005-92-1","Heard Island","허드 제도"
"152988005-197-1","Somalia","소말리아"
"152988005-113-1","Laos","라오스"
"152988005-136-1","Micronesia","미크로네시아"
"152988005-16-1","Bahrain","바레인"
"152988005-39-1","Cape Verde","카보베르데"
"152988005-227-1","Uruguay","우루과이"
"152988005-174-1","Romania","루마니아"
"152988005-80-1","Gibraltar","지브롤터"
"152988005-151-1","Nicaragua","니카라과"
"152988005-83-1","Grenada","그레나다"
"152988005-144-1","Myanmar","미얀마"
"152988005-60-1","Dominican Republic","도미니카 공화국"
"152988005-121-1","Luxembourg","룩셈부르크"
"152988005-22-1","Benin","베냉"
"152988005-167-1","Pitcairn Islands","핏케언 제도"
"152988005-204-1","Svalbard and Jan Mayen","스발바르 얀마옌 제도"
"152988005-106-1","Jersey","제르제"
"152988005-45-1","Christmas Island","크리스마스 섬"
"152988005-68-1","Ethiopia","에티오피아"
"152988005-129-1","Malta","몰타"
"152988005-211-1","Thailand","태국"
"152988005-234-1","Yemen","예멘"
"152988005-182-1","Saint Vincent and the Grenadines","세인트빈센트 그레나딘"
"152988005-6-1","Angola","앙골라"
"152988005-219-1","Turks and Caicos Islands"," \n터크스 케이커스 제도 "
"152988005-156-1","Northern Mariana Islands","북마리아나 제도"
"152988005-179-1","Saint Kitts and Nevis","세인트키츠 네비스"
"152988005-72-1","Finland","핀란드"
"152988005-133-1","Mauritius","모리셔스"
"152988005-110-1","Kiribati","키리바시"
"152988005-11-1","Aruba","아루바"
"152988005-95-1","Hungary","헝가리"
"152988005-34-1","Burkina Faso","부르키나파소"
"152988005-57-1","Denmark","덴마크"
"152988005-118-1","Libya","리비야"
"152988005-19-1","Belarus","벨라루스"
"152988005-222-1","Uganda","우간다"
"152988005-171-1","Qatar","콰타르"
"152988005-194-1","Slovakia","슬로바키아"
"152988005-122-1","Macao","마카오"
"152988005-145-1","Namibia","나미비아"
"152988005-168-1","Poland","폴란드"
"152988005-82-1","Greenland","그린란드"
"152988005-44-1","China","중국"
"152988005-21-1","Belize","벨리즈"
"152988005-205-1","Swaziland","스와질란드"
"152988005-107-1","Jordan","요르단"
"152988005-67-1","Estonia","에스토니아"
"152988005-29-1","Brazil","브라질"
"152988005-210-1","Tanzania","탄자니아"
"152988005-233-1","Wallis and Futuna","월리스푸투나"
"152988005-160-1","Palau","팔라우"
"152988005-183-1","Saint-Martin","생마르탱"
"152988005-5-1","Andorra","안도라"
"152988005-218-1","Turkmenistan","투르크메니스탄"
"152988005-111-1","Kuwait","쿠웨이트"
