"Location","Source","Target"
"151638485-0-334","/colder","/colder"
"3427285-4-24","EMOTE: |c22ADDCidle4","감정표현: |c22ADDCidle4"
"151638485-0-333","/bow2","/bow2"
"3427285-4-23","EMOTE: |c22ADDCeat3","감정표현: |c22ADDCeat3"
"151638485-0-578","/crouch","/crouch"
"3427285-4-22","EMOTE: |c22ADDCjuggleflame","감정표현: |c22ADDC불놀이"
"151638485-0-335","/bdcake","/bdcake"
"3427285-4-21","WALK","걷기"
"151638485-0-572","/kissfrog","/kissfrog"
"151638485-0-571","/warmhands","/warmhands"
"151638485-0-332","/letterlookup","/letterlookup"
"151638485-0-573","/mimewall","/mimewall"
"151638485-0-331","/letter","/letter"
"151638485-0-570","/guarstomp","/guarstomp"
"139475237-0-428","Sigh","한숨"
"139475237-0-427","Stretch","스트레칭"
"139475237-0-669","Augury Idle","Augury Idle"
"139475237-0-426","Bouncy Idle","Bouncy 아무것도 안 하기"
"139475237-0-668","Antiquities Idle","Antiquities Idle"
"139475237-0-425","Stretch","스트레칭"
"139475237-0-429","No","거부"
"139475237-0-420","JOG","조깅"
"139475237-0-662","PERS: Accursed Look Left","PERS: Accursed Look Left"
"139475237-0-661","PERS: Accursed Death Eating","PERS: Accursed Death Eating"
"139475237-0-660","Super Duper Praying","Super Duper Praying"
"3427285-4-19","WALK","걷기"
"3427285-4-18","EMOTE: |c22ADDCBow|r","감정표현: |c22ADDCBow|r"
"139475237-0-424","RUN PREVIEW","달리기 미리보기"
"139475237-0-666","PERS: Accursed Look Right","PERS: Accursed Look Right"
"151638485-0-338","/sitchair","/sitchair"
"3427285-4-17","EMOTE:  |c22ADDCKneel|r","감정표현:  |c22ADDCKneel|r"
"139475237-0-423","JOG","조깅"
"139475237-0-665","[Antiquities] Digging","[유물] 발굴하는 중"
"151638485-0-579","/take","/take"
"151638485-0-337","/greet","/greet"
"3427285-4-16","WALK","걷기"
"139475237-0-422","WALK","걷기"
"139475237-0-664","[Antiquities] Scrying","[Antiquities] Scrying"
"3427285-4-15","WALK","걷기"
"139475237-0-421","RUN PREVIEW","달리기 미리보기"
"139475237-0-663","PERS: Accursed Death Howl","PERS: Accursed Death Howl"
"151638485-0-339","/laugh","/laugh"
"3427285-4-14","EMOTE: |c22ADDCIdle2|r","감정표현: |c22ADDC대기2|r"
"151638485-0-565","/pedlarbeckoning","/pedlarbeckoning"
"151638485-0-564","/felinehygiene","/felinehygiene"
"151638485-0-567","/gladiatortaunt","/gladiatortaunt"
"151638485-0-566","/cardsharp","/cardsharp"
"151638485-0-561","/juggleteeba2","/juggleteeba2"
"151638485-0-560","/juggleteeba1","/juggleteeba1"
"151638485-0-563","/catcontemplation","/catcontemplation"
"151638485-0-562","/juggleteeba3","/juggleteeba3"
"139475237-0-417","WALK PREVIEW","걷기 미리보기"
"139475237-0-659","Psijic Cosmic Starburst","Psijic Cosmic Starburst"
"139475237-0-416","WALK PREVIEW","걷기 미리보기"
"139475237-0-415","WALK PREVIEW","걷기 미리보기"
"139475237-0-657","Play Tiny Violin","Play Tiny Violin"
"139475237-0-414","Duchess Idle3","Duchess 아무것도 안 하기 3"
"139475237-0-656","Bite Me","Bite Me"
"139475237-0-419","WALK","걷기"
"139475237-0-418","JOG PREVIEW","조깅 미리보기"
"139475237-0-650","Tame Lightning","Tame Lightning"
"139475237-0-413","Duchess Idle 2","Duchess 아무것도 안 하기 2"
"151638485-0-569","/handpuppet","/handpuppet"
"151638485-0-568","/mimetugofwar","/mimetugofwar"
"139475237-0-411","JOG PREVIEW","조깅 미리보기"
"139475237-0-410","WALK PREVIEW","걷기 미리보기"
"139475237-0-652","Ponder Poorly Drawn Map","Ponder Poorly Drawn Map"
"151638485-0-554","/festivebellring","/festivebellring"
"151638485-0-553","/mistletoeposterior","/mistletoeposterior"
"151638485-0-556","/greetbrightthroat","/greetbrightthroat"
