"Location","Source","Target"
"206046340-0-19010","Soothes the savage beast.","Soothes the savage beast."
"52183620-0-600","Acquired from New Life Gift Boxes.","새 생명 선물 상자에서 획득합니다."
"52183620-0-601","Acquired from New Life Festival Boxes.","새 생명 축제 상자에서 획득합니다."
"52183620-0-602","Obtained by assisting the Dead-Water Tribe in Murkmire.","Obtained by assisting the Dead-Water Tribe in Murkmire."
"206046340-0-33317","Increases your Spell Damage by <<1>>.","Increases your Spell Damage by <<1>>."
"50040644-0-9535","@UCooldown@<<1>>@<<2>>","@UCooldown@<<1>>@<<2>>"
"206046340-0-72935","Increases your Stamina Recovery by <<1>>.","Increases your Stamina Recovery by <<1>>."
"206046340-0-72933","Increases your Spell Damage by <<1>>.","Increases your Spell Damage by <<1>>."
"206046340-0-32037","Take <<1>> every <<2>> over <<3>>, with healing reduced by 50% and Health Regen reduced by 50% for 6 seconds.","Take <<1>> every <<2>> over <<3>>, with healing reduced by 50% and Health Regen reduced by 50% for 6 seconds."
"206046340-0-72932","Increases your Magicka Recovery by <<1>>.","Increases your Magicka Recovery by <<1>>."
"206046340-0-72936","Increases your Weapon Damage by <<1>>.","Increases your Weapon Damage by <<1>>."
"206046340-0-33363","Reduces your Spell Resistance by <<1>>.","Reduces your Spell Resistance by <<1>>."
"206046340-0-32036","Take <<1>> every <<2>> while in the impact area, with healing reduced by 50% and Health Regen reduced by 50% for 6 seconds.","Take <<1>> every <<2>> while in the impact area, with healing reduced by 50% and Health Regen reduced by 50% for 6 seconds."
"206046340-0-72928","Increases your Health Recovery by <<1>>.","Increases your Health Recovery by <<1>>."
"224875171-0-1099","House, Huge, Private Island, Island, Volcano, Grahtwood","House, Huge, Private Island, Island, Volcano, Grahtwood"
"171157587-0-1820","Style Parlor,Adornment,Adornments,Style Parlor,Appearance,Character,Customization,Jewelry,Earrings,Brow,Lashes,Veil,Coronet,Circlet,Eye,Flowers,","Style Parlor,Adornment,Adornments,Style Parlor,Appearance,Character,Customization,Jewelry,Earrings,Brow,Lashes,Veil,Coronet,Circlet,Eye,Flowers,"
"171157587-0-1821","Style Parlor,Adornment,Adornments,Style Parlor,Appearance,Character,Customization,Jewelry,Earrings,Brow,Lashes,Veil,Coronet,Circlet,Eye,Flowers,","Style Parlor,Adornment,Adornments,Style Parlor,Appearance,Character,Customization,Jewelry,Earrings,Brow,Lashes,Veil,Coronet,Circlet,Eye,Flowers,"
