"Location","Source","Target"
"207758933-10-2067","Chromite Ore","크로마이트 광석"
"207758933-10-2066","Tundra Cotton","툰드라 목화"
"207758933-10-2065","Bristlecone Wood","브리슬콘 나무"
"99527054-0-37954","Grocer","식료품상"
"200521140-0-10532","Scouting","Scouting"
"200521140-0-11861","Scouting","Scouting"
"99527054-0-33594","Blacksmith","대장장이"
"99527054-0-33590","Clothier","재봉사"
"200521140-0-10536","Scouting","Scouting"
"200521140-0-10537","Scouting","Scouting"
"200521140-0-10534","Scouting","Scouting"
"200521140-0-10535","Scouting","Scouting"
"99527054-0-45562","Enchanter","마법부여가"
"99527054-0-45561","Alchemist","연금술사"
"99527054-0-32248","Innkeeper","여관주인"
"200521140-0-10543","Scouting","Scouting"
"200521140-0-10544","Scouting","Scouting"
"99527054-0-13987","Clothier","재봉사"
"200521140-0-10542","Scouting","Scouting"
"99527054-0-37938","Merchant","상인"
"99527054-0-33583","Leatherworker","가죽세공사"
"99527054-0-62918","Guild Trader","길드 상인"
"99527054-0-33581","Brewer","양조사"
"148355781-0-81996","Novice","초심자"
"200521140-0-10549","Scouting","Scouting"
"148355781-0-81998","Novice","초보자"
"200521140-0-10547","Scouting","Scouting"
"200521140-0-10548","Scouting","Scouting"
"200521140-0-10545","Scouting","Scouting"
"148355781-0-81994","Novice","초심자"
"200521140-0-10546","Scouting","Scouting"
"99527054-0-41195","Merchant","상인"
"99527054-0-71880","The Bequeather","The Bequeather"
"148355781-0-71742","Novice","Novice"
"99527054-0-56249","Mystic","신비술사"
"99527054-0-33569","Tailor","의류상"
"148355781-0-71740","Novice","Novice"
"99527054-0-33567","Armorer","갑옷장인"
"99527054-0-33575","Woodworker","목세공사"
"200521140-0-10552","Scouting","Scouting"
"99527054-0-13954","Banker","은행원"
"200521140-0-10550","Scouting","Scouting"
"99527054-0-56251","Mystic","신비술사"
"200521140-0-10551","Scouting","Scouting"
"99527054-0-56252","Merchant","상인"
"131421317-0-5","Items","아이템"
"196014052-0-17906","Crusher","분쇄자"
"131421317-0-6","Enchanted Weapons and Armor","마법부여된 무기와 방어구"
"131421317-0-7","Combat","전투"
"196014052-0-17904","Befouled Weapon","더러워진 무기"
"131421317-0-8","Contacts","의사소통"
"99527054-0-41189","Armorer","갑옷장인"
"99527054-0-56250","Merchant","상인"
"200521140-0-10558","Scouting","Scouting"
"131421317-0-9","Player Guilds","길드"
"196014052-0-17902","Poisoned Weapon","독성 무기"
"200521140-0-10559","Scouting","Scouting"
"200521140-0-10556","Scouting","Scouting"
"99527054-0-62920","Fence","장물아비"
"200521140-0-10557","Scouting","Scouting"
"99527054-0-62921","Fence","장물아비"
"196014052-0-118279","|ce60000CRIMINAL ACT|r","|ce60000CRIMINAL ACT|r"
"99527054-0-41188","Chef","주방장"
"131421317-0-2","Player Basics","플레이어 기본사항"
"148355781-0-71738","Novice","Novice"
"131421317-0-4","Character Progression","캐릭터의 성장"
"148355781-0-71736","Novice","Novice"
"200521140-0-21216","Ritual Destroyed In","Ritual Destroyed In"
"99527054-0-33557","Chef","주방장"
"99527054-0-37920","Chef","주방장"
"99527054-0-33555","Weaponsmith","무기장인"
"99527054-0-71877","Lady of Lace","Lady of Lace"
"99527054-0-62933","Chef","주방장"
