"Location","Source","Target"
"63937076-0-183","The window of opportunity lapsed.","The window of opportunity lapsed."
"63937076-0-182","You obtained the treasure before the buyers left!","You obtained the treasure before the buyers left!"
"63937076-0-184","Steal gems and get back before time runs out!","Steal gems and get back before time runs out!"
"63937076-0-187","Search for the treasure and avoid enemy detection!","Search for the treasure and avoid enemy detection!"
"63937076-0-186","You obtained the treasure before the buyers left!","You obtained the treasure before the buyers left!"
"63937076-0-189","You obtained the treasure before time ran out!","You obtained the treasure before time ran out!"
"63937076-0-188","The window of opportunity lapsed.","The window of opportunity lapsed."
"63937076-0-181","Keep Searching for the Treasure's Location","Keep Searching for the Treasure's Location"
"63937076-0-180","Theater of Despair","절망의 극장"
"63937076-0-190","You obtained the treasure before time ran out!","You obtained the treasure before time ran out!"
"63937076-0-191","You obtained the treasure before time ran out!","You obtained the treasure before time ran out!"
"155022052-0-7","|cFFFFFFTransitus Shrines|r allow you to |cFFFFFFfast travel|r in Cyrodiil. Approach a |cFFFFFFTransitus Shrine|r and press <<1>>, then select a |cFFFFFFkeep|r|t42:42:EsoUI/Art/Icons/mapKey/mapKey_keep.dds|t or |cFFFFFFoutpost|r|t42:42:EsoUI/Art/Icons/mapKey/mapKey_outpost.dds|t  on your map with an |cFFFFFFunbroken link|r between where you are and where you want to |cFFFFFFfast travel|r.","|cFFFFFF운송 성소|r는 시로딜에서 |cFFFFFF빠른 이동|r을 할 수 있게 해줍니다. |cFFFFFF운송 성소|r에 다가가서 <<1>>을(를) 누르고, 지도에서 |cFFFFFF성채|r|t42:42:EsoUI/Art/Icons/mapKey/mapKey_keep.dds|t 나 |cFFFFFF전초기지|r|t42:42:EsoUI/Art/Icons/mapKey/mapKey_outpost.dds|t 를 선택하세요. 당신이 있는 장소와 |cFFFFFF빠른 이동|r을 하려는 장소 사이에 있는 연결은 |cFFFFFF끊어지지 않고 이어진|r  상태여야 합니다."
"155022052-0-9","Press <<1>> to stalk your victim.","<<1>>번을 눌러 당신의 희생자를 미행합니다."
"155022052-0-8","Use the |cFFFFFFmouse|r to |cFFFFFFAim|r your siege weapon.\n\nPress <<1>> to |cFFFFFFFire|r your siege weapon.\n\nPress <<2>> to |cFFFFFFStow|r your siege weapon.\n\nPress <<3>> to |cFFFFFFExit|r your siege weapon.","|cFFFFFF마우스|r를 사용하여 공성 무기를 |cFFFFFF조준|r하십시오.\n\n<<1>>을(를) 눌러 공성 무기를 |cFFFFFF발사|r하십시오.\n\n<<2>>을(를) 눌러 공성 무기를 |cFFFFFF수납|r하십시오.\n\n<<3>>을(를) 눌러 공성 무기 사용을 |cFFFFFF종료|r하십시오."
"39248996-0-406","90 seconds until Steam Suppression","90 seconds until Steam Suppression"
"39248996-0-407","60 seconds until Steam Suppression","60 seconds until Steam Suppression"
"39248996-0-404","A fellow skeevaton has been scrapped.","A fellow skeevaton has been scrapped."
"39248996-0-405","2:00 until Steam Suppression","2:00 until Steam Suppression"
"39248996-0-402","A Dark Orb has been summoned!","A Dark Orb has been summoned!"
