"Location","Source","Target"
"200697509-0-435","Helmet of Torug's Pact","Helmet of Torug's Pact"
"200697509-0-1749","Sload's Helmet","Sload's Helmet"
"200697509-0-436","Guards of Torug's Pact","Guards of Torug's Pact"
"200697509-0-1748","Sload's Bracers","Sload's Bracers"
"200697509-0-437","Arm Cops of Torug's Pact","Arm Cops of Torug's Pact"
"200697509-0-438","Belt of Torug's Pact","Belt of Torug's Pact"
"200697509-0-439","Shield of Torug's Pact","Shield of Torug's Pact"
"200697509-0-1741","Sload's Hat","Sload's Hat"
"200697509-0-1740","Sload's Gloves","Sload's Gloves"
"200697509-0-1743","Sload's Epaulets","Sload's Epaulets"
"200697509-0-430","Sash of Torug's Pact","Sash of Torug's Pact"
"200697509-0-1742","Sload's Breeches","Sload's Breeches"
"200697509-0-431","Bow of Torug's Pact","Bow of Torug's Pact"
"200697509-0-1745","Sload's Bow","Sload's Bow"
"200697509-0-432","Jack of Torug's Pact","Jack of Torug's Pact"
"200697509-0-1744","Sload's Sash","Sload's Sash"
"200697509-0-433","Boots of Torug's Pact","Boots of Torug's Pact"
"200697509-0-1747","Sload's Boots","Sload's Boots"
"200697509-0-434","Bracers of Torug's Pact","Bracers of Torug's Pact"
"200697509-0-1746","Sload's Jack","Sload's Jack"
"200697509-0-446","Sword of Hist Bark","Sword of Hist Bark"
"200697509-0-1738","Sload's Shirt","Sload's Shirt"
"200697509-0-447","Battle Axe of Hist Bark","Battle Axe of Hist Bark"
"200697509-0-1737","Sload's Robe","Sload's Robe"
"200697509-0-448","Maul of Hist Bark","Maul of Hist Bark"
"200697509-0-449","Greatsword of Hist Bark","Greatsword of Hist Bark"
"200697509-0-1739","Sload's Shoes","Sload's Shoes"
"200697509-0-1730","Sload's Cuirass","Sload's Cuirass"
"200697509-0-440","Inferno Staff of Torug's Pact","Inferno Staff of Torug's Pact"
"200697509-0-1732","Sload's Gauntlets","Sload's Gauntlets"
"200697509-0-441","Ice Staff of Torug's Pact","Ice Staff of Torug's Pact"
"200697509-0-1731","Sload's Sabatons","Sload's Sabatons"
"200697509-0-442","Lightning Staff of Torug's Pact","Lightning Staff of Torug's Pact"
"200697509-0-1734","Sload's Greaves","Sload's Greaves"
"200697509-0-443","Restoration Staff of Torug's Pact","Restoration Staff of Torug's Pact"
"200697509-0-1733","Sload's Helm","Sload's Helm"
"200697509-0-444","Axe of Hist Bark","Axe of Hist Bark"
"200697509-0-1736","Sload's Girdle","Sload's Girdle"
"200697509-0-445","Mace of Hist Bark","Mace of Hist Bark"
"200697509-0-1735","Sload's Pauldron","Sload's Pauldron"
"38727365-0-498","Yandir's Might","Yandir's Might"
"38727365-0-499","Perfected Yandir's Might","Perfected Yandir's Might"
"38727365-0-494","Vrol's Command","Vrol's Command"
"38727365-0-495","Perfected Vrol's Command","Perfected Vrol's Command"
"38727365-0-496","Roaring Opportunist","Roaring Opportunist"
"200697509-0-1761","Nocturnal's Favored Sword","Nocturnal's Favored Sword"
"38727365-0-497","Perfected Roaring Opportunist","Perfected Roaring Opportunist"
"200697509-0-1760","Nocturnal's Favored Mace","Nocturnal's Favored Mace"
"200697509-0-897","Epaulets of Redistribution","Epaulets of Redistribution"
"200697509-0-413","Battle Axe of Torug's Pact","Battle Axe of Torug's Pact"
"200697509-0-898","Sash of Redistribution","Sash of Redistribution"
"200697509-0-414","Maul of Torug's Pact","Maul of Torug's Pact"
"200697509-0-899","Bow of Redistribution","Bow of Redistribution"
"200697509-0-415","Greatsword of Torug's Pact","Greatsword of Torug's Pact"
"200697509-0-416","Dagger of Torug's Pact","Dagger of Torug's Pact"
"200697509-0-417","Cuirass of Torug's Pact","Cuirass of Torug's Pact"
"200697509-0-418","Sabatons of Torug's Pact","Sabatons of Torug's Pact"
"200697509-0-419","Gauntlets of Torug's Pact","Torug's Pact: 건틀렛"
"200697509-0-1763","Nocturnal's Favored Maul","Nocturnal's Favored Maul"
"200697509-0-890","Girdle of Redistribution","Girdle of Redistribution"
"200697509-0-1762","Nocturnal's Favored Battle Axe","Nocturnal's Favored Battle Axe"
"200697509-0-891","Robe of Redistribution","Robe of Redistribution"
"200697509-0-1765","Nocturnal's Favored Dagger","Nocturnal's Favored Dagger"
"200697509-0-892","Shirt of Redistribution","Shirt of Redistribution"
"200697509-0-1764","Nocturnal's Favored Greatsword","Nocturnal's Favored Greatsword"
"200697509-0-893","Shoes of Redistribution","Shoes of Redistribution"
"200697509-0-1767","Nocturnal's Favored Cuirass","Nocturnal's Favored Cuirass"
"200697509-0-894","Gloves of Redistribution","Gloves of Redistribution"
"200697509-0-410","Axe of Torug's Pact","Axe of Torug's Pact"
"200697509-0-1766","Nocturnal's Favored Ring","Nocturnal's Favored Ring"
"200697509-0-895","Hat of Redistribution","Hat of Redistribution"
"200697509-0-411","Mace of Torug's Pact","Mace of Torug's Pact"
"200697509-0-1769","Nocturnal's Favored Gauntlets","Nocturnal's Favored Gauntlets"
"200697509-0-896","Breeches of Redistribution","Breeches of Redistribution"
"200697509-0-412","Sword of Torug's Pact","Sword of Torug's Pact"
"200697509-0-1768","Nocturnal's Favored Sabatons","Nocturnal's Favored Sabatons"
"200697509-0-1750","Sload's Guards","Sload's Guards"
"200697509-0-424","Robe of Torug's Pact","Robe of Torug's Pact"
"200697509-0-425","Shoes of Torug's Pact","Shoes of Torug's Pact"
"200697509-0-1759","Nocturnal's Favored Axe","Nocturnal's Favored Axe"
"200697509-0-426","Gloves of Torug's Pact","Gloves of Torug's Pact"
"200697509-0-427","Hat of Torug's Pact","Hat of Torug's Pact"
"200697509-0-428","Breeches of Torug's Pact","Breeches of Torug's Pact"
"200697509-0-429","Epaulets of Torug's Pact","Epaulets of Torug's Pact"
"200697509-0-1752","Sload's Belt","Sload's Belt"
"200697509-0-1751","Sload's Arm Cops","Sload's Arm Cops"
"200697509-0-1754","Sload's Shield","Sload's Shield"
"200697509-0-1753","Sload's Necklace","Sload's Necklace"
"200697509-0-420","Helm of Torug's Pact","Helm of Torug's Pact"
"200697509-0-1756","Sload's Ice Staff","Sload's Ice Staff"
"200697509-0-421","Greaves of Torug's Pact","Greaves of Torug's Pact"
"200697509-0-1755","Sload's Inferno Staff","Sload's Inferno Staff"
"200697509-0-422","Pauldron of Torug's Pact","Pauldron of Torug's Pact"
"200697509-0-1758","Sload's Restoration Staff","Sload's Restoration Staff"
"200697509-0-423","Girdle of Torug's Pact","Girdle of Torug's Pact"
"200697509-0-1757","Sload's Lightning Staff","Sload's Lightning Staff"
"38727365-0-476","Grave Guardian","Grave Guardian"
"38727365-0-478","Mother Ciannait","Mother Ciannait"
"38727365-0-479","Kjalnar's Nightmare","Kjalnar's Nightmare"
"38727365-0-472","Titanborn Strength","Titanborn Strength"
"38727365-0-473","Bani's Torment","Bani's Torment"
"38727365-0-474","Draugrkin's Grip","Draugrkin's Grip"
"200697509-0-480","Sword of the Willow's Path","Sword of the Willow's Path"
"38727365-0-475","Aegis Caller","Aegis Caller"
"200697509-0-481","Battle Axe of the Willow's Path","Battle Axe of the Willow's Path"
"200697509-0-479","Mace of the Willow's Path","Mace of the Willow's Path"
"200697509-0-1705","Adept Rider's Breeches","Adept Rider's Breeches"
"200697509-0-1704","Adept Rider's Hat","Adept Rider's Hat"
"200697509-0-1707","Adept Rider's Sash","Adept Rider's Sash"
"200697509-0-1706","Adept Rider's Epaulets","Adept Rider's Epaulets"
"200697509-0-1709","Adept Rider's Jack","Adept Rider's Jack"
"200697509-0-1708","Adept Rider's Bow","Adept Rider's Bow"
"200697509-0-471","Arm Cops of Hist Bark","Arm Cops of Hist Bark"
"38727365-0-480","Critical Riposte","Critical Riposte"
"200697509-0-472","Belt of Hist Bark","Belt of Hist Bark"
"38727365-0-481","Unchained Aggressor","Unchained Aggressor"
"200697509-0-473","Shield of Hist Bark","Shield of Hist Bark"
"38727365-0-482","Dauntless Combatant","Dauntless Combatant"
"200697509-0-474","Inferno Staff of Hist Bark","Inferno Staff of Hist Bark"
"200697509-0-475","Ice Staff of Hist Bark","Ice Staff of Hist Bark"
"200697509-0-1701","Adept Rider's Shirt","Adept Rider's Shirt"
"200697509-0-476","Lightning Staff of Hist Bark","Lightning Staff of Hist Bark"
"200697509-0-1700","Adept Rider's Robe","Adept Rider's Robe"
"200697509-0-477","Restoration Staff of Hist Bark","Restoration Staff of Hist Bark"
"200697509-0-1703","Adept Rider's Gloves","Adept Rider's Gloves"
"200697509-0-478","Axe of the Willow's Path","Axe of the Willow's Path"
"200697509-0-1702","Adept Rider's Shoes","Adept Rider's Shoes"
"38727365-0-487","Winter's Respite","Winter's Respite"
"38727365-0-488","Venomous Smite","Venomous Smite"
"38727365-0-489","Eternal Vigor","Eternal Vigor"
"38727365-0-483","Template_Drop_Magi","Template_Drop_Magi"
"38727365-0-484","Template_Drop_Stamina","Template_Drop_Stamina"
"200697509-0-490","Pauldron of the Willow's Path","Pauldron of the Willow's Path"
"38727365-0-485","Template_Drop_Tank","Template_Drop_Tank"
"200697509-0-491","Girdle of the Willow's Path","Girdle of the Willow's Path"
"38727365-0-486","Template_Drop_Healer","Template_Drop_Healer"
"200697509-0-492","Robe of the Willow's Path","Robe of the Willow's Path"
"38727365-0-490","Stuhn's Favor","Stuhn's Favor"
"200697509-0-482","Maul of the Willow's Path","Maul of the Willow's Path"
"38727365-0-491","Dragon's Appetite","Dragon's Appetite"
"200697509-0-483","Greatsword of the Willow's Path","Greatsword of the Willow's Path"
"38727365-0-492","Kyne's Wind","Kyne's Wind"
"200697509-0-484","Dagger of the Willow's Path","Dagger of the Willow's Path"
"38727365-0-493","Perfected Kyne's Wind","Perfected Kyne's Wind"
"200697509-0-485","Cuirass of the Willow's Path","Cuirass of the Willow's Path"
"200697509-0-486","Sabatons of the Willow's Path","Sabatons of the Willow's Path"
"200697509-0-487","Gauntlets of the Willow's Path","Gauntlets of the Willow's Path"
"200697509-0-488","Helm of the Willow's Path","Helm of the Willow's Path"
"200697509-0-489","Greaves of the Willow's Path","Greaves of the Willow's Path"
"38727365-0-454","Renald's Resolve","Renald's Resolve"
"38727365-0-455","Z'en's Redress","Z'en's Redress"
"38727365-0-456","Azureblight Reaper","Azureblight Reaper"
"38727365-0-457","Dragon's Defilement","Dragon's Defilement"
"38727365-0-450","Perfected Tooth of Lokkestiiz","완전무결한 로케스티즈의 이빨"
"38727365-0-451","Perfected Claw of Yolnahkriin","완전무결한 요나크린의 발톱"
"38727365-0-452","Hollowfang Thirst","Hollowfang Thirst"
"38727365-0-453","Dro'Zakar's Claws","Dro'Zakar's Claws"
"38727365-0-458","Grundwulf","Grundwulf"
"38727365-0-459","Maarselok","Maarselok"
"200697509-0-457","Girdle of Hist Bark","Girdle of Hist Bark"
"200697509-0-1727","Sload's Greatsword","Sload's Greatsword"
"200697509-0-458","Robe of Hist Bark","Robe of Hist Bark"
"200697509-0-1726","Sload's Maul","Sload's Maul"
"200697509-0-459","Shoes of Hist Bark","Shoes of Hist Bark"
"200697509-0-1729","Sload's Ring","Sload's Ring"
"200697509-0-1728","Sload's Dagger","Sload's Dagger"
"200697509-0-450","Dagger of Hist Bark","Dagger of Hist Bark"
"200697509-0-451","Cuirass of Hist Bark","Cuirass of Hist Bark"
"200697509-0-1721","Adept Rider's Restoration Staff","Adept Rider's Restoration Staff"
"200697509-0-452","Sabatons of Hist Bark","Sabatons of Hist Bark"
"200697509-0-1720","Adept Rider's Lightning Staff","Adept Rider's Lightning Staff"
"200697509-0-453","Gauntlets of Hist Bark","Gauntlets of Hist Bark"
"200697509-0-1723","Sload's Mace","Sload's Mace"
"200697509-0-454","Helm of Hist Bark","Helm of Hist Bark"
"200697509-0-1722","Sload's Axe","Sload's Axe"
"200697509-0-455","Greaves of Hist Bark","Greaves of Hist Bark"
"200697509-0-1725","Sload's Battle Axe","Sload's Battle Axe"
"200697509-0-456","Pauldron of Hist Bark","Pauldron of Hist Bark"
"200697509-0-1724","Sload's Sword","Sload's Sword"
"38727365-0-465","Senchal Defender","Senchal Defender"
"38727365-0-466","Marauder's Haste","Marauder's Haste"
"38727365-0-467","Dragonguard Elite","Dragonguard Elite"
"38727365-0-468","Daring Corsair","Daring Corsair"
"200697509-0-470","Guards of Hist Bark","Guards of Hist Bark"
"38727365-0-469","Ancient Dragonguard","Ancient Dragonguard"
"200697509-0-468","Bracers of Hist Bark","Bracers of Hist Bark"
"200697509-0-1716","Adept Rider's Necklace","Adept Rider's Necklace"
"200697509-0-469","Helmet of Hist Bark","Helmet of Hist Bark"
"200697509-0-1715","Adept Rider's Belt","Adept Rider's Belt"
"200697509-0-1718","Adept Rider's Inferno Staff","Adept Rider's Inferno Staff"
"200697509-0-1717","Adept Rider's Shield","Adept Rider's Shield"
"200697509-0-1719","Adept Rider's Ice Staff","Adept Rider's Ice Staff"
"200697509-0-460","Gloves of Hist Bark","Gloves of Hist Bark"
"200697509-0-461","Hat of Hist Bark","Hat of Hist Bark"
"38727365-0-470","New Moon Acolyte","New Moon Acolyte"
"200697509-0-462","Breeches of Hist Bark","Breeches of Hist Bark"
"200697509-0-1710","Adept Rider's Boots","Adept Rider's Boots"
"38727365-0-471","Hiti's Hearth","Hiti's Hearth"
"200697509-0-463","Epaulets of Hist Bark","Epaulets of Hist Bark"
"200697509-0-464","Sash of Hist Bark","Sash of Hist Bark"
"200697509-0-1712","Adept Rider's Helmet","Adept Rider's Helmet"
"200697509-0-465","Bow of Hist Bark","Bow of Hist Bark"
"200697509-0-1711","Adept Rider's Bracers","Adept Rider's Bracers"
"200697509-0-466","Jack of Hist Bark","Jack of Hist Bark"
"200697509-0-1714","Adept Rider's Arm Cops","Adept Rider's Arm Cops"
"200697509-0-467","Boots of Hist Bark","Boots of Hist Bark"
"200697509-0-1713","Adept Rider's Guards","Adept Rider's Guards"
"38727365-0-432","Stonekeeper","석판수호자"
"38727365-0-433","Frozen Watcher","얼어붙은 감시자"
"38727365-0-434","Scavenging Demise","청소하는 종말"
"38727365-0-435","Auroran's Thunder","아우로안의 번개"
"38727365-0-430","Tzogvin's Warband","트조그빈의 전쟁무리"
"38727365-0-431","Icy Conjuror","혹한의 마술사"
"38727365-0-436","Symphony of Blades","검의 교향곡"
"38727365-0-437","Coldharbour's Favorite","콜드 하버의 인기인"
"38727365-0-438","Senche-raht's Grit","센치-라의 선물"
"38727365-0-439","Vastarie's Tutelage","바스타리의 후원"
"200697509-0-85","Shoes of Twilight's Embrace","Twilight's Embrace: 신발"
"200697509-0-84","Robe of Twilight's Embrace","Twilight's Embrace: 로브"
"200697509-0-83","Girdle of Twilight's Embrace","Twilight's Embrace: 복대"
"200697509-0-82","Pauldron of Twilight's Embrace","Twilight's Embrace: 견갑"
"200697509-0-89","Epaulets of Twilight's Embrace","Twilight's Embrace: 어깨장식"
"200697509-0-88","Breeches of Twilight's Embrace","Twilight's Embrace: 바지"
"200697509-0-87","Hat of Twilight's Embrace","Twilight's Embrace: 방패"
"200697509-0-86","Gloves of Twilight's Embrace","Twilight's Embrace: 장갑"
"200697509-0-81","Greaves of Twilight's Embrace","Twilight's Embrace: 각갑"
"200697509-0-80","Helm of Twilight's Embrace","Twilight's Embrace: 투구"
"38727365-0-443","Eye of Nahviintaas","나빈타스의 눈"
"38727365-0-444","False God's Devotion","거짓된 신의 헌신"
