"Location","Source","Target"
"145684164-11-1","Silenced. You cannot use abilities that cost Magicka or Ultimate.","침묵. 매지카나 궁극기 게이지를 사용하는 기술을 사용할 수 없습니다."
"168675493-0-1693","Q4758 - Dynar Spin Up Intro","Q4758 - Dynar Spin Up Intro"
"168675493-0-1694","Bestower","Bestower"
"168675493-0-1695","Q2404 Noble 1 Event","Q2404 Noble 1 Event"
"168675493-0-1691","Eye of the Storm","Eye of the Storm"
"168675493-0-1692","Bestower","Bestower"
"168675493-0-1688","Generic Spawn Child","Generic Spawn Child"
"168675493-0-1689","Generic Spawn Child","Generic Spawn Child"
"168675493-0-1698","Generic Boss Fight","Generic Boss Fight"
"168675493-0-1699","Generic Boss Fight","Generic Boss Fight"
"168675493-0-1671","Defeat Ahram Sesnit","Defeat Ahram Sesnit"
"168675493-0-1672","Bloodroot","Bloodroot"
"168675493-0-1673","Vile Manse","불쾌한 저택"
"168675493-0-1674","Root Sunder Group Event","Root Sunder Group Event"
"168675493-0-1670","Coldharbour Rescue","Coldharbour Rescue"
"168675493-0-1668","Q4601 Ghost Scene 2","Q4601 Ghost Scene 2"
"168675493-0-1669","Spawn Xohaneel","Spawn Xohaneel"
"168675493-0-2999","Wasp Swarm","Wasp Swarm"
"168675493-0-1664","RM Claw's Strike Boss","RM Claw's Strike Boss"
"168675493-0-2996","Snake Nest","Snake Nest"
"168675493-0-1665","RM Fardir's Folly Boss","RM Fardir's Folly Boss"
"168675493-0-2995","Mudcrab Swarm","Mudcrab Swarm"
"168675493-0-1666","RM Jode's Light Boss","RM Jode's Light Boss"
"168675493-0-2998","Dwemer Spider Swarm","Dwemer Spider Swarm"
"168675493-0-1667","Exotic Exports","Exotic Exports"
"168675493-0-2997","Wolf Den","Wolf Den"
"164387044-0-1","Perfect Roe acquired.","완벽한 어란을 얻었습니다."
"164387044-0-2","Used when interacting with a Trophy Vault entrance.","전리품 금고 입구에서 상호작용할 때 사용되는 아이템입니다."
"141135108-6-1","Double Furnishings and Collectibles space in your homes","당신의 집에 배치 가능한 가구 및 수집품의 갯수 제한이 두배가 됩니다."
"164387044-0-3","The murder you committed has been observed by forces unknown.","The murder you committed has been observed by forces unknown."
"164387044-0-4","The Atronach is recovering strength.","The Atronach is recovering strength."
"168675493-0-1682","Generic Boss Fight","Generic Boss Fight"
"164387044-0-9","An enemy has been enraged!","An enemy has been enraged!"
"168675493-0-1683","Generic Boss Fight","Generic Boss Fight"
"168675493-0-1684","Generic Spawn Child","Generic Spawn Child"
"168675493-0-1685","Generic Spawn Child","Generic Spawn Child"
"164387044-0-5","A spirit saps your strength…","A spirit saps your strength…"
"164387044-0-6","Drakeeh absorbs a restless spirit…","Drakeeh absorbs a restless spirit…"
"168675493-0-1680","Q4601 Ghost Scene 4","Q4601 Ghost Scene 4"
"164387044-0-7","The ritual circle takes the restless spirits.","The ritual circle takes the restless spirits."
"168675493-0-1681","Generic Boss Fight","Generic Boss Fight"
"164387044-0-8","Skeletons have merged into a Colossus!","Skeletons have merged into a Colossus!"
"168675493-0-1675","Generic Spawn Child","Generic Spawn Child"
"168675493-0-1677","Q4757 Pool Event","Q4757 Pool Event"
"168675493-0-1651","Fight","Fight"
"168675493-0-2983","Generic Boss Fight","Generic Boss Fight"
"168675493-0-1652","Generic Boss Fight","Generic Boss Fight"
"168675493-0-2982","Escort Event","Escort Event"
"168675493-0-1646","Generic Spawn Child","Generic Spawn Child"
"168675493-0-2977","QAWaveScriptedEvent","QAWaveScriptedEvent"
"168675493-0-1649","Q4610 - FG Scene Inside","Q4610 - FG Scene Inside"
"168675493-0-2979","Bat Swarm","Bat Swarm"
"168675493-0-1642","Captive","Captive"
"168675493-0-2974","Don't Die","Don't Die"
"168675493-0-1643","Haman Forgefire","하만 포지파이어"
"168675493-0-2973","Don't Die","Don't Die"
"168675493-0-1645","Generic Boss Fight","Generic Boss Fight"
"168675493-0-2975","Don't Die","Don't Die"
"168675493-0-1660","Leki's Blade Duel","Leki's Blade Duel"
"168675493-0-1661","RM Kuna's Delve Boss","RM Kuna's Delve Boss"
"168675493-0-1662","RM Thibaut's Cairn Boss","RM Thibaut's Cairn Boss"
"168675493-0-1663","RM Weeping Wind Boss","RM Weeping Wind Boss"
"168675493-0-2990","Dwemer Sphere","Dwemer Sphere"
"168675493-0-1657","Generic Rescue","Generic Rescue"
"168675493-0-2989","Dwemer Sphere","Dwemer Sphere"
"168675493-0-1658","Coldharbour Rescue","Coldharbour Rescue"
"168675493-0-2988","Dwemer Sphere","Dwemer Sphere"
"168675493-0-1659","Q2222 End Catch Event","Q2222 End Catch Event"
"168675493-0-1653","Fight","Fight"
"168675493-0-2985","Dwemer Sphere","Dwemer Sphere"
"168675493-0-1654","Q4610 - MG Scene","Q4610 - MG Scene"
"168675493-0-2984","Dwemer Sphere","Dwemer Sphere"
"168675493-0-1655","Generic Spawn Child","Generic Spawn Child"
"168675493-0-1656","Spawn Skully","Spawn Skully"
"168675493-0-2986","Dwemer Sphere","Dwemer Sphere"
"168675493-0-346","Q3921 - Trapped Miner 4","Q3921 - Trapped Miner 4"
"168351172-0-62","Crown Store Soul Gems can be given priority over regular in-game Soul Gems by toggling the Default Soul Gem setting in the Gameplay submenu of your Options.","Crown Store Soul Gems can be given priority over regular in-game Soul Gems by toggling the Default Soul Gem setting in the Gameplay submenu of your Options."
"168675493-0-347","Olveidi the Ratmaster","Olveidi the Ratmaster"
"168675493-0-348","Ophelia Event","Ophelia Event"
"156570558-5-1","Under the Mage's influence, the Atronach boosts your Magicka and trains your Skill-at-Arms.","마법사의 영향력에 의해 아트로나크는 매지카를 북돋아 주고 무기의 기술을 훈련시켜 줍니다."
"168675493-0-342","Q3921 - Trapped Miner 1","Q3921 - Trapped Miner 1"
"168675493-0-343","Treasure Hunters","Treasure Hunters"
"168675493-0-344","Q3921 - Trapped Miner 2","Q3921 - Trapped Miner 2"
"168675493-0-345","Q3921 - Trapped Miner 2","Q3921 - Trapped Miner 2"
"168675493-0-5204","The Scraps","The Scraps"
"168675493-0-5205","The Scraps","The Scraps"
"168675493-0-5202","The Scraps","The Scraps"
"168675493-0-5203","Dwemer","Dwemer"
"168675493-0-5200","RDS V18258 DungCleaner","RDS V18258 DungCleaner"
"168675493-0-5201","RDS V18258 DungCleaner CHILD","RDS V18258 DungCleaner CHILD"
"168675493-0-339","Vivien Armene","Vivien Armene"
"168675493-0-335","Test - Vignette","Test - Vignette"
"168675493-0-331","The Hound","The Hound"
"115391780-4-1","Double Bank Space capacity for your account","계정의 은행 보관 용량이 두 배가 됩니다."
"168675493-0-369","Generic Boss Fight","Generic Boss Fight"
"168675493-0-364","Defend the Silvenar","Defend the Silvenar"
"168675493-0-365","Generic Boss Fight","Generic Boss Fight"
"168351172-0-43","You can speak to other members of your guilds in the guild chat channel of Voice Chat.","You can speak to other members of your guilds in the guild chat channel of Voice Chat."
"168675493-0-367","Q4141 Boss Courier","Q4141 Boss Courier"
"168675493-0-360","Neechar","Neechar"
"168675493-0-361","Ammibani","Ammibani"
"168675493-0-362","Osanne","Osanne"
"168351172-0-46","If you need help completing a dungeon, try using the Dungeon Finder. To find it, press <<1>>, select |t32:32:EsoUI/Art/MenuBar/Gamepad/gp_playerMenu_icon_activityFinder.dds|t ""Activity Finder"", and then select ""Dungeon Finder"".","If you need help completing a dungeon, try using the Dungeon Finder. To find it, press <<1>>, select |t32:32:EsoUI/Art/MenuBar/Gamepad/gp_playerMenu_icon_activityFinder.dds|t \"\"Activity Finder\"\", and then select \"\"Dungeon Finder\"\"."
"168675493-0-363","Q3920 - Vigrod End","Q3920 - Vigrod End"
"168675493-0-357","Mathakar","Mathakar"
"168675493-0-358","Q3920 - Hist Energy Corpse (3)","Q3920 - Hist Energy Corpse (3)"
"168675493-0-359","Orulu","Orulu"
"168351172-0-56","Need help accessing DLC? Visit the in-game Tutorials for detailed information on how to get in and play.","Need help accessing DLC? Visit the in-game Tutorials for detailed information on how to get in and play."
"168675493-0-353","Q4123 - Crypt Boss","Q4123 - Crypt Boss"
"168675493-0-354","Q3907 - Contract:Armando","Q3907 - Contract:Armando"
"168675493-0-356","Q4123 - Lich Cave Fight","Q4123 - Lich Cave Fight"
"168675493-0-352","Valcent Boss Fight","Valcent Boss Fight"
"60008005-0-148","Unfurnished","Unfurnished"
"168675493-0-302","Captain Juras","Captain Juras"
"168675493-0-303","Boss Fight With Reward","Boss Fight With Reward"
"60008005-0-146","Unfurnished","Unfurnished"
"60008005-0-147","Furnished","Furnished"
"168675493-0-305","Q4070 Orcthane Spy","Q4070 Orcthane Spy"
"168675493-0-301","Orc Boss","Orc Boss"
"60008005-0-133","Furnished","Furnished"
"60008005-0-134","Unfurnished","Unfurnished"
"60008005-0-131","Unfurnished","Unfurnished"
"60008005-0-132","Unfurnished","Unfurnished"
"60008005-0-129","Furnished","Furnished"
"60008005-0-126","Unfurnished","Unfurnished"
"60008005-0-127","Unfurnished","Unfurnished"
"168675493-0-325","Generic Boss Fight","Generic Boss Fight"
"60008005-0-124","Unfurnished","Unfurnished"
