"Location","Source","Target"
"186232436-0-51","<<1>>, Dragonstar Arena Champion","<<1>>, 드래곤스타 투기장 챔피언"
"186232436-0-50","<<1>>, Master Angler","<<1>>, 달인 낚시꾼"
"186232436-0-53","<<1>>, Deadlands Adept","<<1>>, 데드랜드 숙련자"
"186232436-0-52","<<1>>, Boethiah's Scythe","<<1>>, 보에시아의 낫"
"186232436-0-55","<<1>>, Stormproof","<<1>>, 폭풍을 견디는 자"
"186232436-0-54","<<1>>, Maelstrom Arena Champion","<<1>>, 마엘스톰 투기장 챔피언"
"186232436-0-57","<<1>>, Kingmaker","<<1>>, 킹메이커"
"186232436-0-56","<<1>>, The Flawless Conqueror","<<1>>, 완벽한 정복자"
"186232436-0-59","<<1>>, Executioner","<<1>>, 처형자"
"22296053-10-1","Veteran Grade 2","정예병 등급 2"
"186232436-0-58","<<1>>, Hero of Wrothgar","<<1>>, 로스가의 영웅"
"63563637-0-1","Citizen","시민"
"186232436-0-62","Silencer <<1>>","처리자 <<1>>"
"186232436-0-61","<<1>>, Master Thief","<<1>>, 달인 도둑"
"186232436-0-64","<<1>>, Bane of the Gold Coast","<<1>>,  골드 코스트의 파멸자"
"186232436-0-63","<<1>>, Ophidian Overlord","<<1>>, 뱀의 대군주"
"186232436-0-66","Mageslayer <<1>>","메이지 슬레이어 <<1>>"
"186232436-0-65","<<1>>, Shehai Shatterer","<<1>>, 세하이 완승한 자"
"186232436-0-68","<<1>>, Sun's Dusk Reaper","<<1>>, 11월의 사신"
"186232436-0-67","<<1>>, Hist-Shadow","<<1>>, 히스트-그림자"
"186232436-0-69","<<1>> the Magnanimous","<<1>> 고결한 자"
"22296053-45-1","Grand Warlord Grade 1","정예전쟁군주 등급 1"
"63563637-15-1","First Sergeant Grade 1","상사 등급 1"
"186232436-0-60","<<1>>, Dro-m'Athra Destroyer","<<1>>, 드로 마스라 파괴자"
"186232436-0-73","Clan Father <<1>>","클랜 대부 <<1>>"
"186232436-0-72","<<1>>, Royal Jester","<<1>>, 왕실 광대"
"186232436-0-75","Councilor <<1>>","의원 <<1>>"
"186232436-0-74","Lord <<1>>","군주 <<1>>"
"186232436-0-77","<<1>>, Champion of Vivec","<<1>>, 비벡의 챔피언"
"186232436-0-76","Count <<1>>","백작 <<1>>"
"186232436-0-79","Librarian <<1>>","사서 <<1>>"
"186232436-0-78","<<1>>, Savior of Morrowind","<<1>>, 모로윈드의 구원자"
"22296053-32-1","Prefect Grade 2","전쟁행정관 등급 2"
