"Location","Source","Target"
"14464837-0-26","Trap","함정"
"14464837-0-48","Trap","함정"
"14464837-0-25","Trap","함정"
"14464837-0-27","Trap","함정"
"14464837-0-55","Trap","함정"
"14464837-0-54","Trap","함정"
"14464837-0-57","Trap","함정"
"14464837-0-34","Trap","함정"
"14464837-0-12","Wall Spikes","가시 벽"
"14464837-0-5","Wire Trap","와이어 함정"
"14464837-0-51","Trap","함정"
"14464837-0-7","Tripping Wire Trap","철망 함정"
"14464837-0-30","Trap","함정"
"14464837-0-2","Poison Dart Trap","독화살 함정"
"14464837-0-4","Wire Trap","와이어 함정"
"14464837-0-18","Wall Spikes","가시 벽"
"14464837-0-37","Trap","함정"
"14464837-0-59","Trap","함정"
"14464837-0-15","Fire Trap","화염 함정"
"14464837-0-14","Spike Trap","가시 함정"
"14464837-0-17","Axe Trap","도끼 함정"
"14464837-0-16","Axe Trap","도끼 함정"
"14464837-0-22","Falling Rocks","낙석"
"14464837-0-43","Trap","함정"
"14464837-0-46","Trap","함정"
"14464837-0-24","Tripping Wire Trap","철망 함정"
"14464837-0-40","Trap","함정"
"14464837-0-62","Trap","함정"
"14464837-0-61","Trap","함정"
"14464837-0-20","Poison Dart Trap","독화살 함정"
"14464837-0-60","Trap","함정"
