"Location","Source","Target"
"239939829-0-603","Test-Warrior HvyArmr low gear","Test-Warrior HvyArmr low gear"
"239939829-0-602","Test - Warrior Block low gear","Test - Warrior Block low gear"
"239939829-0-600","Test - Warrior 1h low gear","Test - Warrior 1h low gear"
"239939829-0-609","Orc Showoff Heavy Drop R1S3","Orc Showoff Heavy Drop R1S3"
"239939829-0-608","Orc Showoff Heavy Drop R1S2","Orc Showoff Heavy Drop R1S2"
"239939829-0-607","Orc Showoff Heavy Drop R1S1","Orc Showoff Heavy Drop R1S1"
"239939829-0-606","Orc Showoff Heavy Vendor R1","Orc Showoff Heavy Vendor R1"
"239939829-0-605","Fighters Guild Stormhaven","Fighters Guild Stormhaven"
"239939829-0-604","Test-Warrior 2h low gear","Test-Warrior 2h low gear"
"239939829-0-87","Content 3 - FUTURE CLASS","Content 3 - FUTURE CLASS"
"239939829-0-86","Content 3 - Burrower's Chasm","Content 3 - Burrower's Chasm"
"239939829-0-89","Content 3 - Ranger","Content 3 - Ranger"
"239939829-0-88","Content 3 - FUTURE CLASS","Content 3 - FUTURE CLASS"
"239939829-0-81","Content 3-Rivenspire Playtest","Content 3-Rivenspire Playtest"
"239939829-0-80","Rivenspire Playtest (Mage)","Rivenspire Playtest (Mage)"
"239939829-0-83","Content 3 - Stormhold","Content 3 - Stormhold"
"239939829-0-82","Content 3 - Shadowscale Enclav","Content 3 - Shadowscale Enclav"
"239939829-0-85","Content 3 - Bogmother","Content 3 - Bogmother"
"239939829-0-84","Content 3 - Cult of the Fang","Content 3 - Cult of the Fang"
"239939829-0-98","Daggerfall Lvl 5 Mage","Daggerfall Lvl 5 Mage"
"239939829-0-97","Daggerfall Lvl 5 Warrior","Daggerfall Lvl 5 Warrior"
"239939829-0-1600","Fighters Guild 5: Ebonheart","Fighters Guild 5: Ebonheart"
"239939829-0-99","Deleyns Mill lvl 6 Warrior","Deleyns Mill lvl 6 Warrior"
"239939829-0-1606","MQ1.5 AD","MQ1.5 AD"
"239939829-0-1605","Fighters Guild 5: Aldmeri","Fighters Guild 5: Aldmeri"
"239939829-0-1607","MQ1.5 EP","MQ1.5 EP"
"239939829-0-1602","AvA Basepop Feedback","AvA Basepop Feedback"
"239939829-0-1601","AvA Basepop Feedback","AvA Basepop Feedback"
"239939829-0-1603","AvA Basepop Feedback","AvA Basepop Feedback"
"239939829-0-90","Content 3 - FUTURE CLASS","Content 3 - FUTURE CLASS"
"239939829-0-92","Aldcroft lvl 9 Warrior","Aldcroft lvl 9 Warrior"
"239939829-0-91","GU Daggerfall Lvl 5 Warrior","GU Daggerfall Lvl 5 Warrior"
"239939829-0-94","GU Daggerfall lvl 5 Mage","GU Daggerfall lvl 5 Mage"
"239939829-0-93","Crosswych lvl 12 Warrior","Crosswych lvl 12 Warrior"
"239939829-0-96","Glen lvl 13 Mage","Glen lvl 13 Mage"
"239939829-0-95","Aldcroft lvl 9 Mage","Aldcroft lvl 9 Mage"
"239939829-0-65","Veteran Rank 15 Basic Template","Veteran Rank 15 Basic Template"
"239939829-0-64","Veteran Rank 14 Basic Template","Veteran Rank 14 Basic Template"
"239939829-0-646","PVE AOE Test - Warrior","PVE AOE Test - Warrior"
"239939829-0-67","Rivenspire","Rivenspire"
"239939829-0-645","Stormhaven Playtest","Stormhaven Playtest"
"239939829-0-66","Veteran Rank 16 /Template Core","Veteran Rank 16 /Template Core"
"239939829-0-644","Mage Illusion","Mage Illusion"
"239939829-0-69","Content 3 - Ranger","Content 3 - Ranger"
"239939829-0-643","Mage Destruction","Mage Destruction"
"239939829-0-68","Content 3 - FUTURE CLASS","Content 3 - FUTURE CLASS"
"239939829-0-642","Mage Mysticism","Mage Mysticism"
"239939829-0-641","Mage Alteration","Mage Alteration"
